"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONMT87	RCONMT89	RCONMT91	RCONMT93	RCONMT95	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
1669	48837	13	37115	96022	0	191070	0	0	0	0	132034	0	358		22922	30392		153926	131636	16	40	3346	0	0	9990	19365	7428	4343	28496	2260	6198	2389	832	18204	11679	0	0	8458	0													
1856	1701	0	1471	4413	0	7907	0	0	0	0	30260	0	2030		3869	13115		6436	21298	0	6932	0	0	0	1881	7525	3294	0	9406	501	1792	451	0	8831	2744	0	0	2293	1493													
2161	41994	0	12748	145215	0	157341	0	0	0	0	108753	0	21474		7302	42899	7552	144545	87279	48	0	2975	0	0	4124	9850	1616	606	13974	2691	3469	728	776	8894	7665	30594	0	6160	0	0	0	0	0	0	true							
2732	65294	0	7206	193164	0	243362	0	0	0	0	350754	0	11245		29854	116139		236156	339509	0	0	4492	0	0	18445	36804	7457	2428	54915	16178	84045	3385	579	35280	104187	0	0	100223	0													
2750	17921	0	5269	6406	0	19834	0	0	0	0	34293	0	8037		5107	932		14565	25268	0	988	868	0	0	3550	5637	3721	92	7911	647	956	837	0	7893	2440	0	0	1603	988													
3252	19369	0	107350	46427	0	150878	0	0	1360	0	106957	0	51329		9522	31968		43528	53886	0	1742	0	860	537	5225	9116	4619	1800	14341	9712	24079	1069	0	11238	34860	17401	500	33791	746													
3458	4242	0	2680	8177	0	15149	0	0	2000	0	42216	0	7970		11119	7771		12469	34246	0	0	271	2000	2000	3008	14682	5427	1245	15690	252	2931	2658	0	13243	5841	0	0	2683	0													
3720	82817	0	23398	90869	0	195686	0	0	0	0	122967	0	6083		17085	3367		172288	116884	0	0	1562	0	0	5903	18070	2515	0	23973	5513	4426	356	0	9404	10295	0	0	9939	0													
3971	126447	0	1633	190010	0	300834	0	0	43456	0	402591	0	2537		61546	115951		299201	352991	0	47063	3565	43456	30237	16222	76155	43620	6755	92377	2876	6622	7105	838	81206	17441	0	0	9498	3571													
4156	31249	695	12262	54117	0	121687	0	0	0	0	115316	47	14090		15321	36253		108728	99197	2	1982	1861	0	0	16700	11692	9496	3745	28392	891	3420	884	986	26313	6181	14230	0	4311	996													
4231	24018	0	19902	40298	0	64139	0	0	0	0	62667	0	879		12265	7276		44237	61788	0	0	8426	0	0	3448	11102	6218	5606	14550	0	1444	1546	2009	14109	4999	0	0	1444	0													
5069	33878	0	1	51305	0	53138	0	0	65620	0	180177	0	248		47350	14450		53137	149696	0	30233	546	65620	20815	16875	34544	50684	497	51419	8151	14632	6467	0	55249	29250	0	0	22783	5112							0						
5135	34693	0	46289	97801	0	189786	0	0	21231	0	258827	0	9654		67760	55126		143497	227476	0	21697	9563	20535	1984	22738	82821	8815	17561	105559	7231	28213	1628	0	64175	37072	0	696	35444	0													
5210	1438821	16	38594	114905	0	201812	0	0	0	0	2232403	0	293694		219450	342521		163202	1938709	0	0	17162	0	0	91192	168603	67486	14406	257329	15266	75453	11005	7650	122237	109374	37156	0	90221	8139													
5461	464592	0	11711	70889	0	70889	0	0	0	0	653839	0	14633		4997	167376		59178	639206	0	0	818	0	0	3671	6099	970	402	9770	1775	8956	0	0	6143	10731	70223	0	10731	0													
5751	18375	0	9557	41297	0	79014	0	0	3746	0	121112	0	11070		15108	67340		69457	107534	0	2508	2239	2233	1241	10141	13386	6167	1387	23527	358	2464	1494	0	15973	4316	6502	1017	2822	994													
6039	52754	0	14816	171561	0	196103	0	0	0	0	155045	0	7726		36749	30483	10244	181287	147319	0	0	2241	0	0	14068	38414	9170	718	52482	1114	6138	2185	0	25622	9437	0	0	7252	99	0	0	0	0	0	true							
6329	119053	0	10751	485382	0	632451	0	0	5101	0	609588	0	45438		75261	212018	12504	621452	562374	248	1776	3420	5101	5101	68976	115984	17806	6563	184960	24170	39307	3691	2019	134068	69187	112884	0	63477	5454	0	0	79749	0	79749	false							
7009	0	0	0	133504	0	133504	0	0	0	0	588842	0	0		0	588842		133504	588842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
7045	37979	0	21021	35042	0	147732	0	0	0	0	90614	0	9191		17681	20030	6721	126711	81423	0	0	296	0	0	3576	12540	9071	4099	5623	0	3318	0	0	11607	3318	0	0	3318	0	0	0	0	0	0	true							
7072	92298	1	2294	64142	0	96929	0	0	4732	0	230585	0	13520		36053	58972		94634	216827	0	238	4743	4732	3464	11020	31254	17384	2328	42274	1046	12802	2730	751	25934	17329	0	0	13848	0													
7456	29266	0	23238	25460	0	60756	0	0	0	0	49826	0	4945		11656	0		37518	44633	0	248	115	0	0	3625	10269	3689	395	13894	351	1868	363	0	6322	2582	0	0	2219	248													
7634	12255	0	1681	15342	0	21221	0	0	0	0	51287	0	92		12710	1590		19540	51195	0	0	4836	0	0	4459	20100	3573	883	24559	2260	5902	0	265	16306	8427	0	0	8162	0													
8033	32708	0	2052	95408	0	139041	0	0	7000	0	178794	0	742		46956	0		136989	169280	0	8772	4931	0	0	22159	61003	21524	5978	83162	8426	22351	3894	750	63708	35421	1354	0	30777	8424													
8462	1256	0	4003	48994	0	97783	0	0	0	0	36054	0	8429		7053	5013		93530	27625	250	0	1814	0	0	6050	8989	1044	0	14411	9928	3257	517	0	9030	13702	0	0	13185	0													
8631	20688	0	1233	24731	0	30277	0	0	0	0	35404	0	980		5543	3483		29044	34424	0	0	953	0	0	1500	3823	3332	798	5323	1204	576	0	0	3909	1780	0	0	1780	0													
9357	209973	91	1494	62349	0	69754	0	0	1000	0	462080	5948	0		830	249005		68169	456132	0	0	366	1000	1000	466	684	496	0	1150	0	1456	0	0	816	1456	11651	0	1456	0													
9553	21329	0	13190	25284	0	52282	0	0	4160	0	79425	0	4118		18784	9312		39092	73550	0	1757	0	4160	0	6526	18901	11080	4499	25427	565	4383	1754	1076	22222	7778	0	0	4948	993													
9807	732902	0	29665	152449	0	214675	0	0	0	0	2088958	0	510308		49505	1017335	76913	185010	1578650	0	0	2274	0	0	28354	55186	41549	3371	72843	154468	53586	2209	0	78955	210263	10600	0	208052	30845	0	0	0	0	0	true	10492	27120	590332	140415	427194	277877	
9955	14714	30	3572	42995	0	71587	0	0	0	0	77464	0	17957		5302	51541		67985	59507	0	0	0	0	0	3610	4454	1588	128	8064	416	1013	0	0	4478	1429	0	0	1429	0													
10250	264323	0	1265	42550	0	80123	0	0	0	0	496185	0	7863		41575	149581		78858	488073	0	249	10603	0	0	10002	22718	17835	11934	32720	3087	5882	3645	7179	20914	19793	1132	0	8969	498													
10849	102608	0	2960	11449	0	20421	0	0	0	0	240494	0	38099		40377	52512		17460	202395	1	0	2471	0	0	14388	36703	16386	858	51091	1951	12258	2831	0	27958	17039	0	0	14209	747													
11145	58780	0	50000	97071	0	184227	0	0	0	0	147045	0	18726		18695	42347	8494	134225	128319	2	0	4791	0	0	4253	13510	9030	4039	17763	3065	6869	3585	1568	12137	15087	0	0	9933	0	0	0	0	0	0	true							
11640	21032	0	54423	92674	0	207349	0	0	0	0	120797	0	4313		29220	28478		152926	116484	0	0	9710	0	0	11397	21400	14423	8670	32777	4809	4834	2809	2945	26670	15397	0	0	9642	0													
11837	7248	0	25035	13019	0	53627	0	0	0	0	43881	0	80		11728	15800		28592	43801	0	0	525	0	0	4363	6866	7217	819	11229	305	0	1263	0	7537	1568	0	0	305	0													
12030	51823	0	37694	151711	0	211707	0	0	0	0	204078	0	1727		49879	48121		174013	202151	0	200	5441	0	0	16952	40812	21300	3845	57764	7835	8164	4776	450	33030	21225	0	0	15999	0													
12142	42370	0	20628	97098	0	172793	0	0	0	0	97052	0	2555		18668	15221		152165	94497	0	0	1925	0	0	14335	16532	2278	1	27384	1125	4890	300	0	14478	6315	0	0	6015	0													
12311	22933331	32946	8648986	68417008	0	85148470	68	0	1782828	0	60743016	0	1809156		2546831	33249302	769909	76462152	58931376	4318	2484	418883	1674203	1388222	1351228	1754380	487874	92215	3105608	379616	420828	60832	13410	1138866	874686	903571	103338	800444	0	0	209392	4534876	50017	447601	true	13165387	12959729	18792202	11554501	9614658	13090003	
12647	34458	0	1610	58743	0	69759	0	0	0	0	103961	0	6163		10670	49511		68149	97798	0	0	671	0	0	3746	9169	4302	0	12915	2220	555	0	0	6547	2775	0	0	2775	0													
12656	3556	0	1131	6286	0	9641	0	0	0	0	10021	0	1575		2308	2022		8510	8446	0	0	219	0	0	879	1543	1444	50	2421	0	256	0	272	1607	528	0	0	256	0													
12946	111216	0	314505	379599	0	641912	0	0	8407	0	1085648	0	219712		123167	470728		327407	865936	0	0	21437	0	0	82341	140332	38907	9754	220709	69391	133293	28534	1152	148167	232370	189047	8407	202363	0													
13103	892233	0	35281	174370	0	382246	0	0	0	0	2172512	0	413683		123265	930916	66781	346898	1756832	67	1997	28259	0	0	59964	92021	33251	24753	151985	42248	71257	18789	7079	86724	139373	0	0	113505	0	0	0	3397	0	3397	true	12169	135236	439494	258887	283432	426297	
13251	5670	0	761	14403	0	19884	0	0	0	0	37938	0	2960		4928	27035		19123	34978	0	0	0	0	0	1264	3124	845	0	4388	0	0	0	0	304	0	0	0	0	0													
13457	4044	0	401	4608	0	8132	0	0	0	0	9700	0	327		1711	1954		7731	9373	0	0	0	0	0	720	2042	435	0	2762	0	504	0	0	1487	504	0	0	504	0													
14155	34108	0	6765	66370	0	126387	0	0	0	0	121311	0	13052		15183	53997		118877	107520	745	739	3228	0	0	8907	12842	4634	2578	21748	720	2146	1381	0	13777	4246	35231	0	2866	0													
14650	9335	0	3527	13917	0	20792	0	0	0	0	23244	0	393		3908	1291		17265	17891	0	4960	1462	0	0	2540	4253	4167	44	6363	1356	258	0	0	7096	1614	0	0	1614	0													
14753	20218	0	1270	23660	0	23660	0	0	0	0	31479	0	1201		6721	0		22390	30278	0	0	835	0	0	2144	6968	669	258	9112	950	0	272	0	3318	1222	0	0	950	0													
14865	156822	7	27706	423931	0	423931	0	0	0	0	283288	0	18146		23291	81610		396218	265135	0	7	4191	0	0	23941	9082	4402	3228	25996	1546	576	1388	695	17362	4205	69394	0	2122	0													
14977	6325	0	0	7791	0	12084	0	0	0	0	28083	0	0		6802	934	3954	12084	28083	0	0	1979	0	0	3280	9994	2643	0	13269	910	2536	1461	0	9115	4907	0	0	3446	0	0	0	0	0	0	false							
16551	69641	0	10780	108803	0	174458	0	0	0	0	210707	0	8153		47852	57568		162797	202554	881	0	6937	0	0	8456	25200	29005	8299	33655	1011	3687	7312	527	23107	12537	0	0	4698	0													
17110	0	0	0	0	0	0	0	0	0	0	136721	0	6800		21668	0	8582	0	129921	0	0	4962	0	0	64229	0	0	0	64229	72492	0	0	0	42561	72492	0	0	72492	0	0	0	0	0	0	false							
17147	1816546	0	1726069	2661931	0	7425007	0	0	357063	0	5031290	0	788468		446396	2484936	152712	5697479	4242822	1459	0	33338	357063	338665	146272	355693	106564	18690	501677	39217	49994	9942	3434	180825	102586	94498	0	89211	0	0	0	0	0	0	true	255811	1713469	1322684	824123	1181680	631490	
17259	16697	0	2327	14086	0	21908	0	0	0	0	34919	0	4246		7627	1666		19581	30673	0	0	2476	0	0	2083	6248	4795	405	5928	282	853	1890	0	5904	3025	0	0	1135	0													
17950	119381	424	51610	161030	0	282572	0	0	22382	0	363807	294	51506		35331	173395		230538	311262	0	745	10759	0	0	14533	26585	14593	2232	40635	1310	11505	273	0	22612	13088	26269	0	12815	0													
17978	68004	0	0	4625	0	45320	0	0	0	0	151409	0	1001		41290	3363		45320	147424	0	2984	13317	0	0	11127	30107	17934	6044	41234	1461	10194	3174	0	23923	14829	0	0	11655	0													
18050	134572	0	76528	339300	0	438391	0	0	0	0	360125	0	8187		39889	65445		361863	351938	0	0	4415	0	0	19711	38385	17387	0	56454	39243	21826	23556	0	35594	84625	0	0	60573	0													
18827	1237417	0	47983	79735	0	146672	0	0	25000	0	1629110	0	406530		83786	216333		96853	1222480	1836	100	5054	25000	25000	15028	68596	25627	9583	83624	29760	21869	4571	328	35047	56527	7838	0	51628	0													
18836	27968	8	3308	48436	0	63778	0	0	0	0	110898	0	6004		34329	21607		60462	104894	0	0	5139	0	0	19965	20330	13337	3160	36907	1182	1932	1133	285	22462	4532	4819	0	3114	0													
18854	53746	0	145127	579942	0	584367	0	0	88364	0	434323	0	40229		22897	166251	2317	439240	321497	0	72597	818	88364	88364	42094	70666	27636	555	112760	30675	25229	17472	0	118054	73376	275234	0	55904	72597	0	0	0	0	0	true							
19356	13484	0	5497	26157	0	44896	0	0	2977	0	39484	0	785		7283	4661		39379	34247	20	4452	0	2977	0	2165	4408	6992	428	6561	0	5350	1996	0	6710	7346	0	0	4138	0													
19936	23600	0	42765	98870	0	203228	0	0	0	0	163582	0	18203		16035	103747		160463	145379	0	0	3303	0	0	5579	17734	4933	2843	23313	549	2239	1839	520	15054	5147	0	0	2788	0													
19972	101101	0	0	0	0	0	0	0	0	0	101101	0	0		0	0		0	101101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
20053	19429	0	2273	33998	0	46636	0	0	7446	0	81098	0	7429		23465	25322		44363	73669	0	0	2230	7446	2490	5513	10972	13342	251	16485	1913	3037	1320	0	6612	6270	4851	0	4950	0													
20633	62362	0	19839	42983	0	143149	0	0	0	0	151776	0	12739		26442	28226		123305	138043	5	994	4785	0	0	9468	31981	6639	4219	41449	2653	4951	912	365	25865	8881	21247	0	7604	0													
20857	56607	0	65854	150385	0	261897	0	0	0	0	173934	0	14563		23498	68004		196043	159371	0	0	391	0	0	7548	21445	6292	2623	28993	4254	5821	1340	0	14410	11415	0	0	10075	0													
21256	1198	0	3423	3561	0	7456	0	0	0	0	3795	0	308		403	482		4033	2989	0	498	877	0	0	95	687	69	387	782	877	0	0	0	836	877	0	0	877	0													
21359	17269	0	2329	18128	0	26943	0	0	0	0	39326	0	2100		3761	16295		24614	37226	0	0	0	0	0	1166	3202	861	277	4368	0	0	255	0	1745	255	0	0	0	0													
21658	33634	2	4823	35861	0	94555	0	0	3	0	95035	0	8869		29789	12699	15900	89730	86166	0	0	6497	3	3	5338	19126	13857	4030	24404	978	4043	1064	266	12562	6351	0	0	5021	0	0	0	0	0	0	true							
22048	37688	0	15017	136017	0	136107	0	0	6295	0	104659	0	9457		18994	0		121090	94912	0	290	3021	6295	5842	9294	22238	12439	1078	31287	5645	11323	4954	0	26055	21922	0	0	16968	0													
22543	82646	17	15022	132133	0	178106	0	0	0	0	149674	0	17507		10520	47133		162819	131843	248	324	1896	0	0	3148	8939	3533	1946	10531	0	1586	0	743	7046	2329	19653	0	1586	0													
22552	18730	0	2915	12420	0	45430	0	0	4652	0	57850	0	2841		15781	6182		42515	55009	0	0	0	4652	0	3650	9557	16890	12	13207	792	301	1736	0	14328	2829	0	0	1093	0													
22730	158	0	31102	91474	0	123217	0	0	0	0	75041	0	8155		8497	59225		92115	66886	0	0	515	0	0	3187	4210	3469	1547	6440	1701	544	0	1000	3916	3245	0	0	2245	0													
23456	31797	0	11138	39434	0	137240	0	0	0	0	118380	0	12450		35261	18313		126102	105930	0	0	3203	0	0	7959	24141	17853	4422	32100	5687	6567	1641	0	19114	13895	0	0	12254	0													
23504	4733358	0	148087	1081609	0	1320798	0	0	259447	0	9407243	0	1635861		356382	3657669	236517	1172711	7771382	0	0	105284	248548	248548	266952	350991	122347	24166	617943	104477	113361	28665	5256	408074	251760	384382	10899	217838	0	0	0	465645	0	308863	true	115558	32241	1394275	1328673	1802411	225989	
23643	20090	0	25205	52757	0	114207	0	0	0	0	115450	0	11509		26288	2265		89002	103841	0	100	2755	0	0	8817	29968	16545	1472	38785	9214	17295	7522	2262	30513	36294	0	0	26509	0													
23755	97756	87	11535	83383	0	142318	0	0	0	0	132865	22	7954		8797	18327		130696	124889	0	0	1166	0	0	3392	5593	2727	2383	8985	289	1397	1000	0	5298	2686	12022	0	1686	0													
24006	387913	0	27082	217227	0	420828	0	0	30000	0	1113781	0	47080		152314	363090		393746	1066701	0	0	20147	30000	10000	57917	119610	94670	22183	177527	15555	28618	18614	5610	142067	68397	0	0	44173	0													
24378	25802	0	0	12506	0	19908	0	0	0	0	47115	0	500		12568	1798		19908	46615	0	0	1375	0	0	1629	5681	5792	5786	7310	0	315	312	0	6319	627	0	0	315	0													
24453	26125	0	1774	178333	0	207193	0	0	9492	0	195901	0	10884		6363	140641		205419	183248	0	1769	2205	9492	6711	4782	12513	7123	1210	17295	265	3242	0	0	19265	3508	5764	0	3507	1769													
24659	42473	0	1901	34054	0	57851	0	0	0	0	54983	0	2450		8061	689		55950	52533	0	0	1380	0	0	4075	3820	1991	953	7036	444	539	0	0	2777	983	0	0	983	0													
24668	464279	0	50040	58541	0	108616	0	0	0	0	1584472	0	131978		87721	685161		58079	1449356	497	3138	27067	0	0	69290	164469	24976	2325	233743	32269	123090	17524	1089	173339	173972	143682	0	155359	0													
24949	64663	0	14792	157458	0	207283	0	0	0	0	239239	0	5167		59607	80952		192243	234072	248	0	3866	0	0	20280	36378	29060	22	56573	2319	2186	3379	0	26133	7884	15613	0	4505	0													
25357	239012	0	15931	17554	0	47376	0	0	0	0	368874	252	4926		31053	48682		31445	363696	0	0	5380	0	0	20862	37763	7419	4403	58624	2610	6277	266	1581	39394	10734	0	0	8887	0													
25647	27585	1	0	93006	0	93341	0	0	0	0	179991	0	34		38265	22655	7144	93340	172706	0	7251	2843	0	0	23719	58855	15160	2427	82574	8235	18708	2389	259	61895	29591	0	0	26943	7251	0	0	0	0	0	false							
26457	3867	0	2382	7556	0	12451	0	0	0	0	28348	0	4056		3790	17040	700	10069	24292	0	0	464	0	0	1574	3281	1487	74	4855	0	756	269	0	2626	1025	0	0	756	0	0	0	0	0	0	true							
26765	71073	0	33241	113539	0	276691	0	0	0	0	2387318	0	185083		54811	1823359		242646	2167616	804	34619	8029	0	0	46557	141119	8223	3511	187676	69685	208309	14498	984	144599	293476	16008	0	277994	34378													
27070	199651	0	13733	176306	0	176306	0	0	11	0	569343	0	27297		124272	140025		162325	540751	248	1295	22411	11	11	60862	93677	37097	5420	144262	11798	14768	4050	1995	72784	32611	22677	0	25973	0													
27548	170391	0	71244	350536	0	653659	0	0	0	0	516385	0	107265		39526	267560		576054	406456	6361	2664	1215	0	0	9916	26142	18550	8125	36058	2754	10568	528	1852	23207	15702	81165	0	13322	2416													
27614	141010	0	6771	135401	0	257975	0	0	0	0	259795	0	45726		31416	51504		251204	214069	0	0	802	0	0	9631	22677	11941	4858	31687	11242	5782	1150	0	17690	18174	0	0	17024	0													
27847	80754	0	48892	154753	0	262715	0	0	4163	0	393913	0	28297		100721	57380		213575	361848	248	3768	20413	0	0	24115	81065	91945	3823	105180	8486	29754	12834	3756	100227	54830	14288	4163	38240	3768													
28013	1181584	0	374988	290926	0	495084	0	0	37827	0	3697159	0	232787		197294	2107608	76383	120096	3464372	0	0	28452	37827	16827	91249	153244	76972	15130	244493	11369	41634	13416	4953	139301	71372	0	0	53002	0	0	0	0	0	0	true	70572	49524	1903832	203775	1178081	2864	
28152	43884	0	6077	47513	0	70967	0	0	12	0	103198	0	7692		16656	35839	7869	64890	95506	0	0	2395	12	12	8342	7556	4966	1558	12440	0	1054	0	0	5766	1054	3140	0	1054	0	0	0	0	0	0	true							
28675	20870	0	18194	48501	0	49145	0	0	41331	0	106262	0	12209		52627	22371	3832	30951	94053	0	0	1004	40706	19676	7084	23419	21662	5280	30503	251	3803	1004	518	4818	5576	0	625	4054	0	0	0	0	0	0	false							
28732	28360	0	2818	48874	0	57210	0	0	0	0	66659	0	4011		6919	15273		54392	62648	0	0	1678	0	0	4189	9565	1553	91	13754	859	6095	675	0	8479	7629	0	0	6954	0													
29476	6602	0	1452	9342	0	27939	0	0	2191	0	48386	0	852		14000	959		26487	42724	0	4810	2811	0	0	7949	16691	9686	3342	24640	0	2212	445	500	23668	3157	3370	10	2212	7388													
29636	125753	0	54158	114209	0	194909	0	0	0	0	919828	0	160840		92683	548471		140751	758988	0	0	19023	0	0	38356	86605	42075	5265	124961	20931	40052	10941	1379	79618	73303	0	0	60983	0													
29878	799600	0	0	51212	0	188478	0	0	0	0	1262245	0	0		196169	23222	85051	188478	1262245	0	0	30797	0	0	78823	203908	76422	11459	282731	11092	36633	19751	1335	174443	68811	0	0	47725	0	0	0	0	0	0	true	17767	128105	22412	810	781040	18560	
30052	4880	0	0	17005	0	20585	0	0	0	0	19572	0	0		731	9391		20585	19572	0	0	0	0	0	405	3377	644	0	3782	375	500	0	0	3695	875	0	0	875	0													
30502	160193	0	111312	238915	0	562335	0	0	0	0	438677	0	16632		44708	195880		451023	421798	0	247	5320	0	0	9824	31688	18265	10299	41322	2654	7399	2165	310	25368	12528	0	0	10053	0													
30650	11129	0	1393	40649	0	63238	0	0	5	0	66852	0	493		8434	40598		61845	66359	0	0	424	5	0	3371	6446	3171	0	9817	870	276	702	289	4554	2137	5	0	1146	0													
30810	41072022	0	157	1589233	0	1646652	0	0	13181127	0	73924935	0	0		14592657	11021540	2637325	1646365	73924935	130	0	1042468	12474031	8179670	3781782	9132436	4420912	2589622	12914218	388900	1190848	224164	102709	5332095	1906621	0	683061	1579748	8532045	0	0	3235639	0	0	true	1299546	0	4949226	6072314	41072022	0	
31134	22589	7514	4211	74374	0	89300	0	0	0	0	62240	200	459		12692	9882	5488	77575	61581	0	0	2071	0	0	5415	14886	2445	822	20193	2306	3592	301	0	10877	6199	0	0	5898	0	0	0	0	0	0	true							
31255	17470	0	84010	96582	0	153401	0	0	0	0	614064	0	154373		19190	463150	5365	69391	459691	0	0	1879	0	0	15531	27934	4544	1684	18279	24458	56080	902	2310	30503	83751	2448	0	80538	0	0	0	0	0	0	false							
31657	17641	0	8935	44995	0	84629	0	0	0	0	78361	0	5026		13261	6098		75694	73335	0	0	3455	0	0	6258	23453	3945	0	29711	5402	13738	1826	0	20395	20966	0	0	19140	0													
31826	52511	0	32929	139029	0	180337	0	0	8691	0	190921	0	26849		32787	43130	15236	147408	164072	0	0	6390	0	0	15567	42469	14029	1842	35286	4846	11719	3623	1185	41120	21373	8691	0	16565	0	0	0	0	0	0	false							
31835	9877	0	16184	46594	0	69987	0	0	0	0	74380	0	15419		16652	6945		53803	58961	0	0	2860	0	0	10571	29498	2915	18	40069	2628	10893	1035	0	26350	14556	0	0	13521	0													
32234	16353	0	53718	64073	0	123614	0	0	35005	0	68826	0	29522		7159	13201		69648	34107	248	5197	971	35005	35005	6606	14474	1899	264	20616	1306	8823	5902	0	16083	16031	4005	0	10129	5446													
