"IDRSSD"	RCONK123	RCONK124	RCONK125	RCONK126	RCONK127	RCONK128	RCONK130	RCONK131	RCONK132	RCONK138	RCONK139	RCONK140	RCONK213	RCONK214	RCONK215	RCONK216	RCONK217	RCONK218	RCONK257	RCONK258	RCONK259	RCONK274	RCONK275	RCONK276	RCONK277	RCONK278	RCONK279	RCONK280	RCONK281	RCONK282	RCONL183	RCONL184	RCONL185	RCONL186	RCONL187	RCONL188	
	LN RSTR CMRL IND LN NUS ADR PD 30 - 	LN RSTR CMRL IND LN NUS ADR PD 90	LN RSTR CMRL IND LN NUS ADR NACRL	LN RSTR ALL OTHR LN LEASE PD 30 - 89	LN RSTR ALL OTHR LN LEASE PD 90	LN RSTR ALL OTHR LN LEASE NACRL	ITEMIZE LN FARM PD 30 - 89	ITEMIZE LN FARM PD 90	ITEMIZE LN FARM NACRL	ITEMIZE LN FINANCE AGRI FARM PD 30 -	ITEMIZE LN FINANCE AGRI FARM PD 90	ITEMIZE LN FINANCE AGRI FARM NACRL	AUTO LN TO IND HH FAM PD 30 - 89	AUTO LN TO IND HH FAM PD 90	AUTO LN TO IND HH FAM NONACCRUAL	OTHR LN TO IND HH FAM PD 30 - 89	OTHR LN TO IND HH FAM PD 90	OTHR LN TO IND HH FAM NONACCRUAL	LN RSTR CMRL IND LN PD 30 - 89	LN RSTR CMRL IND LN PD 90	LN RSTR CMRL IND LN NACRL	CREDIT CARD LN HOUSE FAMILY PD 30 - 	CREDIT CARD LN HOUSE FAMILY PD 90	CREDIT CARD LN HOUSE FAMILY NACRL	ITEMIZE AUTO LN HOUSE FAMILY PD 30 -	ITEMIZE AUTO LN HOUSE FAMILY PD 90	ITEMIZE AUTO LN HOUSE FAMILY NACRL	OTHR CNSMR LN HOUSE FAMILY PD 30 - 8	OTHR CNSMR LN HOUSE FAMILY PD 90	OTHR CNSMR LN HOUSE FAMILY NACRL	PURCH CREDIT IMPR LN BAL PD 30 - 89	PURCH CREDIT IMPR LN BAL PD 90	PURCH CREDIT IMPR LN BAL NACRL	PURCH CREDIT IMPR LN CARRY PD 30 - 8	PURCH CREDIT IMPR LN CARRY 90	PURCH CREDIT IMPR LN CARRY NACRL	
49951													0	0	0	0	0	0																			
50144													51	3	2	36	3	3													0	0	0	0	0	0	
50461				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
51253	0	0	0	0	0	4	0	0	0	0	0	0	42	60	0	184	8	4	0	0	0	0	0	0	0	0	0	0	0	4							
51356				0	0	0	0	0	0	0	0	0	8	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
51459													0	0	0	8	0	0																			
51842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
52719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
52951													315	70	109	396	0	198																			
53051													25	7	0	0	0	0																			
54058	0	0	0	0	0	5539	0	0	0	0	0	5539	4	0	0	28	6	4	0	0	0	0	0	0	0	0	0	0	0	0							
54656	0	0	0	0	0	4	0	0	0	0	0	0	29	0	0	25	0	20	0	0	22	0	0	0	0	0	0	0	0	0							
54973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2196	0	3192	31	0	3558	0	0	0	0	0	0	0	0	0							
55336													0	0	0	43	0	0																			
55635													54	0	0	0	0	0																			
55653													54	29	25	0	0	0																			
55970													0	0	0	0	0	0																			
56258													7	0	4	0	8	32																			
56351	0	0	0	0	0	2670	0	0	0	0	0	0	505	0	0	193	17	17	0	0	479	0	0	0	0	0	0	0	0	0							
56548													0	0	0	0	0	0																			
56717													19	0	0	21	0	1																			
57040				0	0	0	0	0	0	0	0	0	42	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0							
57451													0	0	0	258	0	0																			
58225													37	0	58	24	0	0																			
58243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	71	0	3	0	0	0	0	0	0	0	0	0	0	0	0							
58355													0	0	0	0	0	0																			
58551													141	1	121	48	1	3																			
58636													554	0	173	136	0	15																			
58757													0	0	0	2	0	7																			
58971	0	0	0	0	0	41	0	0	0	0	0	0	34	0	29	13	0	349	0	0	469	0	0	0	0	0	0	0	0	0							
59316													197	0	121	27	0	0																			
59352													1	0	0	2	0	0																			
59370													0	0	0	223	0	33																			
59754													27	0	0	0	0	0																			
60143							0	0	0																												
60330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	19	0	0	0	0	0	0	0	0	0	0	0	0							
60545													44	0	6	39	3	21																			
60554													0	0	0	1	0	0																			
60648													5	0	0	18	0	0																			
61122	0	0	0	0	0	0	0	0	0	0	0	0	83	1	23	66	2	0	0	0	0	0	0	0	0	0	0	0	0	0							
61355													23	0	0	10	0	0																			
61476													0	0	0	0	0	0																			
61757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
61832													1	0	0	0	0	0																			
61953													0	0	0	0	0	0																			
62044													0	0	0	0	0	0																			
62110													0	0	0	0	0	0																			
62147													0	0	0	0	0	0																			
63050													62	24	3	0	0	0																			
63069							0	0	0																												
63201													0	0	0	99	0	0																			
63573													0	0	0	0	0	0																			
63733	0	0	0	0	0	34	0	0	0	0	0	0	184	0	146	1014	737	122	0	0	0	0	0	0	0	0	25	0	0	9							
63742													0	0	0	0	0	41																			
63751				0	0	0	0	0	0				53	11	81	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0							
64150													0	0	0	0	0	0																			
64552				0	0	0	0	0	0				30	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
64730													31	0	4	3	0	0																			
65205													0	0	0	6	0	0																			
65513							0	0	0																												
65559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
65746	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	23	0	8	0	0	0	0	0	0	0	0	0	0	0	0							
65858													54	0	1	55	0	37																			
66154													69	0	7	50	0	24																			
66275													16	0	6	8	7	0																			
66677				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
67142													0	1	0	7	0	0																			
67151													0	0	0	0	0	0																			
67209													0	0	0	220	30	192																			
67254													2	0	0	0	0	0																			
67656	0	0	0	0	0	269	0	0	0	0	0	0	0	0	35	3	0	6	0	0	225	0	0	269	0	0	0	0	0	0							
67870													0	0	0	0	0	0																			
68671													0	0	0	0	0	0																			
68756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
68831													19	0	0	0	0	0																			
69333	0	0	0	0	0	0	0	0	0	0	0	0	578	0	89	86	0	28	0	0	0	0	0	0	0	0	0	0	0	0							
69678													0	0	0	25	0	0																			
70218				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
70414													0	0	0	10	0	0																			
70638													66	0	34	493	0	195																			
70955													0	0	0	0	0	0																			
71073													0	0	0	50	0	0																			
71457													0	0	0	5	0	0																			
71859													0	0	0	0	0	5													0	0	0	0	0	0	
72258													0	0	0	0	0	0																			
72351													0	5	0	1	0	0																			
72454													0	0	0	0	0	0													0	0	0	0	0	0	
72678													27	0	24	7	0	177																			
73116													0	0	0	0	0	0																			
73152													0	0	0	9	0	0																			
73554													0	3	13	0	0	0																			
73956													0	0	0	0	0	0																			
74056													0	0	0	0	0	0																			
74140	0	0	0	0	0	2399	0	0	2230	0	0	0	15	0	0	19	0	0	22	0	103	0	0	0	0	0	0	0	0	0							
74403	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	212	45	135	0	0	35	0	0	0	0	0	0	0	0	0							
74449													1	0	0	0	0	0																			
75259													0	0	0	0	0	0																			
75446													15	0	0	4	0	17																			
75455													0	0	31	2	3	15																			
75633							151	0	59538																												
75651													0	6	22	11	0	0																			
76153				0	0	0	0	0	0	0	0	0	146	0	14	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0							
76443													1	0	0	24	0	1																			
76854													0	0	0	0	0	0																			
77150				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
77253													24	0	0	0	6	0																			
77422													0	0	0	0	0	0																			
77851	0	0	0	0	0	821	0	0	639	0	0	182	6	0	9	177	3	2	0	0	0	0	0	0	0	0	0	0	0	0							
78157													28	0	0	17	9	0																			
78241													41	16	10	6	6	3																			
78559													0	0	32	0	0	0																			
79042				0	0	0	0	0	0				4	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
79127													60	0	130	11	0	35																			
