"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDJA29	RCFDJF76	RCFDK183	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCFNK260	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONJA29	RCONJF76	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK183	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONLG26	RCONLG27	RCONLG28	RCONLL57	RCONLL58	RCONLL59	RCONLL60	RCONLL61	RCONMM07	RCONMQ52	RCONN523	RCONN524	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
156457																																		531	0	0	472	0	0		0	0	0	0	0	220	0	0			0	0	0	0	0	0	0	0	0	0	0	0						59																					0	0	0	0	0	0	0	0																					www.hcbmn.com	
156635																																		0	0	0	0	0	0		0	0	0	0	0	506	0	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					0	0	0	0	0	0	0	0																						
156970																																		0	0	0	0	0	0		0	0	0	0	0	599	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			1	true	1	2	0	0	0	0	0	0																					www.familybankonline.com	
157155																																		0	175	30	0	0	7837		6	0	0	0	169	1171	1	0			0	30	500	0	7307	0	0	0	0	0	0	0					0	0																					1	778	0	0	0	0	0	0																					http://www.thayercountybank.com	
157379																																		0	0	0	0	0	0		0	0	0	0	0	1858	2	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					6	266	0	0	0	0	0	0																						
157650																																		2387	0	0	2057	0	0		0	0	0	0	0	1400	1	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0		330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					8	962	0	0	0	0	0	0																					https://www.MNLB.BANK	
157744																																		488	0	0	27	461	0		0	0	0	0	0	3303	1	461			0	0	0	0	0	0	0	0	0	0	0	0					20	0																					0	0	0	0	0	0	0	0																					http://www.myhhsb.com	
157856																																		0	0	0	0	0	0		0	0	0	0	0	23	0	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					2	8	0	0	0	0	0	0																					https://www.fbtok.com	
158376																																		0	0	0	0	0	0		0	0	0	0	0	1477	1	0			0	0	0	0	0	0	0	0	0	0	0	0					28	0																			1	true	0	0	0	0	0	0	0	0																						
158741																																		0	0	5000	0	0	5000		0	0	0	0	0	419	0	0			0	5000	0	0	0	0	0	0	0	0	0	0					0	0																					0	0	0	0	0	0	0	0																						
159636																																		5411	0	0	4806	605	2301		0	0	0	0	0	27925	6	697	true	0	0	0	0	0	0	0	0	0	0	2301	0	2301	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					30	607	0	0	0	0	0	0					www.dekalbcommunitybank.com		www.communitybankofsmithcounty.com		www.trousdalebankandtrust												www.wilsonbank.com	
159645																																		0	0	8000	0	0	23950		0	0	0	0	0	618	0	0			0	8000	7450	7000	1500	0	0	0	0	0	0	0						0																					0	0	0	0	0	0	0	0																					www.statebankofreeseville.com	
159953																																		0	0	20	0	0	2419		0	0	0	0	0	1691	1	0			0	20	132	270	1997	0	0	0	0	0	0	0						0																					1	19	0	0	0	0	0	0																					https://www.oklabank.com	
159971																																		0	0	0	0	0	0		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																			1	true	0	0	0	0	0	0	0	0																						
160360																																		5	0	0	0	0	0		0	0	0	0	0	9489	2	0			0	0	0	0	0	0	0	0	0	0	0	0						5																					8	3808	0	0	0	0	0	0																						
160454																																		1088	0	0	1088	0	0		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0					13	0																					2	938	0	0	0	0	0	0																						
160650																																		1885	0	10000	1712	0	111000		0	0	0	0	0	13795	2	0	true	0	0	10000	0	0	101000	0	0	0	0	0	0	0	true	false	0	0		173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					4	469	0	0	0	0	0	0																					http://www.charterbank.bank	
160959																																		0	436	3700	0	0	88740		0	0	30	0	406	15718	2	0	false	0	0	33700	36607	8500	9933	45000	0	0	0	0	0	0	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					144	12948	0	0	0	0	0	0																					http://ksstate.bank	
161273																																		4153	0	3650	2558	236	6430		0	0	0	0	0	17566	3	236			0	3650	22	2450	308	2000	0	0	0	0	0	0					2948	1359																					97	14130	0	0	0	0	0	0																					NORTHSHORE-BANK.com	
161602																																		12039	0	100000	8818	3221	227163		0	0	0	0	0	10705	4	5393			3289	100000	100000	0	0	0	3289	5955	5333	12586	0	27163					8700	0																					869	47598	0	0	0	0	0	0																						
162337																																		5575	311	0	5004	0	0		35	0	231	0	45	1338	0	0			0	0	0	0	0	0	0	0	0	0	0	0						571																					3	888	0	0	0	0	0	0																					http://www.ctcbonline.com	
163343																																		416	0	0	0	416	0		0	0	0	0	0	2207	2	416			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					1	136	0	0	0	0	0	0																						
163549																																		24671	0	5000	15528	8963	59699		0	0	0	0	0	5034	4	11447	false	0	0	9699	10000	10000	30000	40000	0	0	0	0	0	0	true	false	0	0		180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					136	21047	0	0	0	0	0	0																					http://www.incrediblebank.com	
163857																																		134	0	56	134	0	9414		0	0	0	0	0	307	0	0			0	56	595	1263	7500	0	0	0	0	0	0	0						0																					114	7457	0	0	0	0	0	0																					http://www.fmbankok.com	
164153																																		533	969	0	0	533	0		0	0	0	0	969	1092	1	540			0	0	0	0	0	0	0	0	0	0	0	0					36	0																					0	0	0	0	0	0	0	0																						
164331																																		24	124	0	0	0	0		0	0	0	0	124	3325	2	0			0	0	0	0	0	0	0	0	0	0	0	0						24																					94	5707	0	0	0	0	0	0																					http://www.lbandt.com	
164377																																		0	744	4000	0	0	8000		744	0	0	0	0	907	1	0			0	4000	4000	0	0	0	0	0	0	0	0	0					0	0																					0	0	0	0	0	0	0	0																						
164957																																		0	0	0	0	0	0		0	0	0	0	0	371	0	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					1	14	0	0	0	0	0	0																						
164975																																		94	0	0	0	94	0		0	0	0	0	0	2827	1	94			0	0	0	0	0	0	0	0	0	0	0	0						0																					2	72	0	0	0	0	0	0																					http://www.stoughtoncoop.bank	
165628																																		1037917	72	185000	937174	15782	253764		0	0	72	0	0	19131	3	15782	true	0	21034	185000	0	0	0	0	21034	32834	11497	3399	0	67990	true	true	0	0	19135	84961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					326	22162	0	0	0	0	0	0																					www.bankatfirst.com	
165758																																		0	765	0	0	0	0		336	429	0	0	0	802	1	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					53	2375	0	0	0	0	0	0																					http://www.newmarket.bank	
166111																																		0	35	3040	0	0	15766		0	0	35	0	0	0	0	0			0	3040	12136	590	0	0	0	0	0	0	0	0					0	0																					88	1825	0	0	0	0	0	0																						
166531																																		0	0	0	0	0	786		0	0	0	0	0	894	1	0			0	0	0	268	518	0	0	0	0	0	0	0						0																					10	181	0	0	0	0	0	0																					http://www.bankoffrankewing.com	
166652																																		3643	0	3000	2399	1244	8000		0	0	0	0	0	3	0	1874	true	0	0	3000	5000	0	0	0	0	0	0	0	0	0	true	true	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					6	878	0	0	0	0	0	0																					http://www.alliancebanks.com	
166849																																		0	204	5000	0	0	6000		0	0	54	0	150	338	0	0			0	5000	0	1000	0	0	0	0	0	0	0	0					0	0																					0	0	0	0	0	0	0	0																						
167453																																		556	0	1000	0	556	1000		0	0	0	0	0	1281	0	556			0	1000	0	0	0	0	0	0	0	0	0	0					0	0																					0	0	0	0	0	0	0	0																						
167752																																		1065	0	0	1065	0	0		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	true	false				0																					0	0	0	0	0	0	0	0																					http://www.bankwithmnb.com	
168357																																		3998	53	0	3836	0	0		0	0	0	0	53	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0		162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			1	true	1	1	0	0	0	0	0	0																					www.comdevbank.com	
168571																																		3521	0	0	2348	0	0		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0					0	1173																					0	0	0	0	0	0	0	0																						
169327																																		0	0	5833	0	0	16904		0	0	0	0	0	10935	5	0			347	5833	2226	2000	4010	0	347	453	407	1628	0	0						0																					0	0	0	0	0	0	0	0																					http://www.providentstatebank.com	
169354																																		0	0	0	0	0	0		0	0	0	0	0	1200	1	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					12	833	0	0	0	0	0	0																						
169653																																		28778	353	0	0	28623	0		0	0	353	0	0	10108	1	28623	true	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0	2000	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					286	32671	0	0	0	0	0	0																					WWW.FIRST.BANK	
169756																																		0	0	0	0	0	0	true	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					44	14250	0	0	0	0	0	0																					http://www.wcb.net	
