"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	RIADMG93	RIADMG94	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	Provisions for credit losses on off-	Estimated amount of expected recover	
2881445			0	0	0	0	0	0	0																						
2882983			2331	198	19	0	2224	110	0																						
2883971			2762	0	12	0	2750	0	0																						
2887399			2946	62	1	0	2883	0	0																						
2889227		0	1180	0	0	0	1180	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
2897633			1365	26	19	0	1330	10	0																						
2901558			390	0	0	0	395	5	0				0																		
2903123			3891	88	151	0	3757	105	0			0	0																		
2905761			526	0	0	0	526	0	0																						
2907019			4753	1	1	0	4790	39	0																						
2907439			2790	1930	0	0	860	0	0				0																		
2909330			0	0	0	0	0	0	0																						
2912750		0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
2913702			3133	45	1	0	3088	1	0				0																		
2914268		0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
2914727			5291	0	22	0	5293	24	0																						
2915461			6780	0	62	0	6742	24	0																						
2916534			2683	105	44	0	2645	111	0																						
2916963		0	0	0	0	0	0	0	0			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2917184			1166	0	0	0	1166	0	0																						
2917317		0	143188	4500	276	0	140305	1893	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	
2919423			693	10	0	0	683	0	0																						
2919898			3630	108	22	0	3501	1	0				0																		
2920287			1413	0	26	0	1393	6	0																						
2920773			7343	300	183	0	6906	46	0																						
2921211			2507	0	0	0	2507	0	0																						
2921622			756	7	3	0	746	0	0																						
2921659			0	0	0	0	0	0	0																						
2925620			3703	-205	20	0	3888	0	0																						
2925666		0	261618	1341	3556	0	263233	6512	0			0		161	0	946	0	0	1107	0	0	0	0	0	0	0	0	0	500	0	
2929392			8085	0	0	0	8085	0	0																						
2938198		0	19229	445	166	0	18998	380	0					3	0	11	0	0	14	0	0	0	0	0	0	0	0	0	-928	0	
2938769			1893	0	3	0	1892	2	0			0	0																		
2939001			749	0	2	0	747	0	0																						
2939391			1756	20	1	0	1743	8	0																						
2941068		0	49906	300	34	0	49672	100	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2942690		0	461276	2706	3535	0	474390	21319	1964			0		56	0	-11	0	0	45	0	0	0	0	0	0	0	0	0	0	0	
2942823			4092	0	0	0	4092	0	0																						
2943615			4149	0	5	0	4145	1	0																						
2947556			0	0	0	0	0	0	0																						
2948058			6205	210	16	0	5980	1	0																						
2948423			2501	50	47	0	2427	23	0																						
2949970			379	30	0	0	349	0	0																						
2953418			3409	391	14	0	3075	71	0			0	0																		
2954059			33980	-2575	202	0	37119	766	0				580																		
2954497			2608	0	3	0	2605	0	0																						
2958972			9605	255	99	0	9282	31	0																						
2960555			1020	7	3	0	1010	0	0																						
