"IDRSSD"	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD4266	RIAD4267	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4655	RIAD4662	RIAD4665	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADC217	RIADC218	RIADC234	RIADC235	RIADC388	RIADC880	RIADC891	RIADC892	RIADC893	RIADC894	RIADC895	RIADC896	RIADC897	RIADC898	RIADF185	RIADF187	RIADF188	RIADK129	RIADK133	RIADK205	RIADK206	
17147	0	0	119	0	0	0	1052	136		0		3	465	8		0		0	0	0	0	3	0	0	20	34			0	0	36	71	81	18			0	0	0	0	2	707	1	0	0	0		157	45	59	20	
17259	0	0	0	0	0	0	5	0				1	11	0		4							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				7	4	0	0	
17950	0	0	0	0	0	0	4	0				0	2	0		0				0		0	0	0	0	0			0	0	1	0	0	0			0	0	0	0	0	0	0	0				2	1	0	2	
17978	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
18050	0	0	0	0	0	0	32	1				0	54	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				6	0	48	31	
18827	0	0	0	0	0	0	52	46				2	6	0		0				0		0	0	0	0	0			0	0	4	0	0	0			0	0	0	0	0	0	0	0				0	0	6	0	
18836	0	0	0	0	0	0	128	0				0	42	0		0							0	0	0	0			0	0	112	0	17	0			0	0	0	0	0	0	0	0				0	0	25	16	
18854	0	0	0	0	0	0	9	9		0		0	2	2		0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	0	0	
19356	0	0	0	0	0	0	1	0				0	2	0		0				0		0	0	0	0	0			0	0	1	0	0	0			0	0	0	0	0	0	0	0				2	0	0	0	
19936	0	0	0	0	0	0	15	0				3	5	0		3				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	7	0	0	0	0				0	2	2	3	
19972	0	0	0	0	0	0	0	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
20053	0	0	0	0	0	0	1	0				0	5	0		0							0	0	0	0			4	0	1	0	1	0			0	0	0	0	0	0	0	0				0	0	0	0	
20633	0	0	0	0	0	0	4	0				0	14	0		3				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	11	0	0	0				0	0	0	4	
20857	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
21256	0	0	0	0	0	0	0	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
21359	0	0	0	0	0	0	3	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	2	0	1	
21658	0	0	0	0	0	0	20	0				0	1	0		0				0		0	0	0	0	0			0	0	20	0	0	0			0	0	0	0	0	0	0	0				1	0	0	0	
22048	0	0	0	0	0	0	4	1				0	62	23		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				10	2	29	1	
22543	0	0	0	0	0	0	4	0				0	4	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	1	0	0				0	0	4	3	
22552	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
22730	0	0	0	0	0	0	21	0				0	75	0		0							0	0	0	0			0	0	1	0	0	0			0	0	0	0	0	0	0	0				0	0	75	20	
23456	0	0	0	0	0	0	14	1				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	13	
23504	0	0	0	2	0	0	54	51		0		0	2638	2635		0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	3	1	
23643	0	0	0	0	0	0	25	0				0	29	2		0							0	0	0	0			0	0	0	0	0	0			0	0	1	0	0	0	0	0				23	20	3	5	
23755	0	0	0	0	0	0	8	0				0	37	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				31	1	6	7	
24006	0	0	0	0	0	0	27	18				0	31	15		0				0		0	0	0	0	2			0	0	3	0	0	0			0	0	0	0	0	0	0	0				0	0	16	4	
24378	0	0	0	0	0	0	0	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
24659	0	0	0	0	0	0	2	0				0	36	36		0				0		0	0	0	0	0			0	0	2	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
24668	0	0	0	0	0	0	825	281				0	2472	2471		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	19	0	0				0	0	1	525	
24949	0	0	0	0	0	0	58	5				0	3	0		0				0		0	0	0	0	1			1	1	19	0	0	0			0	0	0	0	0	4	0	24				0	0	2	4	
25357	0	0	0	0	0	0	18	0				0	44	6		0				0		0	0	0	0	0			0	0	7	0	5	0			0	0	0	0	0	0	0	0				0	0	33	11	
25647	0	0	0	0	0	0	0	0		0		0	0	0		0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	0	0	
26457	0	0	0	0	0	0	0	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
26765	0	0	0	0	0	0	51	10				20	505	480		25				0		0	0	0	0	0			0	0	12	0	0	0			0	0	0	0	0	9	0	0				0	0	0	0	
27070	0	0	0	0	0	0	0	0				0	7	0		0				0		0	0	0	0	0			0	0	0	0	1	0			0	0	0	0	0	0	0	0				0	0	6	0	
27548	0	0	0	0	0	0	84	0				0	214	0		0				0		0	0	0	0	0			0	0	37	0	49	0			0	0	0	0	73	0	0	0				6	0	86	47	
27614	0	0	0	0	0	0	15	0				0	25	0		0				0		0	0	0	0	0			0	0	13	1	16	1			0	0	0	0	0	0	0	0				0	0	8	1	
27847	0	0	0	0	0	0	36	1				0	45	0		0				0		0	0	0	0	0			0	0	2	0	22	0			0	0	0	0	0	3	0	0				12	13	11	17	
28013	0	0	0	24	0	0	83	5		0		0	183	183		0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	54	0	0	0	0		0	0	0	0	
28152	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
28675	0	0	0	0	0	0	0	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
28732	0	0	0	0	0	0	1	0				0	8	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	8	1	
29476	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
29636	0	0	0	0	0	0	252	5				0	82	56		0				0		0	0	0	0	0			9	5	21	0	0	0			0	1	0	3	0	25	0	0				0	0	17	192	
29878	0	0	0	0	0	0	0	0		0		0	0	0		0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	0	0	
30052	0	0	0	0	0	0	0	0				0	2	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	2	0	
30502	0	0	0	0	0	0	43	19				16	39	0		30				0		0	0	0	0	0			0	0	1	0	0	0			0	0	0	0	0	0	0	0				0	1	9	6	
30650	0	0	0	0	0	0	0	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
30810	0	0	0	0			234784		136	0	0	0	602464		0	0	901	0	0	0	0	0	0	0	0	0			540084	209737	43	139	0	23	105663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61456	24729	
31134	0	0	0	0	0	0	6	0				0	10	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	1	10	5	
31255	0	0	0	0	0	0	5	5		0		0	2	2		0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	0	0	
31657	0	0	0	0	0	0	12	11				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	1	
31826	0	0	0	0	0	0	26	5		0		1	22	14		0		0	0	0	0	1	0	5	0	0			0	0	0	0	0	0			0	0	0	0	0	6	0	0	0	0		1	0	7	14	
31835	0	0	0	5	0	0	20	5				0	21	1		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				11	9	9	1	
32234	0	0	0	0	0	0	7	0				0	11	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	11	7	
32766	0	0	0	0	0	0	0	0				0	21	21		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
32971	0	0	0	0	0	0	29	5				0	29	0		0				0		0	0	0	0	1			0	0	5	2	0	0			0	0	0	0	0	0	0	0				0	0	29	16	
33147	0	0	0	0	0	0	2	0				1	9	0		0				0		0	0	0	0	0			0	0	1	0	0	0			0	0	0	0	0	0	0	0				7	0	2	0	
33259	0	0	0	0	0	0	245	0				0	371	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	245	0	0	371	0	0	0				0	0	0	0	
33268	0	0	0	0	0	0	1	0				0	1	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	1	1	
33370	0	0	0	0	0	0	0	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
33839	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
33857	0	0	0	0	0	0	39	25		0		1	0	0		0		0	0	0	0	1	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	3	0	10	
34434	0	0	0	0	0	0	16	5				1	7	0		0				0		1	0	0	0	0			0	2	0	0	0	0			0	0	0	0	0	0	0	0				0	0	7	8	
34537	0	0	0	0	0	0	586	177		0		0	670	569		0		0	0	0	0	0	0	0	0	3			0	0	100	88	4	0			0	0	0	10	0	0	0	0	0	0		0	17	97	191	
34555	0	83	0	0	0	0	84	0		0		0	4	0		0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	1	4	0	
34742	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
35057	0	0	0	0	0	0	11	0				0	23	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	23	11	
35301	0	0	0	0			0		0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
35570	0	0	92	0	0	0	1219	772		0		6	244	80		0		0	0	0	0	0	0	0	0	0			0	0	372	4	27	0			0	0	0	0	0	34	44	0	0	0		0	0	1	31	
35646	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
35879	0	0	0	0	0	0	0	0				0	18	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	18	0	
36456	0	0	0	0	0	0	11	11				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
36933	0	0	0	0	0	0	0	0				0	10	7		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				2	0	1	0	
37051	0	0	0	0	0	0	0	0				0	1	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	1	0	
37341	0	0	0	0	0	0	0	0				0	8	0		8				8		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
37435	0	0	0	0	0	0	176	24				0	164	2		0				0		0	0	0	0	4			14	5	29	1	0	0			0	0	0	15	0	24	0	0				68	20	80	54	
37640	0	0	0	0	0	0	113	7		0		90	369	5		195		0	0	0	0	0	0	0	37	1			39	4	1	0	11	0			0	0	0	0	0	0	67	9	0	0		6	1	9	0	
37659	0	0	0	0	0	0	1	0				0	9	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	9	1	
37949	0	0	0	0	0	0	3	3				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
38740	0	0	0	0	0	0	2	0				1	9	0		6				0		0	0	0	0	0			0	0	0	0	0	3			0	0	0	0	0	0	0	0				0	0	0	1	
39327	0	0	0	0	0	0	6	0				5	27	0		27				0		0	0	0	0	0			0	0	1	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
39756	0	0	0	0	0	0	77	77		0		0	0	0		0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	0	0	
40033	0	0	0	0	0	0	1	0				0	0	0		0							0	0	0	0			0	0	1	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
40499	0	0	0	0	0	0	116	43		0		0	2846	4		0		0	0	0	0	0	0	0	0	1			0	0	0	11	0	0			0	0	0	0	36	24	2786	0	0	0		1	21	19	16	
40855	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
41553	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
41629	0	0	0	0	0	0	43	0				0	47	0		0							0	0	0	0			0	1	0	0	0	0			0	0	0	0	0	3	0	0				45	35	2	4	
41825	0	0	0	0	0	0	4	4		0		0	7	0		0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	7	0	
42037	0	0	0	0	0	0	1	0				0	2	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	2	1	
42354	0	0	0	0	0	0	0	0				0	2	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	2	0	
42372	0	0	0	0	0	0	4	3				0	1	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	1	1	
42420	0	0	0	0	0	0	489	54		0		26	1623	163		312		0	0	0	0	0	0	0	99	6			109	24	23	0	40	0			0	0	0	0	0	9	0	5	0	0		552	255	348	87	
42448	0	0	0	0	0	0	142	5		0		111	390	64		228		0	0	20	0	0	0	0	0	0			11	7	16	1	16	0			0	0	0	0	0	0	0	0	0	0		20	0	51	2	
42457	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
