"IDRSSD"	RCFD0010	RCFD0022	RCFD0070	RCFD0082	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0080	RCON0082	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BALANCES WITH BKS IN FGN COUNTRIES	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	
352772						1170847	104480	0	184750	26718	854899	
353238												
353546												
353555						1480295	53820	0	49642	150142	1226691	
353957												
354057												
354253												
354310						94514	41868	0	16298	6390	29958	
354552												
354851												
355120												
355559												
355858						61089	18993	0	5159	2834	34103	
356239												
356659												
356752												
357526												
357553												
357777												
357937												
358112												
358448												
358756												
359472												
359650												
359744												
360777												
361055												
361167						124009	51024	0	58391	1740	12854	
361279												
361354												
361439						41750	0	0	2368	6524	32858	
362043												
362155												
362717						15268	8195	0	5331	1245	497	
362856												
362940												
363442												
363648												
363657						15896	6217	0	3671	1283	4725	
363778												
364131												
364270	67572	2864	0	1195	63513	66842	0	0	2134	1195	63513	
364430												
364850												
365325						1656734	117575	0	187026	108113	1244020	
365745												
365848												
365950												
366078												
366238						157154	0	0	21967	20766	114421	
366247												
366359												
366658												
366854												
367150												
367178												
367431												
367543												
368054												
368344												
368522												
368933												
368951												
369453												
369659												
370020												
370347												
370721												
370833												
370954												
371223												
371232												
371362												
371559												
371755												
371849												
371924												
371942												
372444												
372538												
372640												
372855												
373272												
373553												
373601						396664	0	0	1243	277514	117907	
374130												
374653						1092008	13798	0	153311	26284	898615	
374774												
375043						28189	7263	0	15981	1368	3577	
375379												
375502												
375566												
375650												
376237												
376273						384148	18	0	13006	15005	356119	
376442						32509	5471	0	1865	11315	13858	
376947												
377663												
377850												
378044												
378110												
379050												
379153												
379470												
379649												
379920						2051225	220486	38248	189353	165570	1437568	
380346												
380458												
380533												
380878												
380944												
381026												
381343						237395	4805	0	11768	41115	179707	
381932												
381950												
382050						27218	224	216	3500	8194	15084	
382069						11948	1840	0	8388	1720	0	
382256												
382274												
382443												
382537												
382649												
382658												
382742												
382854												
384018												
384278						109608	20119	0	10805	6601	72083	
384353												
384652												
384830												
385350												
385471												
385547												
385686												
386432												
386450						19619	685	0	1230	14112	3592	
386731												
386825												
387055												
387671												
388155												
388258												
388557												
388744												
388753												
388874												
389358												
389376												
389826												
390372												
390840												
391418												
391557												
391575	20222	5808	0	7901	6513	18354	279	0	3761	7801	6513	
391959												
391977												
392152												
392255												
392778												
393252												
393355												
393953												
394156												
394259						10403	5104	0	3384	1915	0	
395238						1614243	247201	0	208996	135016	1023030	
396057												
396244						10554	0	0	5509	733	4312	
396253												
396954												
397456												
397531												
397540						192195	35427	0	14893	14521	127354	
397559												
397755												
397858												
398051												
398248						24945	0	0	2608	1840	20497	
398668	468470	0	0	3823	464647	468470	0	0	0	3823	464647	
398837												
399357												
399517						280333	44256	0	15536	2765	217776	
399731												
399973												
400057												
400141												
400365												
400767												
401072												
401559												
401755												
401906												
401951												
402846												
402873												
403067												
403151						75458	37779	0	15330	5825	16524	
403179												
403254												
403656												
403870												
403946												
404653												
404943												
406022												
406059												
406666												
406974												
407168												
407506												
407645												
407850												
408307						11487	1996	0	1877	579	7035	
408642												
408875												
409265												
410159												
410560												
410748						48541	1675	0	791	38	46037	
410917												
410944												
411062												
411174												
411231												
411240												
411512						38562	6784	0	3202	2710	25866	
411549												
411576												
411624												
411651												
412153												
412452												
412555												
412667												
412751						740250	35816	0	173336	48211	482887	
412845												
412872												
413141						101043	3562	0	386	14792	82303	
413208	43277615	507464	552155	33654	42184342	43277476	277145	552016	230319	33654	42184342	
413347												
413543												
413646												
413673												
413758												
414102												
414652												
414764												
414858												
416245						227544	80778	0	43258	53210	50298	
416272												
416339												
416357												
416656												
416674												
417626												
417710												
418100												
418249												
418436												
418856												
419406						65056	27216	0	33127	4713	0	
419460												
419675												
419947												
420578												
420644												
420653												
420877												
421445												
421539												
422059												
422116												
422433						120164	0	0	16387	2011	101766	
422657												
423159												
423449												
423636												
423739												
424156												
424240												
424352												
424437												
424633												
425050												
425108												
425818												
425845												
425911												
426057												
426141												
426534						160031	0	0	18951	6777	134303	
426758												
426945												
427241												
427353												
427858												
427960												
428060												
428462												
428547						52660	12112	0	3472	3004	34072	
428855												
429021												
429487												
430036						61881	404	0	5066	20786	35625	
430054												
430344												
431172						975014	91848	685	28333	17767	836381	
431323												
431350												
432058												
432432												
433505						64401	5789	0	2667	23445	32500	
433550												
433608						80232	46233	0	19496	1463	13040	
433859												
433943												
434203						138552	168	281	1442	7790	128871	
434539												
435059												
435077						157317	8004	1477	0	31910	115926	
435255												
435666												
435750						55698	8384	0	11211	26076	10027	
436159						637007	804	0	24599	368264	243340	
436542												
436739												
436953												
437044												
437914						1668196	53589	2372	670928	77704	863603	
439132						69853	0	0	4254	13802	51797	
439338						490903	0	0	14449	241149	235305	
439356												
439404						46324	13342	0	9058	497	23427	
439730												
440857												
440978												
441050												
441078												
441135												
441256						33275	21091	0	7374	2996	1814	
441359												
441470												
441630												
442011												
442057												
442244												
442655												
443148												
443205												
443353												
443625												
443634												
444350												
444556												
444677												
445674												
445955												
446130												
446149												
446176												
446877												
447070												
447100						42865	7300	0	3220	20477	11868	
447557												
448040												
448554												
449038												
449430												
449832						24252	307	0	2537	8958	12450	
449935												
450632												
450669												
450753						12633	4397	0	1980	346	5910	
450856						54140	28749	0	20642	1246	3503	
450959												
451068												
451246												
451273						28105	51	0	730	27324	0	
451965	147290000	24313000	17934000	1115000	103928000	132968000	11783000	3612000	12530000	1115000	103928000	
452159												
452739												
452841												
453147												
453446												
453839												
454546												
454658												
454676												
454975												
455150												
455253						43015	0	0	1530	4885	36600	
455459												
455552												
455945												
455972						649637	12699	0	6523	3401	627014	
456045						2811643	0	0	117079	337548	2357016	
456054												
456250												
456344												
456755						12825	16	0	3821	33	8955	
457060												
457220												
457426												
457752												
458142												
458544												
458665												
458946												
459130												
459354												
459372												
459644												
459671						484910	0	0	3044	25515	456351	
460033						129332	954	0	31458	42771	54149	
460275												
460332												
460350												
460556												
460770												
461058												
463203												
463342						22386	13056	0	7329	337	1664	
463605												
463650												
463735						1418396	419440	254	204370	81009	713323	
464255												
464853												
465038												
465243												
465524												
465618												
465672												
466044												
466240												
466754												
466932												
467144												
467470												
467658												
467733												
468673												
468806												
469250												
469559												
469737												
470032												
470050						465563	121560	0	78463	37631	227909	
470434												
470452						284724	12980	0	13459	1627	256658	
471057												
472018												
472045												
472148												
472250						13204	3	0	88	13113	0	
472531												
472616						65463	5725	0	4730	7312	47696	
472643												
472951												
472979												
473042												
473257												
473266												
473501						865374	112703	0	30459	29590	692622	
473930												
474058												
474245												
474254						83586	63381	0	17957	697	1551	
474357												
474450												
474544												
474656												
474759						510701	28319	0	36185	313532	132665	
474919						380946	163145	6837	102789	98124	10051	
475345												
475354												
475653												
475756												
476342												
476445												
476472												
476539												
