"IDRSSD"	RCON9224	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	ID_LEI	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
731957		20220630	First National Bank of Proctor	05232	Proctor	MN	55810	
732178	5493003K28DNSKKT2059	20220630	Grand Savings Bank	32084	Grove	OK	74344	
732253		20220630	Citizens Progressive Bank	10531	Columbia	LA	71418	
732637		20220630	Whitesville State Bank	16453	Whitesville	WV	25209	
732758		20220630	Bankers' Bank Of The West	23210	Denver	CO	80202	
732918	549300YHEI1EIYO6OO67	20220630	Jersey Shore State Bank	14359	Williamsport	PA	17701	
732954		20220630	Carmine State Bank	19278	Carmine	TX	78932	
733054		20220630	Industry State Bank	12506	Industry	TX	78944	
733540		20220630	Gateway Bank	8730	Rison	AR	71665	
733559	549300FlWDHCWQ3TFP96	20220630	Great Plains State Bank	14058	Petersburg	NE	68652	
733661		20220630	HATCH BANK	25803	SAN MARCOS	CA	920784012	
733755		20220630	Jonesburg State Bank	8896	Jonesburg	MO	63351	
733951		20220630	CITIZENS STATE BANK   TRUST CO	11778	ELLSWORTH	KS	67439	
734248		20220630	Iowa State Bank	950	Algona	IA	50511	
734350		20220630	Gibsland Bank & Trust Company	16689	Gibsland	LA	71028	
734538	254900AJRJFBKW35HR72	20220630	First National Bankers Bank	25247	Baton Rouge	LA	70809	
734613	5493002XZSI0KH03JY56	20220630	THE BANK OF LANDISBURG	90384	LANDISBURG	PA	170400179	
735049		20220630	Freeland State Bank	14926	Freeland	MI	48623	
735067	549300HVUN4WJ2BRSZ39	20220630	TEXAS REPUBLIC BANK, NA	3400	FRISCO	TX	75034	
735414		20220630	First National Bank Of Blanchester, The	6530	Blanchester	OH	45107	
735441	549300BNZVNK1XN85P72	20220630	American State Bank	228	Sioux Center	IA	51250	
735973	5493000UF8SCP783XB88	20220630	Scottsburg Building And Loan Association	29910	Scottsburg	IN	47170	
736158		20220630	THE POTTER STATE BANK OF POTTER	17205	POTTER	NE	69156	
736206	549300Q8HL7EWEE0HW14	20220630	CAMBRIDGE TRUST COMPANY	8152	CAMBRIDGE	MA	02138	
736550		20220630	Union State Bank	18610	Everest	KS	66424	
736662		20220630	First State Bank, The	9973	Rice	TX	75155	
737548	54930038YN5XV3SDVZ83	20220630	BankIowa of Cedar Rapids	17282	Cedar Rapids	IA	52402	
738013	549300HNMUG8WS7JLL28	20220630	THE CITIZENS NATIONAL BANK	6531	BLUFFTON	OH	45817	
738040		20220630	United Bank Of Iowa	958	Ida Grove	IA	51445	
738143	549300QWYPPH283K6R36	20220630	PROSPECT BANK	3722	Paris	IL	61944	
738255		20220630	Town & Country Bank	1434	Ravenna	NE	68869	
738303	2549006A34A1F1ZGTT81	20220630	East Cambridge Savings Bank	90173	Cambridge	MA	02141	
738657		20220630	The City State Bank	17607	Fort Scott	KS	66701	
738769	549300FZGNW8VUSEDB98	20220630	Community National Bank & Trust Of Texas	18185	Corsicana	TX	75110	
739346		20220630	Atkins Savings Bank and Trust	9096	Atkins	IA	52206	
739355	549300NJ26KCZVDMI076	20220630	Texas National Bank	26181	Jacksonville	TX	75766	
739560	5493006F1N8E3EEF3W63	20220630	FREMONT BANK	19222	Fremont	CA	94538	
739832		20220630	Fisher National Bank	17513	Fisher	IL	61843	
740249		20220630	First Whitney Bank And Trust	254	Atlantic	IA	50022	
741068	549300FEVB4NXSZ0NJ55	20220630	Fidelity Bank of Texas	21455	Waco	TX	76708	
741152		20220630	Junction National Bank	15078	Junction	TX	76849	
741330	549300YRN588YD6VNJ18	20220630	F&M Bank	9963	Clarksville	TN	37040	
741358		20220630	PEOPLES STATE BANK	16744	CHERRYVALE	KS	67335	
741648		20220630	SECURITY BANK	16395	STEPHENS	AR	71764	
741844		20220630	Farmers Savings Bank	18394	Marshalltown	IA	50158	
741956		20220630	THE MER ROUGE STATE BANK	314	MER ROUGE	LA	71261	
741974		20220630	First Federal Savings Bank of Kentucky	29937	Frankfort	KY	40601	
742056		20220630	CASTROVILLE STATE BANK	17979	Castroville	TX	78009	
742542	549300BZ038VQFB4UY84	20220630	First Community Bank	11225	Milton	WI	53563	
742636		20220630	Mississippi River Bank	23222	Belle Chasse	LA	70037	
742944	549300RTMAIJNRX52596	20220630	Forte Bank	5297	Hartford	WI	53027	
743679	25490073NY7HKXVMGG76	20220630	RELIANCE SAVINGS BANK	30117	ALTOONA	PA	16601	
743950		20220630	Farmers Bank Of Lohman	8268	Jefferson City	MO	65109	
744854	549300WV31PDXKIYPW48	20220630	Citizens Bank	16817	Kilgore	TX	75662	
745150		20220630	The Gorham State Bank	17114	Gorham	KS	67640	
745347	254900R45U4PYCJR7P30	20220630	BOONE BANK & TRUST CO.	33552	BOONE	IA	500360428	
746157		20220630	Sentry Bank	8546	Saint Joseph	MN	56374	
746429	549300VZ3M0323R12653	20220630	Touchstone Bank	6139	Prince George	VA	23875	
746755		20220630	Bank Of Hays	17769	Hays	KS	67601	
746942		20220630	Union State Bank	8499	Greenfield	IA	50849	
746979		20220630	Spratt Savings Bank	30987	Chester	SC	29706	
747051		20220630	HOMEPRIDE BANK	11466	MANSFIELD	MO	65704	
747257		20220630	The Halstead Bank	17451	Halstead	KS	67056	
748254		20220630	BankCherokee	8537	St. Paul	MN	55107	
748357		20220630	CHAPPELL HILL BANK	11570	CHAPPELL HILL	TX	77426	
748441		20220630	Warren Bank and Trust Company	81	Warren	AR	71671	
748964	549300JF52QHLC8BF081	20220630	Texas State Bank	18698	San Angelo	TX	76901	
749242		20220630	Renasant Bank	12437	Tupelo	MS	38804	
749635		20220630	AuburnBank	35	Auburn	AL	36831	
749840		20220630	Farmers State Bank	9295	Lake View	IA	51450	
749943		20220630	RARITAN STATE BANK	10438	RARITAN	IL	61471	
750051		20220630	NORTH STAR BANK	16733	ROSEVILLE	MN	55113	
750127		20220630	The Peoples Bank	12885	Chestertown	MD	21620	
750341	254900VOHINLR793U293	20220630	Highpoint Community Bank	11407	Hastings	MI	49058	
750444		20220630	STATE BANK OF BUSSEY	1556	BUSSEY	IA	50044	
750846		20220630	SECURITY STATE BANK	15839	ALGONA	IA	50511	
751254	549300ELJT7N25NEWL38	20220630	Progrowth Bank	8536	Nicollet	MN	56074	
751656	549300ZZZUYWXK72JD21	20220630	Frandsen Bank & Trust	1399	Lonsdale	MN	55046	
751852		20220630	Central Bank of Kansas City	17009	Kansas City	MO	64124	
752644		20220630	Mechanics Bank	12206	Water Valley	MS	389650707	
752831		20220630	Bank Of Madison	148	Madison	GA	30650	
753052		20220630	MONTROSE SAVINGS BANK	8594	MONTROSE	MO	64770	
753324		20220630	Bank of Clarke County	6123	Berryville	VA	22611	
753641		20220630	Huron State Bank	23126	Rogers City	MI	49779	
753856		20220630	The Donley County State Bank	11891	Clarendon	TX	79226	
754068		20220630	C3bank, N.A.	25249	Encinitas	CA	92024	
754246		20220630	LOGAN STATE BANK	4476	LOGAN	IA	51546	
754536		20220630	Vermilion Bank & Trust Company	17841	Kaplan	LA	70548	
754826	54930087JNDLPJWOLV11	20220630	Vinton County National Bank	6636	McArthur	OH	45651	
754853		20220630	The First National Bank Of Hutchinson	4697	Hutchinson	KS	67501	
754929	549300Q745S62Q6QNW78	20220630	The National Bank Of Blacksburg	6821	Blacksburg	VA	24060	
755252	5493001WL16YUSR2TI47	20220630	Cross Keys Bank	9322	Saint Joseph	LA	71366	
755421		20220630	THE BLUE GRASS VALLEY BANK	8672	BLUE GRASS	VA	24413	
755458		20220630	Foresight Bank	5229	Plainview	MN	55964	
756343		20220630	Malvern Bank	14230	Malvern	IA	51551	
756848	254900A9CML4JKHW8E85	20220630	Community First Bank	10595	Butler	MO	64730	
757377		20220630	Liberty Bank For Savings	29009	Chicago	IL	60647	
757452	54930058F1PNDGW35714	20220630	Farmers State Bank	13897	Cameron	MO	64429	
757779		20220630	MCS Bank	28186	Milroy	PA	17063	
758703	549300FHGNOLF14HHS09	20220630	Cambridge Savings Bank	17870	Cambridge	MA	02138	
758842	254900UH275N6ULKI387	20220630	Citizens Savings Bank	10125	Anamosa	IA	52205	
758851		20220630	First Bank Of The Lake	26960	Osage Beach	MO	65065	
759045		20220630	First Eagle Bank	25883	Chicago	IL	60607	
759625		20220630	Bank of Botetourt	6137	Buchanan	VA	24066	
760210		20220630	THE FARMERS AND MERCHANTS BANK	10280	CALDWELL	OH	437241289	
760331		20220630	Brannen Bank	5676	Inverness	FL	34450	
760340		20220630	National Bank of St Anne	16752	St Anne	IL	609640380	
760434	5493005QZNPGRQNTRB15	20220630	Ipava State Bank	10473	Ipava	IL	61441	
760649		20220630	Audubon State Bank	5814	Audubon	IA	50025	
760854	549300DHRESF8KLNP162	20220630	Southwest Missouri Bank	22876	Carthage	MO	64836	
760939		20220630	First Bank Of Pike	9070	Molena	GA	30258	
760957		20220630	THE FIRST STATE BANK OF ROSEMOUNT	9769	ROSEMOUNT	MN	55068	
761244		20220630	Belgrade State Bank	12208	Belgrade	MO	63622	
761459	549300HDE2HTZZL30G11	20220630	PINE COUNTRY BANK	13652	LITTLE FALLS	MN	56373	
761543		20220630	Ohnward Bank & Trust	10111	Cascade	IA	52033	
761806	WV0OVGBTLUP1XIUJE722	20220630	Webster Bank, National Association	18221	Stamford	CT	6902	
761833		20220630	Community Bank & Trust - West Georgia	25796	Lagrange	GA	30240	
761851		20220630	First Independent Bank	1900	Russell	MN	56169	
761954	549300YDU8N5KZBYRU81	20220630	Coleman County State Bank	15480	Coleman	TX	76834	
762045	254900OZCVAL2OC4DT59	20220630	State Savings Bank	248	West Des Moines	IA	50265	
762447	549300XOTES5TCS8T794	20220630	First Mid Bank & Trust, National Association	3705	Mattoon	IL	61938	
762474	549300L9MOPDT0NKE883	20220630	Fidelity Bank, N.A.	30895	Wichita	KS	67202	
762773		20220630	Abacus Federal Savings Bank	32257	New York	NY	10013	
763211		20220630	Bank Of Hindman	289	Hindman	KY	41822	
763677	5493005ES4J6H2VR7264	20220630	Security Federal Bank	31100	Aiken	SC	29801	
763930		20220630	FARMERS & MERCHANTS BANK	5716	LAKELAND	GA	31635	
764030	IUGPUX5LWRZ3B6KIZ697	20220630	Ameris Bank	20504	Atlanta	GA	30305	
764058	549300TN0C13QXN1P552	20220630	Highland Bank	16111	Maple Grove	MN	55369	
764067		20220630	The American National Bank Of Mount Pleasant	22942	Mount Pleasant	TX	75455	
764142		20220630	Federation Bank	14352	Washington	IA	52353	
764151		20220630	Lovelady State Bank	21807	Lovelady	TX	75851	
764816		20220630	Citizens Guaranty Bank	20872	Richmond	KY	40475	
765318		20220630	Citizens Bank & Trust Co. Of Jackson	18620	Jackson	KY	41339	
765354		20220630	BANK OF CROCKER	1937	WAYNESVILLE	MO	65583	
765505	549300YOEBGKPKU43Q28	20220630	Webster Five Cents Savings Bank	90297	Auburn	MA	01501	
765662		20220630	Muenster State Bank	15523	Muenster	TX	76252	
765877		20220630	Home Savings Bank	28246	Chanute	KS	66720	
766052		20220630	Community Bank Of El Dorado Springs	23551	El Dorado Springs	MO	64744	
766164		20220630	TBK Bank, SSB	23498	Dallas	TX	75251	
767040	549300ZR4W4QC0CKBE55	20220630	Legacy Bank	15414	Altoona	IA	50009	
767152		20220630	First National Bank in Cooper	3149	Cooper	TX	75432	
767246		20220630	Chesterfield State Bank	10872	Chesterfield	IL	62630	
767255		20220630	Lamar Bank and Trust Company	1964	Lamar	MO	647590190	
767554	549300B8JQ9XD5FQQH32	20220630	Citizens Bank & Trust Company Of Vivian, Louisiana	19744	Vivian	LA	71082	
767572		20220630	Tucumcari Federal Savings and Loan Association	29059	Tucumcari	NM	88401	
767611		20220630	Bank of Richmondville	12956	Cobleskill	NY	12043	
767732	5493008P3PCRZRS39T50	20220630	South Georgia Banking Company	20198	Omega	GA	31775	
767974	549300ZGCIDP1G72QO72	20220630	CFBank, NA	28263	Worthington	OH	43085	
768074	5493003K18C4JU5UJ328	20220630	First Financial Northwest Bank	29058	Renton	WA	98057	
768458		20220630	Community 1st Bank Las Vegas	16854	Las Vegas	NM	87701	
768476		20220630	RAYMOND FEDERAL BANK	28266	RAYMOND	WA	98577	
768953	5493003KAGPHV2OJT577	20220630	THE BANK OF TIOGA	17280	TIOGA	ND	58852	
769156		20220630	First State Bank Of Sauk Centre	8831	Sauk Centre	MN	56378	
769334		20220630	EXCHANGE STATE BANK	12402	LANARK	IL	61046	
770451		20220630	FARMERS & MERCHANTS STATE BANK OF SPRINGFIELD	13382	SPRINGFIELD	MN	56087	
770545		20220630	Middletown State Bank	10463	Middletown	IL	62666	
770639	254900RAPDJZFI07WS81	20220630	Hometown National Bank	3691	La Salle	IL	61301	
770657	549300AFD1IR7H2CES48	20220630	Nodaway Valley Bank, The	8904	Maryville	MO	64468	
770853		20220630	FIRST MIDWEST BANK OF DEXTER	19001	DEXTER	MO	63841	
771047		20220630	Citizens State Bank Of Milford	931	Milford	IL	60953	
771140	549300LTSES0DE01Z405	20220630	DIETERICH BANK	3787	Effingham	IL	62401	
771458	5493005KZM1DEUYVS783	20220630	First American Bank	2240	Artesia	NM	88210	
771609	549300OTLWFQPOOSC346	20220630	Baycoast Bank	90196	Swansea	MA	02777	
771748	254900YUF5NHPY7YH136	20220630	CHELSEA SAVINGS BANK	15427	BELLE PLAINE	IA	52208	
771878	5493003617RJR4JUYT66	20220630	First Federal Savings Bank	28924	Ottawa	IL	61350	
772008	5493009TVPZT8PYBF879	20220630	South Shore Bank	90303	Weymouth	MA	2190	
772446		20220630	Comerica Bank & Trust, National Association	1596	Ann Arbor	MI	48104	
772754		20220630	Metz Banking Company	1945	Nevada	MO	64772	
773032		20220630	FARMERS STATE BANK	879	LINCOLNTON	GA	30817	
773171		20220630	Mid-Central National Bank	30943	Wadena	MN	56482	
773247		20220630	Midland States Bank	1040	Effingham	IL	62401	
773443		20220630	Clinton National Bank, The	4439	Clinton	IA	52732	
773470		20220630	Malaga Bank, Fsb	32282	Palos Verdes Estates	CA	90274	
773742		20220630	CITIZENS NATIONAL BANK OF CHEBOYGAN	5018	CHEBOYGAN	MI	49721	
774132		20220630	Volunteer State Bank, Inc.	22451	Portland	TN	37148	
774235		20220630	CITIZENS NATIONAL BANK OF QUITMAN, THE	14731	QUITMAN	GA	31643	
774253		20220630	Northern State Bank Of Virginia	19589	Virginia	MN	55792	
774262	549300Y5YUNNHUW2EQ06	20220630	CommunityBank of Texas, National Association	3363	Beaumont	TX	77706	
774347		20220630	Farmers Savings Bank	14807	Colesburg	IA	52035	
775054		20220630	The Eastern Colorado Bank	16125	Cheyenne Wells	CO	80810	
775241		20220630	Community National Bank in Monmouth	19230	Monmouth	IL	61462	
775456	549300YSSK1TDPTWQ036	20220630	NATIONAL BANK OF COMMERCE	14266	SUPERIOR	WI	54880	
775773	549300WIE2SKOKI8PF63	20220630	North Shore Trust and Savings	27683	Waukegan	IL	60085	
776369		20220630	FIRST STATE BANK OF ODEM	16334	ODEM	TX	783700726	
776547		20220630	Meade County Bank, Inc.	25173	Brandenburg	KY	40108	
777254	549300TLO48M0X8Z5B67	20220630	HERITAGE BANK MINNESOTA	08865	WEST CONCORD	MN	55985	
777366		20220630	Bank Of The Orient	20387	San Francisco	CA	94111	
777441		20220630	Flora Bank & Trust	22598	Flora	IL	62839	
777870		20220630	Altoona First Savings Bank	27711	Altoona	PA	16602	
778738		20220630	Citizens Bank	14851	Elizabethton	TN	37643	
779016	5493008CMM76GR76GS36	20220630	Mifflinburg Bank and Trust Co.	10685	Mifflinburg	PA	17844	
779351		20220630	Merchants Bank, National Association (WIN)	8866	Winona	MN	559870248	
779360		20220630	Community Bank	17445	Joseph	OR	97846	
779641		20220630	The Port Austin State Bank	14999	Port Austin	MI	48467	
779650	549300MPDN3KQZW68M43	20220630	Chippewa Valley Bank	12322	Hayward	WI	54843	
779968		20220630	STATE BANK OF INDIA (CALIFORNIA)	23998	LOS ANGELES	CA	90017	
780049		20220630	Bank of Kilmichael	9775	P O Box 187	MS	39747	
780218	254900BDGU9FU91PQA51	20220630	The Union Bank Company	12969	Columbus Grove	OH	45830	
780263	549300L66TXE6HC20R70	20220630	Ozona Bank	3376	Ozona	TX	769430430	
780722	549300RPUEZ5IC514S19	20220630	HEBRON SAVINGS BANK	8811	HEBRON	MD	21830	
780955		20220630	WAUMANDEE STATE BANK	10384	WAUMANDEE	WI	546228112	
782016		20220630	Bank Of Maysville	9315	Maysville	KY	41056	
782306	549300TR6MWKSIOP3B72	20220630	Brookline Bank	17798	Boston	MA	02117	
782548		20220630	Clinton Bank	304	Clinton	KY	42031	
783161	5493005LNO5N4F760786	20220630	First Northern Bank Of Dixon	3440	Dixon	CA	95620	
783246	254900826Z45GD791J96	20220630	Grinnell State Bank	11347	Grinnell	IA	50112	
783349		20220630	State Bank of Nauvoo	13582	Nauvoo	IL	623540218	
783648	549300SKTBTC2QFDKG02	20220630	Centier Bank	12854	Merrillville	IN	46410	
783844	5493002FSR6V2NM1K863	20220630	CITIZENS BANK	13055	MUKWONAGO	WI	531490223	
783910	549300HPK3YMV2JKCB12	20220630	North Valley Bank	2284	Zanesville	OH	43701	
784159		20220630	Peoples Community Bank	22394	Greenville	MO	63944	
784430		20220630	THE MERCHANTS AND CITIZENS BANK	183	MCRAE	GA	31055	
785147		20220630	The Farmers National Bank Of Danville	2740	Danville	KY	40422	
785473	WKN6AF1FCL7BBYGTGI83	20220630	First Savings Bank	29961	Jeffersonville	IN	47130	
785857		20220630	James Polk Stone Community Bank, The	2244	Portales	NM	88130	
785923	549300Q55VW95EP3CM33	20220630	LCNB National Bank	6623	Lebanon	OH	45036	
785950	549300EB748TPUCF9H23	20220630	Legacy Bank	17676	Colwich	KS	67030	
786210	549300D88XVKM6DJOC77	20220630	Traditional Bank, Inc.	2711	Mt. Sterling	KY	40353	
786256		20220630	The State Bank	15751	RICHMOND	MO	64085	
786340		20220630	First American National Bank	19226	Iuka	MS	38852	
786555	2549009PBYH62M6NZK12	20220630	Peoples State Bank Of Plainview	1100	Plainview	MN	55964	
786612	254900L0MIAM922ZEC34	20220630	Mid Penn Bank	9889	Millersburg	PA	17061	
786733		20220630	Jefferson Security Bank	9997	Shepherdstown	WV	25443	
786948		20220630	First Bank Hampton	4464	Hampton	IA	50441	
787141		20220630	Exchange State Bank	18838	Adair	IA	50002	
787459		20220630	Prinsbank	10191	Prinsburg	MN	56281	
787842		20220630	First Iowa State Bank	14930	Albia	IA	52531	
788559	549300VFIO7B8IHC0H05	20220630	FARMERS AND DROVERS BANK	12602	COUNCIL GROVE	KS	66846	
788652		20220630	WOODLAND BANK	8863	DEER RIVER	MN	56636	
788773		20220630	Hometown Bank	31028	Redwood Falls	MN	56283	
789051		20220630	Ninnescah Valley Bank	4652	Cunningham	KS	67035	
790150		20220630	BANK OF IBERIA	8584	IBERIA	MO	65486	
790271		20220630	Washington Savings Bank	29227	Effingham	IL	62401	
790543	549300JVXDPLF4P32H95	20220630	Community State Bank	18272	Ankeny	IA	50021	
790703	549300LV12W1ZFWAU543	20220630	Lee Bank	33645	Lee	MA	01238	
790918	254900JM9VOQ8A8WF359	20220630	FIRST KEYSTONE COMMUNITY BANK	7404	BERWICK	PA	18603	
791072		20220630	Interstate Bank	31043	Perryton	TX	79070	
791353		20220630	Bankwest	16704	Rockford	MN	55373	
791821	549300YUWQTVWWH3TM22	20220630	The National Capital Bank Of Washington	2093	Washington	DC	20003	
791942		20220630	Nekoosa Port Edwards State Bank	02482	Nekoosa	WI	54457	
792453	5493007NM6T1Q8VZWI14	20220630	State Bank Of Downs	9659	Downs	KS	67437	
792640		20220630	State Savings Bank	14773	Creston	IA	50801	
792659		20220630	National Bank & Trust	3289	La Grange	TX	78945	
794149	549300SG7DAVFO3NTC34	20220630	Commercial National Bank Of Texarkana	19024	Texarkana	TX	75503	
794336	549300B4NFKK32EM2C60	20220630	First National Bank of South Miami	17093	South Miami	FL	33143	
794345		20220630	Blue Grass Savings Bank	13753	Blue Grass	IA	52726	
794475		20220630	EUREKA HOMESTEAD	29268	METAIRIE	LA	70005	
794653		20220630	First National Bank at St. James	14853	St. James	MN	56081	
795249		20220630	First State Bank	8522	Britt	IA	50423	
795548		20220630	CITIZENS STATE BANK	9047	MONTICELLO	IA	52310	
795959		20220630	KENNETT TRUST BANK	18879	KENNETT	MO	63857	
795968	XJCRTTYJVBMA22IXL619	20220630	Bank of Hawaii	18053	Honolulu	HI	96813	
796152	54930025OQ7Y7X795P35	20220630	First State Bank	17950	Clute	TX	77531	
796451		20220630	Bank Of Kirksville	1635	Kirksville	MO	63501	
796572		20220630	Home Federal Savings Bank	29042	Rochester	MN	55901	
796657		20220630	The Lyon County State Bank	14952	Emporia	KS	66801	
797140	549300HZMPZC336WP721	20220630	The Bank Of New Glarus	10378	New Glarus	WI	53574	
797775	5493008TK613NXC2EN84	20220630	BLUE FOUNDRY BANK	30052	RUTHERFORD	NJ	7070	
798512	2549002H3CEW0748X068	20220630	First National Bank Of Brooksville, The	2682	Brooksville	KY	41004	
799359		20220630	Red Rock Bank	1386	Sanborn	MN	56083	
799751		20220630	Minnesota National Bank	5249	Sauk Centre	MN	56378	
799854		20220630	The City National Bank Of Colorado City	3144	Colorado City	TX	79512	
799939		20220630	Hartsburg State Bank	11716	Hartsburg	IL	62643	
799948	549300SEIRB4CK6DTC04	20220630	FIRST NATIONAL BANK OF LAWRENCE COUNTY	3896	WALNUT RIDGE	AR	72476	
800134	549300TUISK0W7DE2464	20220630	Harvard State Bank, The	9079	Harvard	IL	60033	
800442		20220630	bank of winona	12207	winona	MS	38967	
800479		20220630	Tarboro Savings Bank, SSB	29061	Tarboro	NC	27886	
800657	54930082GM1TWV6QVI24	20220630	Bremer Bank, National Association	12923	Saint Paul	MN	55102	
800853		20220630	Centinel Bank of Taos	19904	Taos	NM	87571	
801047	549300D6J5NNUQ1QZ810	20220630	First State Bank	15271	New London	WI	54961	
801056		20220630	The Farmers State Bank	13883	Mcpherson	KS	67460	
801654		20220630	The First State Bank	12315	Columbus	TX	78934	
802866	0K2D5AK28E3O5CC06E35	20220630	Silicon Valley Bank	24735	Santa Clara	CA	95054	
803256		20220630	TRIUMPH STATE BANK	1906	TRIMONT	MN	561760329	
803265		20220630	Robert Lee State Bank	15442	Robert Lee	TX	76945	
803649	549300JGL6C3EZEB8H05	20220630	Green Belt Bank & Trust	26760	Iowa Falls	IA	50126	
803658		20220630	Farmers State Bank of Trimont	01929	Trimont	MN	56176-0388	
803957		20220630	KODABANK	8386	DRAYTON	ND	582250369	
804150		20220630	231	9747	Vergas	MN	56587	
804338	5493005SBCJ71Z4XVY11	20220630	FIRST BANK OF HIGHAND PARK	17470	HIGHLAND PARK	IL	60035	
804374	549300K2EV48DVSYNV15	20220630	Home Federal Bank	27654	Shreveport	LA	71101	
804422	254900R8ZBXT7V5OH304	20220630	THE FARMERS & MERCHANTS BANK OF CRAIG COUNTY	9986	NEW CASTLE	VA	24127	
804860		20220630	Citizens State Bank	22657	Roma	TX	78584	
804963	QOT5WN9RBKQTFRVKEV31	20220630	Bank of the West	3514	San Francisco	CA	94104	
805045	254900ORL3AOAHZ46F19	20220630	Exchange State Bank	10132	Collins	IA	50055	
805250	254900YTIBBOK7PFSV38	20220630	FNB BANK	14420	GOODLAND	KS	677350570	
805335		20220630	Bank Of Monticello	2145	Monticello	GA	31064	
805755		20220630	First National Bank North	5269	Walker	MN	56484	
805876	5493004QMY56VOFMPG66	20220630	PennCrest BANK	30119	Altoona	PA	16601	
806220		20220630	Sandhills Bank	17953	North Myrtle Beach	SC	29582	
806846	254900DTLB5WWMBJAD86	20220630	Bank Five Nine	12517	Oconomowoc	WI	53066	
806958	254900WRP19TBSQG0Z89	20220630	Midwest Bank	9737	Detroit Lakes	MN	56501	
807348		20220630	BRISTOL MORGAN BANK	9523	OAKFIELD	WI	53065	
807432		20220630	Mount Vernon Bank	8028	Mount Vernon	GA	30445	
807656		20220630	Citizens Bank of Ada	19679	Ada	OK	748211468	
807955	549300BRSSSUNB0U6552	20220630	American Bank, N.A.	20241	Corpus Christi	TX	78466	
808260	OZ7MS5KHJY6WIPGXQW23	20220630	Farmers & Merchants Bank Of Central California	1331	Lodi	CA	95240	
808345		20220630	State Central Bank	5820	Bonaparte	IA	52620	
808354		20220630	State Bank of Wheaton	8827	Wheaton	MN	56296	
808653		20220630	TruCommunity Bank	15306	Garrison	ND	585400339	
809070		20220630	Mutual Savings and Loan Association	27716	Metairie	LA	70006	
809276		20220630	United Midwest Savings Bank, National Association	32441	De Graff	OH	43318	
809379		20220630	Investors Community Bank	29093	Chillicothe	MO	64601	
809650		20220630	Texana Bank, National Association	3302	Linden	TX	75563	
809771		20220630	Yakima Federal Savings and Loan Association	28116	Yakima	WA	98901	
809856		20220630	The Bank of Burlington	15759	Burlington	CO	80807	
810544		20220630	Crawford County Trust And Savings Bank	8511	Denison	IA	51442	
811046	II61D6IY86YZ37HBBL25	20220630	Bankers Trust Company	953	Des Moines	IA	50309	
811279		20220630	Standard Bank	27757	Murrysville	PA	15668	
811457		20220630	First National Bank of Lipan	3303	Lipan	TX	76462	
811541		20220630	Auburn Banking Company	284	Auburn	KY	42206	
811550		20220630	American Exchange Bank	428	Henryetta	OK	74437	
811747		20220630	Security Savings Bank	15734	Canton	SD	57013	
812164		20220630	STATE STREET BANK AND TRUST COMPANY OF CALIFORNIA,N.A	26474	Irvine	CA	92618	
812379		20220630	FIRST COMMUNITY BANK OF CULLMAN	30166	CULLMAN	AL	35055	
812436		20220630	Itasca Bank & Trust Co.	16666	Itasca	IL	60143	
812557	549300J9E3YDKIBPUY45	20220630	Bank Forward	8941	Hannaford	ND	58448	
812614		20220630	Commercial Bank Of Grayson, The	10137	Grayson	KY	41143	
813059		20220630	Harwood State Bank	9128	Harwood	ND	58042	
813572		20220630	Cecil  Bank	31121	Elkton	MD	219220469	
813853		20220630	Community Resource Bank	5219	Northfield	MN	55057	
814074		20220630	First Federal Bank, A Fsb	31127	Tuscaloosa	AL	35406	
814355		20220630	Security State Bank Of Oklee	10982	Oklee	MN	56742	
814430	GDN5JXQ4P5NZE28ZRC90	20220630	CITY NATIONAL BANK OF FLORIDA	20234	MIAMI	FL	33130	
814458		20220630	CHARTER BANK	18660	CORPUS CHRISTI	TX	78410-0000	
814476		20220630	Millville Savings Bank	30183	Millville	NJ	08332	
814551	254900OI3V8V16I60I06	20220630	Kearney Trust Company	9794	Kearney	MO	64060	
814711		20220630	PEOPLES BANK AND TRUST COMPANY	8117	HAZARD	KY	417020989	
815053		20220630	Goppert Financial Bank	8569	Lathrop	MO	64465	
815147		20220630	Honor Bank	8165	Honor	MI	49640	
815156	5493002POZ4RFS6X0Z30	20220630	Dakota Community Bank   Trust, N.A.	15728	Hebron	ND	58638	
815277		20220630	Quaint Oak Bank	35497	Southampton	PA	18966	
815754		20220630	Bank Of Cherokee County	2327	Hulbert	OK	74441	
815772		20220630	The Cincinnatus Savings And Loan Company	28157	Cheviot	OH	45211	
816256		20220630	The First National Bank of Hooker	4123	Hooker	OK	73945	
816304		20220630	Marblehead Bank	90234	Marblehead	MA	01945	
816603	549300HKYBSATM44Q425	20220630	The Washington Trust Company, of Westerly	23623	Westerly	RI	02891	
816751		20220630	Kindred State Bank	8946	Kindred	ND	58051	
817477		20220630	Union Savings Bank	29121	Freeport	IL	61032	
817824	AD6GFRVSDT01YPT1CS68	20220630	PNC Bank, National Association	6384	Wilmington	DE	19899	
818401	549300CPZ5G5IZWT7878	20220630	Main Street Bank	90235	Marlborough	MA	01752	
818540		20220630	FIRST NATIONAL BANK OF MANNING	4477	MANNING	IA	51455	
818559		20220630	FIRST STATE BANK OF RED WING	8191	RED WING	MN	550661821	
