"IDRSSD"	RCON9224	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	ID_LEI	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
276074		20220630	Seneca Savings	29496	Baldwinsville	NY	13027	
276159		20220630	Southwind Bank	04735	Natoma	KS	67651	
276551		20220630	The First National Bank of Hugo	3029	Hugo	CO	808210158	
276579	8WH0EE09O9V05QJZ3V89	20220630	Zions Bancorporation, National Association	2270	Salt Lake City	UT	841331109	
276645		20220630	American State Bank	26944	Osceola	IA	50213	
276654		20220630	First Farmers & Merchants State Bank Brownsdale	1600	Brownsdale	MN	55918	
276850		20220630	SECURITY FIRST BANK	5415	LINCOLN	NE	68516	
276953		20220630	COMMUNITY BANK	1687	AVON	SD	57315	
277240		20220630	First Nation Bank	22282	Chicago	IL	60631	
277277		20220630	SSB Bank	30431	Pittsburgh	PA	15237	
277679		20220630	Interstate Federal Savings and Loan Association of McGregor	29501	McGregor	IA	52157	
277736		20220630	PEOPLES BANK OF THE SOUTH	4945	LAFOLLETTE	TN	37766	
277820		20220630	Palmetto State Bank	17563	Hampton	SC	29924	
278256		20220630	The Farmers State Bank of Oakley, Kansas	1867	Oakley	KS	677480160	
278555	549300O5QDIJU8S7O105	20220630	Stride Bank, N.A.	4091	Enid	OK	73701	
278733		20220630	The Citizens Bank Of Cochran	16275	Cochran	GA	31014	
278751		20220630	WESTERN NATIONAL BANK, CASS LAKE	5110	CASS LAKE	MN	56633	
278818	549300PJX0ZHPQ614C72	20220630	Peoples Security Bank And Trust Company	7514	Scranton	PA	18503	
278872		20220630	Eagle Savings Bank	30439	Cincinnati	OH	45248	
279105		20220630	Florence Bank	23293	Florence	MA	01062	
279842		20220630	River Bank	14995	Stoddard	WI	54658	
279954	549300S46DHLT3EQ9F05	20220630	Citizens Alliance Bank	1402	Clara City	MN	56222	
280110	HUX2X73FUCYHUVH1BK78	20220630	KeyBank National Association	17534	Cleveland	OH	44114	
280138		20220630	West Central Georgia Bank	21526	Thomaston	GA	30286	
280352		20220630	FIRST BANK	4092	ERICK	OK	73645	
280558		20220630	The First National Bank Of Cokato	5115	Cokato	MN	55321	
282075	5493000M096YV1VLKD70	20220630	Washington Financial Bank	29520	Washington	PA	153014395	
282226	254900Y0OOKETVQMUW35	20220630	Farmers And Merchants Bank Of South Carolina	1660	Holly Hill	SC	29059	
282824	254900FK0S1L00V2UL14	20220630	Elderton State Bank	12985	Elderton	PA	15736	
283157		20220630	State Bank of Danvers	1401	Benson	MN	56215	
283438		20220630	Liberty Bank And Trust Company	20856	New Orleans	LA	70127	
283652		20220630	Triad Bank, National Association	24677	Tulsa	OK	74133	
283737		20220630	First National Bank of Tennessee	19502	Livingston	TN	38570	
283867	549300I8JWZ10KAMZS02	20220630	Wallis Bank	20845	Wallis	TX	774850339	
284154		20220630	Oklahoma Capital Bank	18856	Tulsa	OK	74126	
284239		20220630	BANK OF PERRY COUNTY	1713	LOBELVILLE	TN	37097	
284556	5493001PJI787KH02821	20220630	Stockmans Bank	12285	Altus	OK	73521	
284752		20220630	Northwoods Bank Of Minnesota	1415	Park Rapids	MN	56470	
284958		20220630	FIRST STATE BANK	08604	HORDVILLE	NE	68846	
285151		20220630	Colorado Bank & Trust Company Of La Junta, The	1141	La Junta	CO	81050	
285348	549300U0LN2P4VM4Z591	20220630	State Bank	22971	Wonder Lake	IL	60097	
285544		20220630	Capitol National Bank	24199	Lansing	MI	48933	
285553		20220630	THE SECURITY STATE BANK	15749	EMERY	SD	57332	
285740		20220630	Paducah Bank And Trust Company, The	16664	Paducah	KY	42001	
285777		20220630	Nokomis Savings Bank	29532	Nokomis	IL	62075	
285852	2549001HGFQJY2WUC891	20220630	FIRST OPTION BANK	4746	OSAWATOMIE	KS	66064	
285928		20220630	Peoples Bank The	16968	Iva	SC	29655	
286251		20220630	Bank of Vici	420	Vici	OK	738590727	
286840		20220630	State Savings Bank	8513	Rake	IA	50465	
287007		20220630	The Putnam County National Bank of Carmel	6990	Carmel	NY	10512	
287342		20220630	The Readlyn Savings Bank	9300	Readlyn	IA	50668	
287922		20220630	The Peoples Savings Bank	9439	New Matamoras	OH	45767	
287959	549300HSEF434P70U240	20220630	Kansas State Bank	10505	Ottawa	KS	66067	
288152		20220630	FIRST NATIONAL BANK OF FREDERICK	3985	FREDERICK	SD	57441	
288376		20220630	Pinnacle Bank	29548	Jasper	AL	35501	
288853	5493009V3WNJX9V2GZ85	20220630	FIRSTBANK	18714	LAKEWOOD	CO	80215	
289056		20220630	Northern Interstate Bank, National Association	13784	Norway	MI	49870	
289225		20220630	The Union Banking Company	15326	West Mansfield	OH	43358	
289515		20220630	Farmers And Merchants Trust Company Of Chambersburg	8405	Chambersburg	PA	17201	
289702	549300S32ZDD67D2FB46	20220630	Norway Savings Bank	17658	Norway	ME	4268	
289739	549300MZ53GGF2499G54	20220630	GUARANTY BANK & TRUST COMPANY	17767	NEW ROADS	LA	70760	
289757		20220630	Merchants State Bank	01125	Freeman	SD	57029	
290249	5493003H8ECZKN77IZ88	20220630	Waukesha State Bank	16160	Waukesha	WI	53188	
290838		20220630	Merit Bank	15270	Huntsville	AL	35801	
290922		20220630	THE NATIONAL BANK OF ADAMS COUNTY	6728	WEST UNION	OH	45693	
291059		20220630	Bank of Hydro	10674	Hydro	OK	73048	
291330		20220630	First Bank	1744	Wadley	AL	36276	
291376		20220630	Jackson Federal Savings & Loan Association	30492	Jackson	MN	56143	
291611		20220630	Hamlin Bank and Trust Company	11113	Smethport	PA	16749	
291732		20220630	Farmers & Merchants Bank	1745	Waterloo	AL	35677	
292234		20220630	FIRST FINANCIAL BANK	19440	BESSEMER	AL	35020	
292467		20220630	POINTWEST Bank	13600	West	TX	76691	
292850		20220630	FIRST NATIONAL BANK OF WAKEFIELD	5076	WAKEFIELD	MI	49968	
292908		20220630	Evans Bank, NA	6947	Angola	NY	14006	
293053		20220630	COMMUNITY NATIONAL BANK	24897	MIDLAND	TX	79701	
