"IDRSSD"	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	Unused commitments, Revolving, open	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT LN FNCL INST	OTHR UNUSED CMTMT ALL OTHR	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
31826	0	5778	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	0	0	37961								
31835	0	150	0																																	2715	0	22035								
32234	0	1179	1453																																	12232	0	11997								
32766	0	9971	21733																																	3763	0	1127								
32971	0	10531	3054																																	7504	0	4987								
33147	45460	4581	2763																																	14601	0	31855								
33259	0	32024	77712																																	51049	0	11802								
33268	0	3282	2836																																	2590	0	5752								
33370	0	1017	500																																	0	0	0								
33839	0	0	0																																	552	0	1752								
33857	0	59312	40833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	59923	0	77386								
34434	30000	7195	16820																																	9964	0	16794								
34537	0	161471	296373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														2224	0	359043	0	889776								
34555	0	3222	16851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														1525	480	5304	0	8477								
34742	66000	90059	26840																																	9433	0	5631								
35057	5000	1089	1257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																1121	0	9571								
35301																																														
35646	0	156	0																																	2774	0	0								
35879	0	1804	636																																	0	0	10702								
36456	0	0	0																																	398	0	7751								
36933	0	21070	6043																																	1593	0	2720								
37051	1400	86	1418																																	4281	0	10898								
37341	0	0	0																																	784	0	2220								
37435	0	77979	89608																																	28142	0	2088								
37640	0	53054	252033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														23662	40849	352859	0	218343								
37659	0	99	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																907	0	664								
37949	0	0	0																																	0	0	33043								
38740	0	4806	16950																																	6070	0	1780								
39327	0	18209	25930																																	15557	0	25057								
39756	7875	29872	7656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	88056	0	49831								
40033	0	0	35																																	1556	0	1558								
40499	0	29547	470956	0	0	70396	54346	0	8417	20587	41392	0	0	0	0	15335	39011	0	0	0														0	0	142503	0	150065								
40855	0	1152	379																																	1169	0	2193								
41553	0	0	0																																	148	0	1190								
41629	0	205	10208																																	3911	10000	4583								
41825	0	27010	31731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	129981	0	15116								
42037	0	0	0																																	2245	0	21								
42354	0	11453	20872																																	2708	0	3194								
42372	0	34736	136																																	672	0	13302								
42420	0	142039	422003	0	0	270402	0	64644	0	0	7500	29908	157495	75499	0	0	0	0	33804	30840														52504	59241	668726	0	132430								
42448	134300	61531	101155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														7312	2907	54120	0	58831								
42457	0	3	1765																																	1246	0	11692								
43052	0	497	0																																	16079	0	1523								
43351	0	18434	12693																																	12157	0	13640			0					
43856	4000	992	0																																	1851	0	56								
43959	0	7343	3361																																	4508	0	2008								
44040	0	1491	46																																	6887	0	25370								
44433	0	21092	19044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	2165	13152	0	0								
44741	0	17096	37326																																	5841	0	4411								
44750	1000	11937	2429																																	2777	0	6								
44929	0	0	2199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																3122	0	1634								
45038	0	4889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																11207	0	7677								
45047	0	1579	2092																																	1594	0	4764								
45056	0	131	87																																	3669	0	10399								
45430	0	4503	363																																	1	0	657								
45458	0	872	3151																																	6729	0	14342								
45551	0	0	36537																																	0	0	282322								
45560	0	62608	228191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	129452	0	49194								
45775	0	328	0																																	505	0	9924								
46053	0	444	462																																	5728	0	16008								
46941	0	1386	3574																																	1534	0	6681								
47247	0	79281	17762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														1232	2555	20110	0	4227								
47256	0	2395	0																																	4	0	400								
47452	0	963	249																																	34	0	15								
47500	0	4822	8241																																	8272	0	12095								
48057	1650	370	1882																																	3318	0	7721								
48150	0	0	724																																	57	0	3583								
48374	0	2873	80577																																	38442	0	45914								
48440	0	0	0																																	5142	0	0				FHLB Pool (8026)	FHLB New (14578)	FHLB (17742)	FHLB (18555)	
49054	0	7977	14614																																	9806	0	5693								
49148	0	495	0																																	6107	0	1916								
49241	60050	14469	66760																																	67461	0	52967								
49652	0	82	2272																																	4181	0	9325								
49858	0	41206	2018																																	1674	0	13								
49951	0	1353	2731																																	1471	0	5119	Federal Home Loan Bank							
50144	0	0	0																																	1801	0	774								
50461	0	10872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																13639	0	192								
51253	0	3595	8596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	782	0	2461								
51356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	0	1207								
51459	0	72	2277																																	5843	0	33171								
51842	0	1167	43175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	18858	0	20186								
52719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	0	0	0								
52951	31195	1298	1707																																	1654	0	6185								
53051	0	0	2020																																	5663	0	1741								
54058	0	5076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	0	0	40564								
54656	0	5563	19746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	18897	0	15636								
54973	0	105993	71943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	377916	0	142982								
55336	0	3477	19682																																	8773	0	360								
55635	0	0	4254																																	1974	0	379								
55653	0	0	3797																																	10427	0	41								
55970	0	26521	29382																																	3449	0	6395								
56258	0	2693	10856																																	18758	0	11204								
56351	0	118424	141956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	96902	5000	75460								
56548	12750	1292	36375																																	1134	0	9783								
56717	0	6180	35938																																	30951	0	11190								
57040	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	0	8307								
57451	0	2610	16219																																	56167	0	2856								
58225	0	2512	6341																																	8062	0	1287								
58243	0	94303	157236	0	0	1711	0	0	1711	0	0	0	0	0	0	0	0	0	0	0														61288	23299	583414	28951	272108								
58355	0	2027	0																																	2087	0	892								
58551	0	0	0																																	1991	0	12459								
58636	0	23001	17638																																	7347	0	2696								
58757	0	7735	4029																																	26681	0	32983								
58971	0	123548	466480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1423	0	0	0	0	0	0	0	0	0	0		73411	73404	1350251	4326	472720								
59316	104050	15330	77974																																	74374	0	16549								
59352	0	4486	22159																																	6489	0	10733								
59370	0	3153	2270																																	14639	0	3956								
59754	0	37	308																																	823	0	81								
60143																																														
60330	0	14377	28509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	50624	0	17716								
60545	0	480	1382																																	7894	0	21737								
60554	0	0	0																																	2639	0	6575								
60648	0	1602	2424																																	3288	0	7786								
61122	3359	26024	36033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	95952	0	5308								
61355	0	21372	64145																																	82994	0	22472								
61476	0	9465	14747																																	5106	0	48481								
61757	0	2066	22095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	23535	0	2048								
61832	0	7747	3612																																	5614	0	2406								
61953	0	1318	1965																																	1500	0	1353								
62044	0	184	335																																	720	0	23								
62110	0	0	0																																	0	0	0								
62147	0	479	4480																																	1204	0	2232								
63050	0	4817	3143																																	14457	0	12554								
63069																																														
63201	0	2777	300																																	5233	0	103								
63573	0	3409	7392																																	0	0	0								
63733	0	33671	11075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	22855	0	61668								
63742	500	4551	9208																																	52086	0	792								
64150	0	4458	589																																	7012	0	10917								
64552	11050	12069	16550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	4788	0	6979								
64730	0	6511	30730																																	7500	0	1343								
65205	0	5914	8964																																	5596	0	5849								
65513																																														
65559	0	14885	4443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	30551	0	45540								
65858	0	156476	179256																																	112113	0	95949								
66154	0	16301	12192																																	16309	0	12								
66275	10000	5593	26148																																	25819	0	36205								
66677	0	15266	5944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	0	15618								
67142	0	4178	7014																																	5021	0	1880								
67151	0	79785	90140																																	64223	0	9483								
67209	0	41796	150957																																	12584	0	15865								
67254	0	0	0																																	0	0	0								
67656	0	9000	85661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														147350	348	14161	0	31232								
67870	0	12590	6182																																	7950	0	513								
68671	0	2308	0																																	0	0	0								
68756	0	25119	26839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	67096	0	33623								
68831	0	2521	4050																																	1280	0	4838								
69333	0	14381	34008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	157773	5816	4804								
69678	0	2606	10233																																	50214	0	27797								
70218	0	0	3550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																562	0	1744								
70414	0	2039	3854																																	34206	0	40628								
70638	0	3322	2024																																	2667	0	19539								
70955	0	0	0																																	0	0	642								
71073	0	2786	260																																	1608	0	22386								
71457	18800	0	15443																																	14405	0	73503								
71859	0	0	0																																	2289	0	72								
72258	0	1036	1476																																	10430	0	15529								
72351	0	47	0																																	741	0	556								
72454	0	484	191																																	5309	0	4945								
72678	0	4756	0																																	1532	0	5449								
73116	0	24527	36401																																	21239	0	136								
73152	0	0	153																																	305	0	5011								
73554	0	117	2320																																	7238	0	28167								
73956	0	308	87																																	1885	0	914								
74056	0	74	35766																																	3177	0	31215								
74140	0	12208	35229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	4898	123970	5000	36398								
74403	42150	24128	91531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	97856	0	17920								
74449	0	265	0																																	2	0	20								
75259	27615	16205	24920																																	130568	0	65711								
75446	0	2758	1584																																	16287	0	21534								
75455	0	0	0																																	89	0	410								
75633																																														
75651	0	0	0																																	952	0	4346								
76153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																509	0	6916								
76443	0	10431	997																																	496	0	1276								
76854	3327	4824	27044																																	21754	0	4098								
77150	0	309	2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																3541	0	7756								
77253	0	10139	2487																																	13988	0	18140								
77422	0	1676	8069																																	3516	8000	6305								
77851	0	31768	213681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														2504253	57454	309099	4100	220083								
78157	0	2034	796																																	71	0	348								
78241	0	1568	149																																	701	0	3492								
78559	0	560	917																																	854	0	2990								
79042	0	23400	8799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	226	0	221								
