"IDRSSD"	RIADA491	RIADB904	RIADB905	RIADB906	RIADB907	RIADB909	RIADB910	RIADB911	RIADB912	RIADB947	RIADB948	RIADB949	RIADB950	RIADB951	RIADB952	RIADB953	RIADB954	RIADB955	RIADB956	RIADB957	RIADB958	RIADB959	RIADB960	RIADB961	RIADC058	RIADJ315	RIADJ316	
	NET TRUST INCOME (LOSS)	PERSONAL TRUST AND AGENCY ACCOUNTS	EMPLOYEE BENEFIT-DEFINED CONTRIBUTN	EMPLOYEE BENEFIT-DEFINED BENEFIT	OTHER RETIREMENT ACCOUNTS	CUSTODY AND SAFEKEEPING ACCOUNTS	OTH FIDUCIARY/RELATED SERVICES INCME	PLUS:INTRACMPNY INCM CRDTS FOR FIDUC	FIDUCIARY/RELTD SRVCS INCM-FRGN OFFS	PRSNL TRST/AGCY ACCTS-GROSS LOSS,ETC	PRSNL TRST/AGCY ACCTS-GROSS LOSS NON	PERSONAL TRUST/AGCY ACCTS-RECOVERIES	RETIREMT RLTD TRST,ETC-GROSS LOSS MN	RETIREMT RLTD TRST,ETC-GROSS LOS NON	RETIREMT RELATED TRST,ETC-RECOVERIES	INVMT MNGEMT AGCY ACCTS-GROS LOS MNG	INVMT MNGEMT AGCY ACCTS-GROS LOS NON	INVTMT MNGEMT AGCY ACCTS-RECOVERIES	OTH FIDU ACCTS/RLTD SVCS-GROS LOS MN	OTH FID ACCTS/RLTD SVCS-GROS LOS NON	OTH FIDU ACCTS/RLTD SVCS-RECOVERIES	TOT FIDU SETTLEMTS,ETC-GROS LOSS MN	TOT FIDU SETTLEMTS,ETC-GROS LOSS NON	TOT FIDU SETTLEMENTS,ETC-RECOVERIES	LESS: EXPENSES	FID REL SRVC INC INV MGMT ADVIS AGY 	FID REL SRVC INC FOUND ENDW TR AGY A	
177920																												
178150																												
178244																												
178356																												
178851																												
179148																												
179335																												
179700																												
180144																												
180537																												
180845																												
181963																												
182951																												
183668																												
183770																												
183958																												
184656																												
184759																												
185251																												
185448																												
185859																												
186221																												
186548																												
186717																												
186744		557	82	0	366	0	282																			608	106	
187648																												
187947																												
188056																												
188177																												
188430																												
188449																												
188720																												
188739																												
188917																												
189129																												
189745																												
189950																												
190563																												
190648																												
190947																												
190956																												
191355																												
191935																												
192147																												
192558		697	0	0	0	312	0																			555	79	
192651																												
192857																												
193162																												
193247																												
193537																												
193649																												
193809																												
194440																												
194570																												
194936																												
195111																												
195157																												
195456																												
196752																												
196800																												
197142																												
197254																												
197302																												
197478																												
197759																												
198073																												
198149																												
198251																												
198961																												
199137																												
199351																												
199436																												
199463																												
200042																												
200378																												
200435																												
201254																												
201834																												
202514																												
202541																												
202907		2036	28	386	936	172	170																			1928	548	
203043																												
203052																												
203575																												
204004																												
204077																												
204237																												
204826																												
205243																												
205346																												
205458																												
205542																												
206156																												
206174																												
206473																												
206772																												
206950																												
207041																												
207050																												
207452																												
207470																												
207555																												
207845		820	0	0	273	74	0																			704	43	
207872																												
208057																												
208244		14618	1668	555	4313	788	1167		0																	7348	483	
208347																												
208440																												
208459																												
208570																												
208655																												
208972																												
209148																												
209362																												
209559																												
209858																												
210238																												
210256																												
210434		228464	29668	105008	63281	918936	39467		634974																	777178	43243	
210779																												
211114																												
211271																												
211338																												
211851																												
212018																												
212335																												
212344																												
212465		13045	7	0	2567	3835	0		0																	17919	3890	
212522		1354	24	9	454	71	3																			137	114	
212577																												
213471																												
213538																												
213912																												
213958																												
214106																												
214414																												
214722																												
214807		15000	0	0	0	0	12000																			0	0	
214843																												
215345																												
215354																												
215653																												
215662																												
215710																												
216164																												
216230																												
216922																												
