"IDRSSD"	RIAD3210	RIAD3217	RIAD4340	RIAD4356	RIAD4415	RIAD4460	RIAD4470	RIADB507	RIADB508	RIADB509	RIADB510	RIADB511	
12946	186579	210472	14763	30000	0	2000	0	0	210472	0	0	-66656	
13103	349433	390054	-8885	0	0	557	0	0	390054	0	0	-31179	
13251	6253	6598	357	0	0	333	0	0	6598	0	0	-369	
13457	4242	4257	65	0	0	0	0	0	4257	0	0	-80	
14155	30943	30813	3106	0	0	1680	0	0	30813	0	0	-1296	
14650	5724	5340	384	0	0	0	0	0	5340	0	0	0	
14753	4943	5606	100	0	0	0	22	0	5606	0	0	-741	
14865	61056	62209	3218	0	0	600	0	0	62209	0	0	-3771	
14977	10486	10371	126	0	0	0	0	0	10371	0	0	-11	
16551	37455	45505	1937	0	0	3382	0	0	45505	0	0	-6605	
17110	34738	29947	8791	0	0	4000	0	0	29947	0	0	0	
17147	2061414	1896393	92541	369925	0	45000	0	0	1896393	1436	0	-253881	
17259	4012	5631	91	0	0	0	0	0	5631	0	0	-1710	
17950	47002	71315	3583	0	0	800	0	0	71315	0	0	-27096	
17978	126858	125905	953	0	0	0	0	0	125905	0	0	0	
18050	58584	78661	7988	0	27000	2484	0	0	78661	0	0	-52581	
18827	167601	176272	9619	0	0	4000	0	-215	176057	0	0	-14075	
18836	17385	19322	919	0	0	375	0	0	19322	0	0	-2481	
18854	130446	126783	13208	0	0	2183	0	0	126783	565	0	-7927	
19356	7886	9339	600	0	0	270	0	0	9339	0	0	-1783	
19936	28472	35807	2187	0	0	1193	0	0	35807	46	0	-8375	
19972	23196	22725	471	0	0	0	0	0	22725	0	0	0	
20053	19079	18420	980	0	0	0	0	0	18420	0	0	-321	
20633	35183	38533	1662	0	0	324	0	0	38533	0	0	-4688	
20857	23358	42074	2227	0	-3789	1782	0	0	42074	0	0	-15372	
21256	1040	1183	23	0	0	0	0	0	1183	0	0	-166	
21359	4452	6683	173	0	0	279	0	0	6683	0	0	-2125	
21658	14811	20635	938	0	0	1233	0	0	20635	0	0	-5529	
22048	20117	26328	2372	0	0	1535	0	0	26328	0	0	-7048	
22543	28418	28431	349	0	0	0	0	0	28431	0	0	-362	
22552	7282	9094	281	0	0	391	0	0	9094	0	0	-1702	
22730	10628	22770	1007	0	0	0	0	0	22770	0	0	-13149	
23456	19719	30410	2089	0	0	880	0	0	30410	0	0	-11900	
23504	1328153	1366797	77788	0	0	55000	0	0	1366797	2187	0	-63619	
23643	10237	21819	1693	0	0	624	0	0	21819	0	0	-12651	
23755	11967	24111	1315	0	0	275	0	0	24111	0	0	-13184	
24006	248690	245374	8113	0	480	0	0	0	245374	0	0	-5277	
24378	7352	7379	74	0	0	0	0	0	7379	0	0	-101	
24659	9442	9688	397	0	0	600	0	0	9688	0	0	-43	
24668	228478	251680	16730	0	0	6500	0	0	251680	0	0	-33432	
24949	46811	49878	2274	0	0	350	0	0	49878	0	0	-4991	
25357	46668	47166	4558	0	0	3857	0	0	47166	0	0	-1199	
25647	29187	28661	2183	0	0	0	0	0	28661	0	0	-1657	
26457	3462	3449	97	0	0	0	0	0	3449	0	0	-84	
26765	313104	320059	27778	0	5405	16883	0	0	320059	1000	0	-24255	
27070	132712	148435	2790	0	0	0	0	0	148435	0	0	-18513	
27548	99337	119352	6455	0	0	0	0	0	119352	0	0	-26470	
27614	24788	51023	2666	0	0	800	0	0	51023	0	0	-28101	
27847	58392	78757	5800	0	0	4700	0	0	78757	0	0	-21465	
28013	684699	703036	30437	0	1698	17143	0	0	703036	0	0	-33329	
28152	11213	16169	1409	0	0	750	0	0	16169	0	0	-5615	
28675	20010	22890	1028	0	0	0	0	0	22890	0	0	-3908	
28732	14686	15412	611	0	0	0	0	0	15412	0	0	-1337	
29476	13939	13549	591	0	0	0	0	0	13549	0	0	-201	
29636	43322	123140	5040	0	-38	2879	0	0	123140	0	0	-81941	
29878	690772	682311	12679	0	0	0	0	0	682311	0	0	-4218	
30052	5767	5401	366	0	0	0	0	0	5401	0	0	0	
30502	89585	116516	-285	0	0	1200	0	0	116516	0	0	-25446	
30650	21729	22504	777	0	0	0	0	0	22504	0	0	-1552	
30810	11975977	11889489	2343475	0	0	2100000	0	0	11889489	0	0	-156987	
31134	27717	28366	1370	0	0	0	0	0	28366	0	0	-2019	
31255	76562	89304	6700	0	0	2870	0	-35	89269	0	0	-16537	
31657	24582	23474	1514	0	0	406	0	0	23474	0	0	0	
31826	40990	42342	2030	0	0	680	0	0	42342	0	0	-2702	
31835	15650	14807	384	0	4000	0	0	0	14807	0	0	-3541	
32234	10640	35575	928	0	0	0	0	0	35575	0	0	-25863	
32766	32117	31309	709	0	99	0	0	0	31309	0	0	0	
32971	33628	38259	686	0	0	0	0	0	38259	0	0	-5317	
33147	31498	31573	3139	0	0	2000	0	0	31573	0	0	-1214	
33259	84395	94815	7351	0	0	7931	0	0	94815	0	0	-9840	
33268	15253	21089	884	0	0	0	0	0	21089	0	0	-6720	
33370	3467	3540	-73	0	0	0	0	0	3540	0	0	0	
33839	4138	4499	160	0	-5	48	0	0	4499	0	0	-468	
33857	107781	111699	8167	0	1250	1916	0	0	111699	0	0	-11419	
34434	41167	36126	1876	0	10000	1221	0	0	36126	0	0	-5614	
34537	1297326	1284463	54328	94075	0	23111	0	0	1284463	4109	0	-116538	
34555	26908	32791	1359	0	0	240	0	0	32791	0	0	-7002	
34742	49579	49723	4606	0	0	650	0	0	49723	0	0	-4100	
35057	18542	18831	1083	0	0	477	0	0	18831	0	0	-895	
35301	26649000	27821000	1326000	0	-14000	0	0	0	27821000	0	0	-2484000	
35646	12805	13766	1391	0	0	339	0	0	13766	0	0	-2013	
35879	12638	22067	-219	0	-16	0	0	0	22067	0	0	-9194	
36456	9833	13121	519	0	0	0	0	0	13121	0	0	-3807	
36933	22923	27949	2415	0	0	0	0	0	27949	11	0	-7452	
37051	13905	13984	436	0	0	260	0	0	13984	0	0	-255	
37341	7263	7428	619	0	0	312	0	0	7428	0	0	-472	
37435	166650	176152	16012	0	0	0	0	0	176152	0	0	-25514	
37640	591330	616459	35055	174378	0	10000	0	0	616459	0	0	-224562	
37659	5917	5832	310	0	0	225	0	0	5832	0	0	0	
37949	20853	29212	1578	0	0	1730	0	0	29212	0	0	-8207	
38740	20917	29613	1250	0	0	554	0	0	29613	0	0	-9392	
39327	91676	96685	4994	0	0	1656	0	0	96685	0	0	-8347	
39756	50581	68775	3191	0	0	2800	0	0	68775	0	0	-18585	
40033	6931	9002	184	0	0	613	0	0	9002	0	0	-1642	
40499	542246	555695	23555	0	2591	6000	0	-1885	553810	919	0	-32629	
40855	14164	14069	1067	0	0	557	0	0	14069	0	0	-415	
41553	6049	13280	536	0	0	100	0	0	13280	0	0	-7667	
41629	27353	30087	1454	0	0	300	0	0	30087	0	0	-3888	
41825	67651	67076	4448	4862	0	750	0	0	67076	19	0	-8004	
42037	9551	11622	27	0	0	0	0	0	11622	0	0	-2098	
42354	14237	20723	1955	0	0	905	0	0	20723	0	0	-7536	
42372	67554	70606	1747	0	0	0	0	0	70606	0	0	-4799	
42420	1059033	1144679	61403	0	0	55573	0	0	1144679	0	0	-91476	
42448	246404	249112	13600	0	0	3120	0	0	249112	0	0	-13188	
42457	6687	7621	366	0	0	300	0	0	7621	0	0	-1000	
43052	21819	22010	718	0	0	0	0	0	22010	0	0	-909	
43351	52768	51919	1147	0	0	0	0	0	51919	0	0	-298	
43856	6482	6722	173	0	0	0	0	0	6722	0	0	-413	
43959	13281	25327	912	0	0	350	0	0	25327	0	0	-12608	
44040	34067	47830	1427	0	0	0	0	0	47830	0	0	-15190	
44433	36653	43728	696	0	0	0	0	0	43728	0	0	-7771	
44741	50748	61831	1864	0	0	2218	0	0	61831	0	0	-10729	
44750	10781	16256	783	0	0	341	0	0	16256	0	0	-5917	
44929	15125	17843	470	0	0	154	0	0	17843	0	0	-3034	
45038	12827	20122	781	0	0	1500	0	0	20122	26	0	-6602	
45047	26630	28463	2370	0	0	891	0	0	28463	0	0	-3312	
45056	11534	12609	337	0	0	0	0	0	12609	0	0	-1412	
45430	19386	22237	707	0	0	0	0	0	22237	0	0	-3558	
45458	18268	19634	1004	0	5406	400	0	0	19634	0	0	-7376	
45551	91088	110612	6715	0	0	2500	0	0	110612	0	0	-23739	
45560	141629	205205	15318	0	0	7963	0	0	205205	0	0	-70931	
45775	15175	17758	330	0	0	0	0	0	17758	0	0	-2913	
46053	11835	24347	1475	0	0	1075	0	0	24347	0	0	-12912	
46941	12832	18957	1205	0	0	578	0	0	18957	0	0	-6752	
47247	75868	75345	4429	0	0	693	0	0	75345	0	0	-3213	
47256	5612	5485	127	0	0	0	0	0	5485	0	0	0	
47452	12573	12534	360	0	0	30	0	0	12534	0	0	-291	
47500	64314	72775	-3051	0	0	0	0	0	72775	0	0	-5410	
48057	8656	11156	253	0	0	98	0	0	11156	0	0	-2655	
48150	5073	5356	106	0	0	0	0	0	5356	0	0	-389	
48374	184480	189263	11890	0	0	6075	0	0	189263	706	0	-11304	
48440	13970	18209	753	0	0	0	0	0	18209	0	0	-4992	
49054	24877	27764	1105	0	0	596	0	0	27764	0	0	-3396	
49148	7779	16083	792	0	0	392	0	0	16083	0	0	-8704	
49241	144720	151538	5853	0	0	1000	0	0	151538	0	0	-11671	
49652	14692	18995	443	0	0	660	0	0	18995	0	0	-4086	
49858	21640	20664	1219	0	0	0	0	0	20664	0	0	-243	
49951	13679	15842	298	0	0	0	0	0	15842	150	0	-2611	
50144	14546	14219	327	0	0	0	0	0	14219	0	0	0	
50461	36509	35608	855	0	0	0	0	46	35654	0	0	0	
51253	144920	129206	15716	0	0	0	0	0	129206	0	0	-2	
51356	13088	14070	74	0	0	0	0	0	14070	0	0	-1056	
51459	13496	28146	1472	0	0	700	0	0	28146	0	0	-15422	
51842	53612	54621	6324	0	0	350	0	0	54621	0	0	-6983	
52719	696105	675456	20664	0	0	0	15	0	675456	0	0	0	
52951	39279	39481	2881	0	0	0	0	0	39481	0	0	-3083	
53051	16000	15296	1124	0	0	420	0	0	15296	0	0	0	
54058	50124	60766	3245	0	0	2400	0	0	60766	0	0	-11487	
54656	-16405	164531	8974	0	0	0	0	0	164531	0	0	-189910	
54973	531949	727818	41336	0	1071	27000	0	0	727818	0	0	-211276	
55336	50165	59351	1433	0	0	1022	0	0	59351	0	0	-9597	
55635	13155	13348	354	0	0	0	0	0	13348	0	0	-547	
55653	10792	13206	203	0	0	100	0	0	13206	0	0	-2517	
55970	64633	67784	1865	0	0	0	0	0	67784	0	0	-5016	
56258	4790	22172	1541	0	0	1021	0	0	22172	0	0	-17902	
56351	343462	355827	20000	0	0	2301	0	0	355827	0	0	-30064	
56548	78078	72266	4198	0	7000	440	0	0	72266	0	0	-4946	
56717	84284	97484	6147	0	0	1800	0	0	97484	0	0	-17547	
57040	24124	25239	561	0	0	94	0	0	25239	0	0	-1582	
57451	55392	77107	1357	0	0	0	0	0	77107	0	0	-23072	
58225	30718	37546	1622	0	0	675	0	0	37546	0	0	-7775	
58243	762332	778952	30921	0	0	30000	0	0	778952	0	0	-17541	
58355	4423	4326	83	0	100	0	0	0	4326	0	0	-86	
58551	21594	29504	2067	0	0	1470	0	0	29504	0	0	-8507	
58636	35201	40672	4034	0	-447	90	0	0	40672	0	0	-8968	
58757	28432	30208	988	0	1500	0	0	0	30208	0	0	-4264	
58971	816387	799894	58973	0	0	11844	0	0	799894	0	0	-30636	
59316	170492	204547	14369	0	0	8584	0	0	204547	135	0	-39975	
59352	52806	55765	3402	0	0	425	0	0	55765	0	0	-5936	
59370	51710	51769	1121	0	0	0	0	0	51769	0	0	-1180	
59754	7278	6810	-234	0	0	0	0	0	6810	830	0	-128	
60143	6440000	8168000	438000	0	0	425000	0	0	8168000	0	0	-1741000	
60330	82129	100120	8891	0	1000	1748	0	0	100120	360	0	-26494	
60545	21022	27863	1821	0	0	1200	0	0	27863	0	0	-7462	
60554	8559	8512	583	0	0	323	0	0	8512	0	0	-213	
60648	21741	32481	719	0	0	254	0	0	32481	0	0	-11205	
61122	145324	154406	11667	0	0	1995	0	0	154406	0	0	-18754	
61355	115158	138615	5046	0	0	1855	0	0	138615	0	0	-26648	
61476	95644	96471	1562	0	0	0	0	0	96471	0	0	-2389	
61757	56036	53687	2637	0	0	210	0	0	53687	0	0	-78	
61832	22375	44605	2348	0	0	2232	0	0	44605	0	0	-22346	
61953	4598	8857	324	0	0	25	0	0	8857	0	0	-4558	
62044	7338	2492	-102	0	5000	0	0	0	2492	0	0	-52	
62110	12814	12311	503	0	0	0	0	0	12311	0	0	0	
62147	5576	10916	276	0	0	120	0	0	10916	0	0	-5496	
63050	39232	45670	2442	0	0	0	0	0	45670	0	0	-8880	
63069	6613472	7199846	252157	0	0	0	0	0	7199846	42	0	-838573	
63201	16799	21996	848	0	0	0	0	0	21996	0	0	-6045	
63573	104371	104282	2551	0	0	0	0	0	104282	0	0	-2462	
63733	126782	147890	9038	0	0	3000	0	0	147890	0	0	-27146	
63742	78283	77967	3914	0	0	130	0	0	77967	0	0	-3468	
64150	17821	30264	2286	0	0	650	0	0	30264	0	0	-14079	
64552	33919	35228	2102	0	0	525	0	-13	35215	0	0	-2873	
64730	19116	28998	861	0	0	1237	0	0	28998	0	0	-9506	
65205	169764	177394	-1618	0	0	0	0	0	177394	0	0	-6012	
65513	50860	51780	-846	0	0	0	0	0	51780	0	0	-74	
65559	55222	82494	4558	0	0	691	0	0	82494	0	0	-31139	
65858	160986	206874	13187	0	0	15313	0	0	206874	0	0	-43762	
66154	16788	19504	1483	0	28	525	0	0	19504	0	0	-3702	
66275	41723	33862	3227	0	5900	90	0	4	33866	0	0	-1180	
66677	37377	36860	565	0	0	0	0	0	36860	228	0	-276	
67142	29517	35377	898	0	0	337	0	0	35377	0	-25	-6396	
67151	57697	99260	7721	0	0	4227	0	0	99260	0	0	-45057	
67209	126705	136955	3280	0	0	2821	0	0	136955	0	0	-10709	
67254	1887	1684	-817	0	1025	0	0	0	1684	0	0	-5	
67656	190863	190611	16454	0	0	0	0	0	190611	0	0	-16202	
67870	62251	63251	1328	0	0	0	0	0	63251	0	0	-2328	
68671	13911	12547	562	0	0	186	0	0	12547	0	0	988	
68756	77252	82803	5876	0	0	2370	0	0	82803	0	0	-9057	
68831	16353	18367	1387	0	477	0	0	0	18367	0	0	-3878	
69333	156872	173887	15774	0	0	5289	0	0	173887	0	0	-27500	
69678	43317	58383	5201	0	0	2100	0	0	58383	0	0	-18167	
70218	12712	12985	-128	0	0	0	0	0	12985	0	0	-145	
70414	49667	62268	1276	0	0	464	0	0	62268	0	0	-13413	
70638	45777	50750	9294	0	0	10860	0	0	50750	0	0	-3407	
70955	2793	2755	38	0	0	0	0	0	2755	0	0	0	
71073	13627	15092	118	0	0	235	0	0	15092	0	0	-1348	
71457	38572	51117	2162	0	0	1800	0	0	51117	0	0	-12907	
71859	18871	17799	1135	0	0	0	0	0	17799	0	0	-63	
72258	71680	74799	3444	0	0	1550	0	0	74799	0	0	-5013	
72351	4551	10763	266	0	0	125	0	0	10763	0	0	-6353	
72454	12042	13352	392	0	0	355	0	0	13352	0	0	-1347	
72678	57987	79774	1683	0	0	0	0	0	79774	0	0	-23470	
73116	49934	59483	2062	0	0	0	0	-28	59455	0	0	-11583	
73152	5736	14330	881	0	0	222	0	0	14330	0	0	-9253	
73554	21535	23193	1511	0	0	500	0	0	23193	0	0	-2669	
73956	5335	7779	129	0	0	0	0	0	7779	0	0	-2573	
74056	18988	20069	938	0	0	350	0	0	20069	0	0	-1669	
74140	160662	177849	11312	0	0	1800	0	0	177849	0	0	-26699	
74403	104397	112425	4671	0	38	121	0	0	112425	0	0	-12616	
74449	3362	3374	-12	0	0	0	0	0	3374	0	0	0	
75259	88861	85773	4221	0	0	825	0	0	85773	0	0	-308	
75446	54431	72756	4582	0	0	1708	0	0	72756	0	0	-21199	
75455	6414	6704	-3	0	0	0	0	0	6704	0	0	-287	
75633	15400777	16854456	887855	0	0	191900	0	0	16854456	613	0	-2150247	
75651	7144	8817	144	0	0	0	0	0	8817	0	0	-1817	
76153	4420	4433	-13	0	0	0	0	0	4433	0	0	0	
76443	10074	15075	920	0	0	800	0	0	15075	0	0	-5121	
76854	45474	50503	3822	0	0	1000	0	0	50503	0	0	-7851	
77150	6956	7306	643	0	0	136	0	0	7306	0	0	-857	
77253	29260	31853	3275	27879	0	1475	0	0	31853	0	0	-32272	
77422	17640	19266	415	0	0	0	0	0	19266	0	0	-2041	
77851	408895	410919	28976	0	0	14500	0	0	410919	0	0	-16500	
78157	7277	8104	393	0	0	226	0	0	8104	0	0	-994	
78241	7876	8315	715	0	0	0	0	0	8315	0	0	-1154	
78559	8316	9684	-391	0	0	0	0	0	9684	0	0	-977	
79042	27453	35230	1956	0	0	400	0	0	35230	0	0	-9333	
79127	6862	9661	420	0	0	400	0	0	9661	0	0	-2819	
79145	21877	22203	1000	0	0	0	0	0	22203	0	0	-1326	
79257	5800	5765	35	0	0	0	0	0	5765	0	0	0	
79855	27256	25248	806	0	1500	0	0	0	25248	0	0	-298	
80150	26327	44942	3308	0	0	2300	0	0	44942	0	0	-19623	
80374	24490	21881	287	0	7000	0	0	0	21881	0	0	-4678	
80431	11019	12177	912	0	0	0	0	0	12177	0	0	-2070	
81175	43540	42221	2261	0	0	0	0	0	42221	-22	0	-920	
82033	17103	25744	1002	0	0	135	0	0	25744	0	0	-9508	
82257	4331	4868	254	0	0	150	0	0	4868	0	0	-641	
82350	4447	5968	206	0	0	33	0	0	5968	0	0	-1694	
83151	30620	30341	1436	0	-621	0	0	0	30341	0	0	-536	
83375	90775	117929	6800	0	3000	4850	0	0	117929	0	0	-32104	
83638	767378	918211	30292	0	-1866	114000	0	0	918211	1423	0	-66682	
83834	18207	24141	1289	0	0	385	0	0	24141	0	0	-6838	
83852	3800	5401	753	0	0	200	0	0	5401	0	0	-2154	
83955	7955	8571	464	0	0	18	0	0	8571	0	0	-1062	
84046	3236	6665	13	0	0	0	0	0	6665	0	0	-3442	
84541	156673	123865	13273	0	33767	2108	0	0	123865	0	0	-12124	
84804	4777	6873	-243	0	0	0	0	0	6873	0	0	-1853	
85052	11328	22623	1268	0	500	525	0	0	22623	0	0	-12538	
85472	1585363	1571598	65381	0	0	30000	0	0	1571598	4648	0	-26264	
85931	20677	26163	1345	0	0	410	0	0	26163	0	0	-6421	
86349	26998	33834	3715	0	0	1754	0	0	33834	0	0	-8797	
86675	240064	254865	1293	0	0	0	0	0	254865	0	0	-16094	
87047	19426	25610	712	0	0	177	0	0	25610	0	0	-6719	
87159	15501	21625	496	0	0	422	0	0	21625	0	0	-6198	
87234	73327	75757	3248	0	0	399	0	0	75757	0	0	-5279	
87476	32762	33269	684	0	0	0	0	0	33269	0	0	-1191	
87579	38000	42435	1140	0	0	0	0	0	42435	0	0	-5575	
88231	114133	109650	6086	0	0	1000	0	0	109650	0	0	-603	
88259	8264	10051	543	0	0	725	0	0	10051	0	0	-1605	
88352	27474	29878	1689	0	0	1015	0	0	29878	0	0	-3078	
88455	74592	89729	4649	0	0	2300	0	0	89729	0	0	-17486	
88950	21341	21220	452	0	0	0	0	0	21220	0	0	-331	
89032	18789	20601	303	0	0	0	0	0	20601	0	0	-2115	
89135	7616	8420	238	0	0	0	0	0	8420	0	0	-1042	
89854	14621	14563	800	0	0	290	0	0	14563	0	0	-452	
89957	17773	18131	-237	0	0	0	0	0	18131	0	0	-121	
90047	2182	5186	227	0	0	87	0	0	5186	0	0	-3144	
90177	32289	32071	886	0	0	0	0	0	32071	0	0	-668	
90328	78844	88049	4757	0	0	893	0	0	88049	0	0	-13069	
90337	83267	89282	5821	0	0	8788	0	0	89282	0	0	-3048	
90579	57295	69197	1066	0	0	0	0	0	69197	0	0	-12968	
91615	9723	12959	415	0	0	110	0	0	12959	0	0	-3541	
91754	11668	120144	6971	0	0	2700	0	0	120144	0	0	-112747	
91950	5033	6250	160	0	0	70	0	0	6250	0	0	-1307	
92144	6240	9705	142	0	0	0	0	0	9705	-1920	0	-1687	
92676	59646	70646	1719	0	0	0	0	0	70646	0	0	-12719	
92706	38123	47192	1324	0	0	0	0	0	47192	0	0	-10393	
92902	2405	2280	125	0	0	0	0	0	2280	0	0	0	
93244	21706	35385	1931	0	0	1880	0	0	35385	0	0	-13730	
93543	56083	60890	3205	0	0	1000	0	0	60890	0	0	-7012	
93619	39281	36166	3115	0	0	0	0	0	36166	0	0	0	
94139	89974	79729	473	0	20000	798	0	0	79729	0	0	-9430	
94522	82731	87715	5316	0	0	2212	0	0	87715	0	0	-8088	
94755	20675	25050	1750	0	0	0	0	0	25050	0	0	-6125	
94858	12268	18970	1501	0	0	750	0	0	18970	0	0	-7453	
95051	46958	45475	1864	0	0	0	0	0	45475	0	0	-381	
95677	9341	9354	-13	0	0	0	0	0	9354	0	0	0	
96553	13270	12769	501	0	0	0	0	0	12769	0	0	0	
97055	30458	34168	2386	0	0	1600	0	0	34168	0	0	-4496	
97279	7375	7658	393	0	0	66	0	0	7658	279	0	-889	
97457	13267	14285	990	0	0	1730	0	0	14285	0	0	-278	
97804	127157	128841	5623	0	0	0	0	0	128841	0	0	-7307	
97943	47778	65610	4838	0	0	2840	0	0	65610	0	0	-19830	
98351	11999	14914	453	0	0	0	0	0	14914	0	0	-3368	
98463	63522	95445	2919	0	564	0	0	0	95445	0	0	-35406	
98717	29232	33921	212	0	0	0	0	0	33921	0	0	-4901	
99143	27054	32064	1126	0	0	500	0	0	32064	0	0	-5636	
99376	377699	371614	9466	0	0	0	0	0	371614	0	0	-3381	
99442	68227	69957	5883	0	33489	2000	0	0	69957	0	0	-39102	
99536	76397	98904	8217	0	0	5901	0	0	98904	0	0	-24823	
99853	3875	5191	122	0	0	0	0	0	5191	0	0	-1438	
100236	36525	37286	2767	0	0	840	0	0	37286	0	0	-2688	
100357	75973	101707	7219	0	0	2549	0	0	101707	0	0	-30404	
100562	1134869	1047578	53060	214946	1740	35505	0	0	1047578	0	0	-146950	
100777	66267	75728	1214	0	0	0	0	0	75728	0	0	-10675	
100843	44057	62277	3632	0	1011	0	0	0	62277	0	0	-22863	
101037	111587	153106	7771	0	0	2325	0	0	153106	0	0	-46965	
101439	30270	33788	2238	0	0	1782	0	0	33788	0	0	-3974	
101671	60488	73516	915	0	0	153	0	0	73516	0	0	-13790	
101738	18608	29972	1588	0	0	960	0	0	29972	0	0	-11992	
101952	8189	14850	984	0	0	650	0	0	14850	0	0	-6995	
102333	5598	7337	89	0	0	0	0	0	7337	0	0	-1828	
102342	32961	34539	2427	0	0	1100	0	0	34539	0	0	-2905	
102539	5556	5621	-15	0	0	50	0	0	5621	0	0	0	
102557	15823	15673	565	0	0	0	0	0	15673	0	0	-415	
102874	27800	27334	466	0	0	0	0	0	27334	0	0	0	
103134	6618	7645	114	0	0	0	0	0	7645	0	0	-1141	
104234	9859	15308	635	0	0	263	0	0	15308	0	0	-5821	
104542	2409	6412	200	0	0	125	0	0	6412	0	0	-4078	
104971	6345	6263	122	0	0	0	0	0	6263	0	0	-40	
105026	46360	45684	1793	0	0	0	0	0	45684	-68	0	-1049	
105473	434941	432283	4942	0	0	0	0	0	432283	0	0	-2284	
105530	16342	24662	772	0	0	475	0	0	24662	0	0	-8617	
106359	163620	220685	15268	0	0	1000	0	0	220685	0	0	-71333	
106452	54520	62272	4467	0	0	4998	0	0	62272	0	0	-7221	
106676	12406	12539	156	0	0	0	0	0	12539	0	0	-289	
107244	4606782	4836243	268915	0	2879	75722	8527	0	4836243	-278997	0	-138009	
107459	1953	2199	84	0	0	15	0	-3	2196	0	0	-312	
107570	41107	48269	3463	0	0	1200	13	0	48269	36	0	-9448	
107758	6523	7415	179	0	0	174	0	0	7415	0	0	-897	
