"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
1429028																																							92487	2390	43461	0	7476	2242	0	5866	686459	620591	2633	623290	0	4048	0	0	63169	1000	686459	0	0	5046	0	0	60572	0	175662	444929			0	536585	532537	-3449	0	0	66	0	63169	0	0	
1435092																																							9761	2714	115680	0	676	1886	0	4605	169456	162674	858	163532	0	570	0	0	5924	1000	169456	0	0	8728	0	0	6423	0	54252	108422			0	34704	34134	-10227	0	0	0	0	5924	0	0	
1436071																																							13621	24203	358464	1783	772	25466	564	24701	1015279	924120	9136	944256	0	10130	11000	0	71023	907	1015279	0	0	98648	0	0	2589	30733	465577	458543			0	540184	530054	-31121	0	0	0	0	71023	0	4918	
1436204																																							75242	40663	893149	0	78605	29420	800	134276	4326581	3843827	85923	3930106	0	22539	356	0	396475	338545	4326581	0	0	115958	2746	0	0	0	2047874	1795953			0	2162632	2140093	-58028	0	0	0	0	396475	0	931587	
1440117																																							54600	6986	105233	0	1109	12406	92	23038	671446	594484	2174	614658	0	5484	18000	0	56788	3824	671446	0	0	35195	0	0	26190	0	134431	460053			0	468227	462743	-8421	5235	0	0	0	56788	4	0	
1443266	13154000	18000	0	0	0	0	1000	103000	26568000	21000	24206000	0	9000	200000	0	2362000	22000	26568000	0	0	2336000	0	0	4000	0		0	13301000	13292000	0	0	0	2362000	0	0													23985000																	0	23985000							0		0					
1444021	105906	10869	264055	0	3282923	163005	0	475713	4323658	770174	770174	0	0	0	0	3553484	1500	4323658	0	0	539356	0	0	3018333	0		0	0	0	-5705	0	0	3553484	20989	198	0	0	0			264055							0					0												0	0							0	0	0	0		20989		
1445943																																							22555	27051	1033933	0	23251	25846	2829	53821	2054514	1763770	7521	1865863	0	14490	0	0	188651	3250	2054514	0	0	163707	0	0	91015	0	529508	1234262			0	877039	862549	-69321	0	0	0	94572	188651	2679	0	
1447639																																							97263	35155	753746	1191	42251	86511	0	32720	2796144	2566244	16624	2582868	0	19554	0	0	213276	7110	2796144	0	0	141809	0	0	150477	0	1134814	1431430			0	1728964	1709410	-86120	0	0	0	0	213276	909	36988	
1456501	15378000	14000	47857000	0	0	0	0	2570000	191345000	2642000	172772000	0	432000	558000	0	18573000	0	191345000	13853000	0	12321000	2102000	0	8005000	8559000		0	66393000	65961000	-1753000	8666000	0	18573000	0	26385000	0												169572000																	6649000	162923000							0		0					
1458608																																							83278	64064	740779	0	8288	53155	0	44565	2927905	2666643	29224	2703124	0	24623	7257	0	224781	1403	2927905	4923	0	154454	0	0	98597	20466	774941	1891702			0	1921880	1897257	-29673	0	0	0	0	224781	11130	0	
1459717																																							224583	20577	490616	0	3291	19962	35	14139	2093594	1856581	3917	1939338	0	14019	0	0	154256	1000	2093594	0	0	116139	0	0	62211	2173	325223	1531358			0	1318891	1304872	-25094	167	13179	0	78840	154256	0	0	
1459735																																							67793	14674	138265	0	0	6351	56	24541	600149	541843	12327	554170	0	4334	0	0	45979	2366	600149	0	0	46975	318	0	8178	4752	171748	370095			0	347733	343399	-11540	0	0	0	0	45979	0	0	
1459799																																							27915	11160	53561	161	0	3500	0	7591	258040	233967	1642	235609	0	2823	0	0	22431	1503	258040	0	0	10080	0	0	14064	0	129991	103975			0	156975	154152	-3216	0	0	0	0	22431	0	0	
1462986																																							16424	491	12269	0	0	844	0	2913	57577	48042	51	48093	0	558	0	0	9484	3000	57577	0	0	4728	0	0	2550	0	9116	38926			0	24885	24327	-794	309	0	0	0	9484	0	0	
1469677																																							112145	21591	453240	0	0	16759	19	55558	1449019	1336873	11353	1373124	0	11967	0	0	75895	7000	1449019	0	0	32294	0	0	77672	150	393400	943473			0	800977	789010	-41071	547	0	0	24898	75895	0	0	
1470150																																							1288	2050	16860	0	0	434	0	1025	127927	106046	128	112538	0	1530	1038	0	15389	1445	127927	0	0	12385	0	0	3176	0	16792	89254			0	107620	106090	-1617	180	0	2200	3126	15389	0	0	
1474309																																							4676	1432	22823	0	0	294	62	622	45285	44999	47	45046	0	925	0	0	239	100	45285	0	0	-4559	0	0	9084	0	8554	36445			0	16301	15376	-4386	0	0	0	0	239	0	0	
1478231																																							2198	6230	11949	0	0	2052	0	7136	247333	205382	4263	222145	0	3392	12500	0	25188	1300	247333	1336	0	15963	0	0	7925	0	83854	121528			0	214690	211298	0	5134	0	0	0	25188	0	0	
1479470																																							20816	7842	131706	0	0	11357	0	18783	568166	522803	3113	525988	0	4481	72	0	42178	7323	568166	0	0	39953	0	0	5684	174	162691	360112			0	377169	372688	-10782	4500	0	0	0	42178	0	300	
1481745																																							2749	10435	63570	1327	231	5851	717	1884	347635	319555	1006	320561	0	3103	0	0	27074	2125	347635	0	0	9222	0	0	20349	140	100441	219114			0	259484	256381	-4622	3000	0	0	0	27074	0	1350	
