"IDRSSD"	RCONG353	RCONG354	RCONG355	RCONG356	RCONG357	RCONG358	RCONG359	RCONG360	RCONG361	RCONG362	RCONG363	RCONG364	RCONG365	RCONG366	RCONG367	RCONG368	RCONG369	RCONG370	RCONG371	RCONG372	RCONG373	RCONG374	RCONG375	RCONHT50	RCONHT51	RCONHT52	RCONHT53	RCONHT54	RCONHT55	RCONHT56	RCONHT57	RCONHT58	RCONHT59	RCONHT60	RCONHT61	RCONK142	RCONK143	RCONK144	RCONK145	RCONK146	RCONK147	RCONK148	RCONK149	RCONK150	RCONK151	RCONK152	RCONK153	RCONK154	RCONK155	RCONK156	RCONK157	RCONMG95	
	SFP TPS ISS RE INV TRS HTM FV	SFP TPS ISS RE INV TR AFS AMRTZ COST	SFP TPS ISS RE INV TR AFS FV	SFP CORP & SIMILAR LN HTM AMRTZ COST	SFP CORP & SIMILAR LN HTM FV	SFP CORP & SIMILAR LN AFS AMRTZ COST	SFP CORP & SIMILAR LN AFS FV	SFP 1T4 RES MBS I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS I OR G GSE HTM FV	SFP 1T4 RES MBS I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS I OR G GSE AFS FV	SFP 1T4 MBS N I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS N I OR G GSE HTM FV	SFP 1T4 MBS N I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS N I OR G GSE AFS FV	SFP DVRS (MIXED) POOLS SFP HTM AMRTZ	SFP DVRS (MIXED) POOLS SFP HTM FV	SFP DVRS (MIXED) POOLS SFP AFS AMRTZ	SFP DVRS (MIXED) POOLS SFP AFS FV	SFP OTHR CLTRL REF ASSET HTM AMRTZ	SFP OTHR CLTRL REF ASSET HTM FV	SFP OTHR CLTRL REF ASSET AFS AMRTZ	SFP OTHR CLTRL REF ASSET AFS FV	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	MBS CMRL PT SCTY GUAR FNMA HTM AMTRZ	MBS CMRL PT SCTY GUAR FNMA HTM FV	MBS CMRL PT SCTY GUAR FNMA AFS AMTRZ	MBS CMRL PT SCTY GUAR FNMA AFS FV	MBS CMRL PT SCTY OTHR HTM AMTRZ	MBS CMRL PT SCTY OTHR HTM FV	MBS CMRL PT SCTY OTHR AFS AMTRZ	MBS CMRL PT SCTY OTHR AFS FV	MBS CMRL OTHR CMRL GUAR FNMA HTM AMT	MBS CMRL OTHR CMRL GUAR FNMA HTM FV	MBS CMRL OTHR CMRL GUAR FNMA AFS AMT	MBS CMRL OTHR CMRL GUAR FNMA AFS FV	MBS CMRL OTHR CMRL OTHR CMRL HTM AMT	MBS CMRL OTHR CMRL OTHR CMRL HTM FV	MBS CMRL OTHR CMRL OTHR CMRL AFS AMT	MBS CMRL OTHR CMRL OTHR CMRL AFS FV	Amortized cost of available-for-sale	
206950																								0	0	333	322	0	0	773	707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	579	571	0	0	0	0		
207041																								0	0	3092	3052	0	0	7907	7403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
207050																								0	0	8257	8171	0	0	7810	6781	0	0	0	0	0	0	1895	1770	0	0	0	0	0	0	852	853	0	0	0	0		
207452																								0	0	4764	4808	0	0	3033	2995	0	0	0	0	0	0	346	350	0	0	0	0	0	0	6958	6940	0	0	1748	1681		
207470																								0	0	0	0	68877	62386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
207555																								0	0	4888	4459	0	0	7308	6719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
207845																								0	0	160797	140153	0	0	92595	89311	0	0	0	0	0	0	3221	3207	0	0	0	0	0	0	0	0	0	0	0	0		
207872																								0	0	0	0	42667	38288	1394	1336	0	0	0	0	0	0	0	0	0	0	0	0	7035	6176	0	0	0	0	0	0		
208057																								0	0	204961	195180					0	0	0	0	0	0	0	0	0	0	0	0	0	0	11655	11482	0	0	0	0		
208244																																																					
208347																								0	0	1449	1293					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	72		
208440																								0	0	2270	2231	0	0	12010	10984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
208459																								0	0	2994	2818	0	0	120	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
208570																								0	0	0	0	1939	1939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
208655																								0	0	9927	8904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
208972																								0	0	267	271	0	0	20268	17906	0	0	0	0	0	0	3816	3553	0	0	0	0	0	0	2055	1873	0	0	0	0		
209148																								0	0	18005	16322					0	0	0	0	0	0	5981	5286	0	0	0	0	0	0	0	0	0	0	0	0		
209362																								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
209559																								0	0	27497	25748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
209858																								0	0	3663	3690	33841	30711	20573	19156	0	0	0	0	13389	11551	6445	6212	0	0	0	0	0	0	9940	9916	3608	3393	32325	31573		
210238																								0	0	25109	24460	1043	978	68626	61437	0	0	0	0	2862	2862	13017	12187	0	0	0	0	1680	1520	1965	1674	0	0	0	0		
210256																								0	0	27822	27127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
210434																																																					
210779																								0	0	6023	5667	0	0	7336	6258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
211114																								0	0	1417	1333					0	0	0	0	0	0	578	502	0	0	0	0	0	0	1724	1560	0	0	10339	9900		
211271																								0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
