"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
34434	1989	7367					1032	9222	72016					0	0	0			7233	16464	0	0										0		
34537	0	189					39943	794785	1800791					0	0	0			0	30287	0	214740										8564		
34555	0	49195					4407	0	138914					1842	0	0			0	46298	0	0										0		
34742	0	5854					2749	0	62388					10000	0	0			0	15393	0	0										0		
35057	0	2813					885	0	12049					0	0	0			0	4160	0	0										38		
35301	11206000	9202000	256000	195000	11000	21000	405000	56808000	30269000	2379000	201676000	0	188191000	2943000	3665000	410000	18000	0	0	1035000	4529000	951000	17849000	361000	20751000	9910000	4447000	1156000	2270000	8389000	0	5000	0	
35646	0	1972					1449	0	35053					0	0	0			0	22827	0	0										0		
35879	0	38312					1076	0	101032					7525	0	0			0	14191	0	0										0		
36456	499	3197					290	499	50418					0	0	0			0	15000	0	0										0		
36933	0	0					165	0	65806					0	0	0			0	23615	0	0										0		
37051	0	0					173	0	1410					2000	0	0			0	910	0	0										9		
37341	0	0					549	0	5513					6000	0	0			0	4038	0	0										10		
37435	0	0					1141	67037	410874					0	0	0			11079	34683	0	0										0		
37640	0	0					15259	0	1815070					27957	5919	5817			0	830208	0	42410										0		
37659	0	498					47	4615	505					0	0	0			4615	0	0	0										0		
37949	0	21862					336	0	153059					2600	0	0			0	59885	0	16554										0		
38740	0	0					1856	0	102809					4000	0	0			0	25972	0	0										0		
39327	16947	1829					465	33425	161271					0	0	0			2783	26865	0	0										0		
39756	0	30192					676	0	124432					11249	0	0			0	61278	0	4602										0		
40033	0	3687					309	4	21805					0	0	0			0	5661	0	0										0		
40499	0	0					7035	10000	334398					105693	15894	15894			0	0	0	0										0		
40855	0	0					814	0	10579					9254	0	0			0	10579	0	0										0		
41553	0	0					343	22303	50794					0	0	0			22303	0	0	0										0		
41629	0	28938					673	0	79281					2500	0	0			0	17873	0	0										0		
41825	0	0					594	104435	38182					5000	37	7			28482	6384	0	0										0		
42037	0	0					0	0	30256					0	0	0			0	12014	0	0										0		
42354	0	8930					110	0	51351					0	0	0			0	16682	0	0										0		
42372	0	12192					226	0	90514					0	0	0			0	6801	0	0										0		
