"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLG24	RCONLG25	RIADG377	
137652																																																															0	0	378	7264	0	9058	0	9058	5674		0	307916	0	0	2500	225187	4227	14568	9212	181474	2730	2468	1791	10389	10684	13570	10424	8732	18464	9198	21974	0	0	0	74	0	0		0	0	8288	1307	17730	28634	0	0	0			644	564	0	0	0	0	0	0	0	0	0	0	0	0		30348				645	0	0	7264	0	0	0	0	26227	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	91	0	CONF	CONF		
137915																																																																0	446376	19088	0	1887974	30535	1918509	5734		0	4268205	0	58755	0	766029	0	728844	865977	150717	354197	54748	53343	21983	16780	2479072	60646	400603	211772	270024	12518	0	0	0	0	5583	0		0	0	0	332432	0	655086	0	58755	0			35871	69101	0	0	0	0	0	0	0	0	0	0	0	0	0	1551470				39200	21546	0	40634	0	0	0	0	0	0	0	0	0	0	1957	0	1372	0	0	0	0	0	0	0	39067	0	CONF	CONF	0	
138051																																																															0	24677	323		35128			8447	0		0	109247	0	0	0	25524	0	0	79736	1827	4902	6240	12306	249	0	37900	35116	6312	4264	131	0				0	0			0	0	559	38	3495	405			0			12	0													0	0	0	0	0	12		0	9	0	0	0	0	0	0	0	859	0	0	0	0	0			0	0	0	0	0	9783	0	CONF	CONF	0	
138257																																																																983	0		3791			4100	0		1393	17764	0	0	0	3799	0	31	4835	1	0	132	516	3152	0	1173	3662	4243	1960	2335	590				0	0			0	0	78	268	1158	425			0			0	0													0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	770	0	0	0	0	0			0	0	0	0	0	999	0	CONF	CONF	0	
138556																																																																678	7		0			7418	977		207	42582	0	0	0	16104	252	0	7758	452	792	3467	6097	5261	0	2487	4027	5906	13480	461	0				0	0			0	0	501	2337	5533	2084			0			0	0													0	25452	0	0	0	0		0	41	0	0	0	0	0	0	0	2303	0	0	0	0	0			0	0		0	0	4140	0	CONF	CONF	0	
139133																																																																2256	4016		8180	39940		39940	1868		655	180699	0	0	1398	40706	1175	4335	33417	461	1813	7723	13586	9321	7460	13360	20738	38276	47830	15419	3488				35	1238			0	0	7025	9818	30522	27078			0			0	0	16201	16403	0	7042	7130	0	3684	3730	0	975	987	0		10248				1566		0	313	0	0	0	0	0	0	0	1451	0	0	0	1201	0			11	0	0	0	11	4423	354	CONF	CONF		
139478																																																																2403	27695		0			29044	38682		0	600667	0	0	0	301637	13710	17365	15709	899	5823	6208	14696	95564	175352	25929	5584	55210	74564	116082	17712				0	20			0	0	179	9624	22294	154743			0			421	862														600666	0	0	0	421		0	104	0	0	0	0	0	0	0	6	0	0	0	0	0			0	0	0	0	0	526	0	CONF	CONF		
139553																																																																29528	24833		10465			264274	10426		13612	1012631	0	0	7905	244705	12545	58752	139092	5504	17209	28121	59157	67267	66840	98784	75221	183046	183110	215861	11693				0	259			0	0	22370	19342	149342	184183			0			0	148														449392	0	0	0	337		0	1376	0	0	0	0	0	0	0	12165	0	0	0	0	0			170	0	0	0	170	13206	167	CONF	CONF		
139656																																																															0	142582	82698	1028	86152	697360	0	697360	55057		3264	2604090	0	213	0	498356	3928	234941	409786	99529	28578	86316	95621	95936	88645	767396	364551	376358	382046	132101	43334	0	0	0	557	11420	0		41658	23972	17400	90260	392839	473464	0	213	0			0	1928	13056	58205	10965	6335	23185	3949	1786	2062	0	10621	22719	5862		1028177				0	658	132	1686	0	0	0	0	0	0	0	24318	0	0	0	0	0	0	0	0	0	0	0	0	22404	0	CONF	CONF		
139740																																																																2488	316144	7240	3051	526459	0	526459	6979		91458	2283751	0	22535	10082	58981	2465	1683	363657	2610	4718	15686	33696	1894	0	321467	259000	607847	644192	346337	30110	0	0	0	0	0	0		0	0	67730	165875	217318	789320	0	22535	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	6929	1009531				0	2848	0	10088	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	2664	0	CONF	CONF	1	
