"IDRSSD"	RCFA2170	RCFA3128	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAJJ30	RCFAJJ31	RCFAJJ32	RCFAKW00	RCFAKW03	RCFAKX77	RCFAKX78	RCFAKX79	RCFAKX80	RCFAKX81	RCFAKX82	RCFAKX83	RCFALB58	RCFALB59	RCFALB60	RCFALB61	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP852	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ258	RCFAS540	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP851	RCFWP852	RCFWP853	RCFWP854	RCFWP855	RCFWP856	RCFWP857	RCFWP858	RCFWP859	RCFWP870	RCOA2170	RCOA3128	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAJJ29	RCOAJJ30	RCOAJJ31	RCOAJJ32	RCOAKW00	RCOAKW03	RCOAKX77	RCOAKX78	RCOAKX79	RCOAKX80	RCOAKX81	RCOAKX82	RCOAKX83	RCOALB58	RCOALB59	RCOALB60	RCOALB61	RCOALE74	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP852	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ258	RCOAS540	RCOWH312	
839817																																																																																						5525	343	343	9.3697%	13.4497%	12.6147%	5182	41079	55306	694	0			5.4497%							2134	55879								0	0	0		0	3621	12.6147%	1	0	6449	573	0	0	694	0	0	0		0	5182	0	0	5182	0	0	0	0	0	0	0	0	0	343	0	573	0			
839974																																																																																						16930	998	998	10.8590%	21.2753%	20.0211%	15932	79576	146717	0	0			13.2753%							13739	146717								0	0	0		0	2193	20.0211%	1	0	15932	0	0	0	0	0	0	0		0	15932	0	0	15932	0	0	0	0	0	0	0	0	0	998	0	0	0			
840019																																																																																						16637	1335	1335	10.0654%	15.5986%	14.3469%	15302	106657	152025	144	0			7.5986%							10802	152525								0	0	0		0	5000	14.3469%	1	0	15946	500	0	0	144	0	0	0		0	15302	0	0	15302	0	0	0	0	0	0	0	0	0	1335	0	500	0			
840251																																																																																						10928	1222	1222	7.7311%	11.2144%	9.9604%	9706	97446	125545	8	0			3.2144%							6461	125545								0	0	0		0	3245	9.9604%	1	0	9714	0	0	0	8	0	0	0		0	9706	0	0	9706	0	0	0	0	0	0	0	0	0	1222	0	0	0			
840354																																																																																						7606	347	347	14.4022%	21.1313%	20.1673%	7259	35994	50402	343	0			13.1313%							1259	50402								0	0	0		0	6000	20.1673%	1	0	7602	0	0	0	343	0	0	0		0	7259	0	0	7259	0	0	0	0	0	0	0	0	0	347	0	0	0			
840363																																																																																						105621	8793	8793	8.0802%	13.9251%	12.7659%	96828	758492	1198343	4713	0			5.9251%							58087	1201342								0	0	0		0	41740	12.7659%	1	0	104540	2999	0	0	4713	0	0	0		0	96828	0	0	96828	0	0	0	0	0	0	0	0	0	8793	0	2999	0			
840578																																																																																						4197	178	178	11.8611%	29.5584%	28.3048%	4019	14199	33884	0	0			21.5584%							3979	33884								0	0	0		0	40	28.3048%	1	0	4019	0	0	0	0	0	0	0		0	4019	0	0	4019	0	0	0	0	0	0	0	0	0	178	0	0	0			
840747																																																																																						135313	12597	12597	9.4543%	13.4309%	12.1805%	122716	1007477	1297994	5223	0			5.4309%							113080	1297994								0	0	0		0	9636	12.1805%	1	0	127939	0	0	0	5223	0	0	0		0	122716	0	0	122716	0	0	0	0	0	0	0	0	0	12597	0	0	0			
841472																																																																																						20376	1791	1791	9.1879%	12.5327%	11.4311%	18585	162583	202278	1771	6674			4.5327%							10454	208952								0	0	0		0	8006	11.4311%	1	125	20356	0	0	0	1771	0	0	0		0	18585	0	0	18585	0	0	0	0	0	0	0	0	0	1791	0	0	0			
841753																																																																																						26967	1096	1096	8.8900%	16.2988%	15.6364%	25871	165454	291011	4162	0			8.2988%							17168	291011								0	0	0		0	8703	15.6364%	1	0	30033	0	0	0	4162	0	0	0		0	25871	0	0	25871	0	0	0	0	0	0	0	0	0	1096	0	0	0			
841838																																																																																						2655	369	369	2.3650%	5.7435%	4.9453%	2286	46226	96660	-198	0			0.0000%	-62	0					-3444	96665								0	0	0		0	5735	4.9453%	1	0	2093	0	5	0	-198	0	0	0		0	2286	0	0	2286	0	0	0	0	0	0	0	0	0	369	0	5	0			
842376																																																																																						33254	639	639	10.2079%	17.2625%	16.9308%	32615	192637	319507	510	0			9.2625%							29252	319507								0	0	0		0	3363	16.9308%	1	0	33125	0	0	0	560	0	0	-50		0	32615	0	0	32615	0	0	0	0	0	0	0	0	0	639	0	0	0			
842460																																																																																				2418865	0				11.1504%			279789		2509219	37358	0										204165	2509219	0	0.0000%	77435	0	2652	80087	3.3109%	0	0	0	0	1	75624		1	0	317147	0	0	0	37358	0	0	0		0	279789	0	0	279789	0	0	0	0	0	0						0	0	36678		
842853																																																																																						2680	175	175	6.1954%	12.6035%	11.7805%	2505	21264	40433	0	0			4.6035%							319	40433								0	0	0		0	2186	11.7805%	1	0	2505	0	0	0	0	0	0	0		0	2505	0	0	2505	0	0	0	0	0	0	0	0	0	175	0	0	0			
843476																																																																																						5820	194	194	13.8347%	27.7964%	26.8698%	5626	20938	40666	45	0			19.7964%							5626	40666								0	0	0		0	0	26.8698%	1	0	5671	0	0	0	45	0	0	0		0	5626	0	0	5626	0	0	0	0	0	0	0	0	0	194	0	0	0			
843542																																																																																				110454	0				10.3950%			12475		120010	717	0										9882	120010	0	0.0000%	0	0	464	464	0.4201%	0	0	0	0	1	2500		1	0	13099	0	0	0	624	0	0	0		0	12475	0	0	12475	0	0	0	0	0	0						0	0	1043		
843953																																																																																						7529	386	386	9.7449%	25.1000%	23.8132%	7143	29996	73300	115	0			17.1000%							6743	73300								0	0	0		0	400	23.8132%	1	0	7258	0	0	0	115	0	0	0		0	7143	0	0	7143	0	0	0	0	0	0	0	0	0	386	0	0	0			
844053																																																																																				878098	0				11.1119%			116250		1046176	4069	0										79305	1047121	0	0.0000%	225279	0	6094	231373	26.3493%	0	0	0	0	1	37890		1	0	121264	945	0	0	4069	0	0	0		0	116250	0	0	116250	0	0	0	0	0	0						945	0	13923		
844138																																																																																						14770	815	815	10.8884%	17.4911%	16.5259%	13955	84443	128164	106	0			9.4911%							11290	128164								0	0	0		0	2666	16.5259%	1	0	14062	0	0	0	107	0	0	0		0	13955	0	0	13955	0	0	0	0	0	0	0	0	0	815	0	0	0			
844455																																																																																				95188	0				15.7553%			15983		101445	1110	0										15584	101445	0	0.0000%	1383	0	93	1476	1.5506%	0	0	0	0	1	450		1	0	17144	0	0	0	1161	0	0	0		0	15983	0	0	15983	0	0	0	0	0	0						0	0	0		
844567																																																																																						70513	4702	4702	10.0392%	18.8077%	17.5535%	65811	374916	655540	5334	0			10.8077%							50796	655540								0	0	0		0	15015	17.5535%	1	0	71145	0	0	0	5334	0	0	0		0	65811	0	0	65811	0	0	0	0	0	0	0	0	0	4702	0	0	0			
845247																																																																																				546125	0				12.8674%			83662		650187	47	0										45662	650187	0	0.0000%	74614	0	4499	79113	14.4862%	0	0	0	0	1	38000		1	0	83709	0	0	0	47	0	0	0		0	83662	0	0	83662	0	0	0	0	0	0						0	0	0		
845443																																																																																				136817	0				10.0147%			14557		145357	1047	0										11357	145357	0	0.0000%	7990	0	131	8121	5.4492%	0	0	0	0	1	3200		1	0	15604	0	0	0	1047	0	0	0		0	14557	0	0	14557	0	0	0	0	0	0						0	0	0		
845452																																																																																				26825	0				14.7232%			3990		27100	214	0										1990	27100	0	0.0000%	1117	0	0	1117	4.1108%	0	0	0	0	1	2000		1	0	4204	0	0	0	214	0	0	0		0	3990	0	0	3990	0	0	0	0	0	0						0	0	0		
845573																																																																																						378254	27642	27642	10.8131%	16.5671%	15.3564%	350612	2283165	3242486	-12886	0			8.5671%							368495	3260368								0	0	0		0	0	15.3564%	1	0	355609	17317	565	0	4576	-1520	-15941	0		0	350612	0	0	350612	0	0	0	0	0	0	0	0	0	27642	0	17882	0			
846132																																																																																						1983	67	67	7.4750%	12.0731%	11.6651%	1916	16425	25632	201	0			4.0731%							481	26490								0	0	0		0	2293	11.6651%	1	0	2975	858	0	0	201	0	0	0		0	1916	0	0	1916	0	0	0	0	0	0	0	0	0	67	0	858	0			
846619																																																																																						84774	6103	12103	9.1758%	14.7225%	12.6206%	72671	575814	791983	4867	16			6.6206%							65146	791999								0	0	0		0	7525	12.6206%	1	0	77538	0	0	0	4909	0	-42	0		0	72671	0	0	72671	0	0	0	0	0	0	6000	0	0	12103	0	0	0			
846945																																																																																				136705	0				12.3775%			20236		163490	272	0										15108	163841	0	0.0000%	8793	0	98	8891	5.5019%	0	0	0	0	1	5479		1	0	20859	351	0	0	272	0	0	0		0	20236	0	0	20236	0	0	0	0	0	0						351	0	0		
847157																																																																																				259791	0				9.6547%			29966		310378	2302	0										15212	310624	0	0.0000%	3509	0	58	3567	1.3730%	0	0	0	0	1	15000		1	0	32514	246	0	0	2302	0	0	0		0	29966	0	0	29966	0	0	0	0	0	0						246	0	32917		
847979																																																																																				80899	0				16.8252%			14240		84635	269	0										10199	84694	0	0.0000%	6659	0	0	6659	7.7426%	0	0	0	0	1	4100		1	0	14568	0	59	0	269	0	0	0		0	14240	0	0	14240	0	0	0	0	0	0						59	0	0		
848248																																																																																				439922	0				10.5097%			51367		488759	7059	0										47779	488759	0	0.0000%	0	0	5253	5253	1.1941%	0	0	0	0	1	3588		1	0	58426	0	0	0	7059	0	0	0		0	51367	0	0	51367	0	0	0	0	0	0						0	0	33017		
848453																																																																																				31308	0				10.2591%			4213		41066	-3	3464										-442	45490	0	0.0000%	1742	0	0	1742	3.6347%	0	0	0	0	1	5615		1	0	5170	350	432	178	-3	0	0	0		0	4213	0	0	4213	0	0	0	0	0	0						960	0	0		
