"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
734613			24	807	37	4889	29	9503	210	1407	6	591	8	947			37	1525	30	3485	23	7495	56	1383	6	553	4	895	false	false	
735049			4	109	3	145	0	0	2	13	0	0	0	0			3	113	1	176	0	0	0	0	0	0	0	0	false	false	
735067			4	95	18	2773	61	25826	143	4123	52	5721	33	9518			4	252	8	870	4	974	12	417	2	295	1	275	false	false	
735414			13	562	7	622	3	682	39	633	2	162	1	253			6	160	6	784	0	0	1	3	0	0	0	0	false	false	
735441			64	2894	42	7385	65	29897	517	14531	124	19132	80	36007			126	5534	96	16619	73	27301	371	9611	95	15337	54	19520	false	false	
735768			7	225	23	2879	89	42039	284	10286	97	13574	53	21373			0	0	0	0	1	228	1	100	1	120	0	0	false	false	
735973			7	329	8	605	0	0	0	0	0	0	0	0															false	false	
736158			5	168	5	747	1	445	84	1850	10	1515	5	1779			7	329	5	882	0	0	39	840	21	2256	7	2031	false	false	
736206			32	1490	110	16487	218	96500	643	20976	252	31758	212	79823			0	0	2	167	3	1025	0	0	0	0	0	0	false	false	
736550			82	3045	24	2801	38	13921	460	9901	36	4029	33	11527			114	4393	141	14434	94	17608	527	10913	79	9171	26	6913	false	false	
736662			16	804	28	3097	28	11546	311	7988	50	6525	34	10061			10	446	5	828	3	1189	71	1486	4	249	4	1033	false	false	
737548			57	1970	57	7501	78	31257	502	12218	85	9456	44	17018			62	2297	113	12254	76	17326	410	10570	117	13391	63	15128	false	false	
738013			90	3922	149	18200	216	81507	230	6097	103	8635	125	26655			110	3777	194	12896	115	13394	205	5078	73	6786	41	8203	false	false	
738040			161	5532	65	6983	32	9507	1591	31648	136	14111	58	11656			297	12591	495	65083	478	131939	2553	60982	656	66536	348	75359	false	false	
738143			51	2138	43	4583	69	24486	181	6189	44	5770	43	13781			13	528	22	3430	15	3725	54	1269	14	1375	5	1253	false	false	
738255			20	600	8	1103	5	1120	88	1545	19	1297	13	2973			20	722	23	3406	23	5508	80	1910	41	4000	44	6624	false	false	
738303			5	295	18	2292	60	28952	236	5697	46	6287	44	14391															false	false	
738657	12	101													115	130													true	true	
738769			75	2875	103	11888	117	41468	831	18309	117	13264	57	17439			98	4040	46	5797	32	8269	229	4311	39	3790	15	3113	false	false	
739346			20	637	13	2200	5	2580	201	3831	10	1437	5	2146			19	958	20	3451	24	8971	152	3670	40	5979	11	3980	false	false	
739355			147	8479	115	16036	134	62340	300	8819	62	7445	61	19099			9	364	3	401	3	761	55	1441	2	108	2	290	false	false	
739560			0	0	15	2258	246	123512	1810	61382	591	68354	574	161558															false	false	
739832			28	1470	28	3342	20	7889	218	4264	14	1357	9	2808			8	315	14	1654	9	2624	19	451	12	1334	7	1139	false	false	
740249			23	721	10	1133	13	2713	83	1735	19	1678	30	9981			13	333	17	1859	21	4772	58	1158	33	3057	16	3233	false	false	
741068			4	158	8	1136	4	2175	44	638	5	484	2	480			2	36	0	0	0	0	0	0	1	114	1	275	false	false	
741152			5	138	7	815	1	372	62	1330	2	271	4	1065	23	46													true	false	
741330			53	1927	142	14434	209	70741	1595	30227	204	20126	95	28428			30	803	37	3659	21	4286	143	1775	16	1493	4	324	false	false	
741358			9	225	4	435	1	264	86	1959	5	570	1	257			7	269	6	763	2	122	113	4469	11	1301	0	0	false	false	
741648			13	636	10	1359	4	1498	81	1536	8	790	2	364	27	0													true	false	
741844			11	415	11	1160	17	6597	69	1930	10	933	10	3305			8	378	26	3148	10	2689	54	1260	24	2251	7	1429	false	false	
741956			13	402	4	245	5	1481	54	850	8	1041	17	6197			5	111	2	244	2	338	9	224	4	239	7	786	false	false	
741974			34	1504	30	4138	25	10256	52	831	2	111	3	379			6	128	7	636	3	559	0	0	0	0	0	0	false	false	
742056			9	440	22	2566	25	8052	228	5689	18	2317	11	2017			2	94	7	833	5	1208	30	623	12	1266	5	822	false	false	
742542			13	416	28	3246	29	9600	50	1130	9	900	6	1561			18	841	22	2408	21	3825	22	470	9	1117	2	792	false	false	
742636			12	347	8	672	15	4654	119	3623	41	4312	23	9482															false	false	
742944			14	762	31	4223	62	27925	243	5751	74	8617	31	6152			2	81	5	606	2	535	3	45	0	0	0	0	false	false	
743679			46	1329	54	5536	76	26435	463	9689	79	7771	51	15194			30	955	20	3059	22	7292	26	936	1	184	2	593	false	false	
743950			4	99	3	434	1	206	23	608	9	828	2	725			1	34	4	326	1	263	26	504	2	197	0	0	false	false	
744238			36	1582	32	4402	45	18379	193	4791	61	6513	38	11506			13	534	11	1281	14	3502	27	898	13	1509	10	2486	false	false	
744256			38	1549	57	6789	66	28068	137	3268	36	3509	34	13845			8	57	11	1621	6	1381	53	1554	27	2978	12	2061	false	false	
744854			13	422	6	798	30	12676	293	7058	59	6833	43	12076			3	100	0	0	2	466	14	197	0	0	0	0	false	false	
745150	8	116													67	136													true	true	
745347			7	224	10	1047	8	2356	85	2427	12	1886	9	3946			9	397	13	1763	10	3165	12	302	17	2367	12	2716	false	false	
