"IDRSSD"	RCON8725	RCONA126	RCONC391	RCONFT00	RCONFT01	RCONFT02	RCONFT03	RCONFT04	RCONFT05	RCONFT06	RCONFT07	RCONFT08	RCONFT09	RCONFT10	RCONFT11	RCONFT12	RCONFT13	RCONFT14	RCONFT15	RCONFT16	RCONFT17	RCONFT18	RCONFT19	RCONFT20	RCONFT21	RCONFT22	RCONHK18	RCONHK19	RCONK102	RCONK103	RCONK104	RCONK192	RIADC388	RIADC389	RIADC390	RIADF551	RIADF553	
	TOTL INT RATE CONTRCS-MKD TO MARKET	TOTAL INT RATE CONTRACTS TRADING	OTSTDNG CRED CD FEES & FIN CHGS	DOES THE INSTITUTION HAVE ANY DERIVA	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	FOR THE TWO CALENDAR QUARTERS PRECED	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	DOES THE INSTITUTION USE THE FAIR VA	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION SERVICE ANY CLO	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY CONSOL	TOTAL ASSETS OF CONSOLIDATED VARIABL	TOTAL LIABILITIES OF CONSOLIDATED VA	DOES THE INSTITUTION, TOGETHER WITH	DOES THE INSTITUTION HAVE ASSETS COV	LOANS AND LEASES COVERED BY LOSS SHA	PAST DUE AND NONACCRUAL LOANS AND LE	PAST DUE AND NONACCRUAL LOANS AND LE	PAST DUE AND NONACCRUAL LOANS AND LE	OTHER REAL ESTATE OWNED COVERED BY F	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	LS SHR FDIC CVRD LS SHAR PD 30 - 89	LS SHR FDIC CVRD LS SHAR PD 90	LS SHR FDIC CVRD LS SHAR NACRL	ASSET CVR LS SHR FDIC OREO PRTN PROT	UNCOLLBLE CRED CRD FEE&FIN CHGS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	NET GAINS(LOSS) ERN RPT AT FV	NET GN LS ERN ON LIABILITY RPT AT FV	
33839				false			false			false	false		true	1419	false		false			false	false																	
33857	40590	0																											0	0	0	0						
34425				false			false			true	false		false		true	141835	false			false	false						970	0								35	0	
34434	0	817		true	0	0	false			false	false		false		false		false			false	false																	
34537	756841	0						129025	65108																				0	0	0	0				2475	0	
34555	0	0						0	0																				0	0	0	0						
34742				false			true	25141	3168	false	false		true	36095	false		false			false	false																	
35057	9660	0						0	0																				0	0	0	0						
35301								0	0																													
35570	3432274	1282997						143668	30357																				0	0	0	0						
35646				false			false			false	false		false		false		false			false	false																	
35879				false			false			false	false		false		true	45697	false			false	false																	
36456				false			false			false	false		false		false		false			false	false																	
36933				false			false			false	false		false		false		false			false	false																	
37051				false			false			false	false		false		false		false			false	false																	
37341				false			false			false	false		false		false		false			false	false																	
37435	12286	0		true	0	0	true	34810	7232	false	false		true	34810	true	375511	false			false	false																	
37640	37162	235242						97620	17006																				0	0	0	0				191	0	
37659	0	0						0	0																				0	0	0	0						
37949				false			false			false	false		false		false		false			false	false																	
38740				false			false			false	false		false		false		false			false	false																	
39327				false			false			false	false		false		false		false			false	false																	
39756	1760	0																											0	0	0	0						
40033				false			false			false	false		false		false		false			false	false																	
40499	941928	867728						716759	208612																				0	0	0	0				101776	0	
40855				false			false			false	false		true	5625	false		false			false	false																	
41553				false			false			false	false		false		false		false			false	false																	
41629				false			false			false	false		false		false		false			false	false																	
41825	331	18		true	0	0	true	16911	331	false	false		false		false		false			false	false																	
41955				false			false			false	false		false		false		false			false	false																	
42037				false			false			false	false		false		false		false			false	false																	
42354				false			false			false	false		false		false		false			false	false																	
42372				false			false			false	false		false		false		false			false	false																	
42420	1579528	0						121246	29011																				0	0	0	0						
42448	0	0						0	0																				0	0	0	0						
42457				false			false			false	false		false		false		false			false	false																	
43052				false			false			false	false		false		true	33203	false			false	false																	
43351				false			false			false	false		false		false		false			false	false																	
43856				false			false			false	false		true	11540	false		false			false	false																	
43959				false			false			false	false		false		false		false			false	false																	
44040				false			false			false	false		false		false		false			false	false																	
44433	40000	0																											0	0	0	0						
44741				false			true	9129	8019	false	false		false		true	99631	false			false	false																	
44750				false			false			false	false		false		false		false			false	false																	
44929	0	0																											0	0	0	0						
45038	0	0						0	0																				0	0	0	0						
45047				false			false			false	false		false		false		false			false	false																	
45056				false			false			false	false		false		false		false			false	false																	
45430				false			false			false	false		false		false		false			false	false																	
