"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDJA29	RCFDJF76	RCFDK183	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCFNK260	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONJA29	RCONJF76	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK183	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONLG26	RCONLG27	RCONLG28	RCONLL57	RCONLL58	RCONLL59	RCONLL60	RCONLL61	RCONN517	RCONN518	RCONN519	RCONN520	RCONN521	RCONN522	RCONN523	RCONN524	RCONN527	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
780049																																		0	331	24	0	0	311	true	0	0	86	0	245	1877	1	0	false	0	0	24	0	0	287	0	0	0	0	0	0	0	true	false			0	0																	0	0			120	3885	0	0	0	0	0	0	false	false	false	false																						www.bankofkilmichael.com	
780218																																		30531	0	0	28616	1132	0	true	0	0	0	0	0	1162	1	1132	true	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	2	783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			1061	78557	0	0	0	0	0	0	false	false	false	false																						http://www.theubank.com	
780263																																		0	0	0	0	0	0	true	0	0	0	0	0	927	1	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false			0	0																	0	0			242	11293	0	0	0	0	0	0	true	false	false	false		1	102	1171	0		Ozona Bank															http://www.ozonabank.com	
780562																																		0	0	57000	0	0	60631	true	0	0	0	0	0	3479	2	0	false	0	3631	57000	0	0	0	0	3631	0	0	0	0	0	false	false				0																	0	0	1	true	61	13534	0	13418	0	0	0	0	true	false	false	false																						http://www.icb.biz	
780722																																		0	675	0	0	0	27504	true	561	0	114	0	0	10503	4	0	false	0	0	0	1964	10400	15140	16264	0	0	0	0	0	0	true	false	0	0	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			233	36517	0	0	0	0	0	0	false	false	false	false																						http://www.hebronsavingsbank.com	
780955																																		9268	474	0	8191	0	0	true	205	0	170	0	99	694	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false				1077																	0	0			102	2659	0	0	0	0	0	0	true	false	false	false																						http://www.waumandeebank.com	
781028																																		0	4361	10000	0	0	57833	true	4340	0	21	0	0	503	1	0	true	0	0	10000	17833	10000	20000	0	0	0	0	0	0	0	false	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			445	50211	0	0	0	0	0	0	true	false	false	false		0	107	1100	0																	www.essexbank.com	
782016																																		2521	0	0	2521	0	578	true	0	0	0	0	0	761	0	0	false	0	0	0	0	0	578	0	0	0	0	0	0	0	true	true			0	0																	0	0			6	132	0	0	0	0	0	0	true	false	false	false																						www.bankofmaysville.com	
782306																																		33886	0	448610	32609	0	471998	true	0	0	0	0	0	99126	7	0	true	0	10000	448610	4044	4242	4600	0	10000	0	0	502	0	502	false	false	0	0		1277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			1070	193089	0	0	0	0	0	0	true	false	false	false		0	480	3326	0																	www.brooklinebank.com	
782548																																		0	255	0	0	0	3825	true	0	255	0	0	0	460	0	0	false	0	0	0	1229	319	2277	0	0	0	0	0	0	0	true	false				0																	0	0			19	431	0	0	0	0	0	0	true	true	false	false																						WWW.CLINTONBANKKY.COM	
