"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	
498362			12097	6600	309	0	6723	1535	0				0																
498456			127	15	0	0	112	0	0																				
498531			6245	2050	568	0	5326	1699	0																				
498625			1676	240	40	0	1549	153	0																				
498942			502	27	9	0	476	10	0																				
499154			808	0	0	0	808	0	0																				
499453			6446	1128	232	0	5461	375	0																				
499501			7285	1860	131	0	2440	138	2992																				
499743			1887	100	28	0	1779	20	0				0																
499752			1497	345	77	0	1313	238	0																				
499855			4895	1475	427	0	3895	902	0																				
500256			1360	0	102	0	1310	52	0				0																
500658			742	0	2	0	745	5	0																				
501105	0		1734061	799800	86045	0	1049479	333287	132024	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
501132			4814	900	274	0	4216	576	0																				
501459			5673	1257	106	0	4473	163	0																				
501655			862	98	3	0	843	82	0				0																
501767			1668	585	108	0	1074	99	0																				
501815			4513	725	82	0	3999	293	0				0																
502111			3100	937	0	0	2540	377	0																				
502447			1031	0	88	0	1147	204	0																				
502559			1777	673	8	0	1097	1	0																				
502652			3100	1063	0	0	2039	2	0																				
502746			3075	333	32	0	2766	56	0																				
502849			18837	5515	225	0	14731	1634	0																				
503547			293	284	41	0	236	268	0																				
503640			130	19	0	0	111	0	0																				
504142			1058	60	0	0	1071	73	0																				
504311			4497	1892	36	0	2770	201	0																				
504535			1502	715	15	0	1104	332	0																				
504647			358	26	0	0	332	0	0																				
504713	5494		7314229	3523275	393588	99074	4019695	2080804	1557549	94023	0	0		0	0	0	0	0	0	0	0	147	0	0	147	0	0	10149	
505550			2888	950	28	0	1880	40	70																				
505916			520	97	4	0	427	8	0																				
506249			24703	2783	771	0	22649	1500	0				0																
506922		0	165368	85669	1011	0	56134	1819	24373			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
507068			41668	1800	849	0	39907	888	0			0	0																
507152			6535	1275	25	0	5850	612	-3																				
507349			333	24	0	0	309	0	0																				
507509			20770	11790	257	0	10156	1433	0				0																
508270			364	0	0	0	364	0	0																				
508346			18113	5800	345	0	12477	509	0				0																
508355			3500	488	0	0	3718	706	0																				
509811		0	48022	16047	4292	0	35096	10453	3040					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
509857			311	18	9	0	287	3	0																				
509950			87936	48573	1875	0	48435	10947	0				0																
510330			2633	620	11	0	2109	107	0																				
510648			1317	0	41	0	1276	0	0																				
510871	0		380823	168719	16899	0	145897	60602	109910			0		0	0	-558	9403	0	8845	0	0	1641	0	331	1310	0	0	0	
510938			4297	1252	69	0	3554	578	0																				
510947			706	0	5	0	746	45	0																				
511832			3537	475	218	0	3850	1006	0																				
513256			5469	120	27	0	5336	14	0				0																
513322			460	187	8	0	277	12	0																				
513340			4215	1450	117	0	2752	104	0																				
513546			1147	120	2	0	1025	0	0																				
513854			590	125	20	0	567	122	0																				
513920			204	6	0	0	198	0	0																				
514048			4107	1050	7	0	3244	194	0																				
514057			151	51	3	0	100	3	0																				
514066			14555	1631	392	0	13059	527	0																				
514132			4135	779	226	0	4304	1174	0																				
514356			236	1	11	0	225	1	0				0																
514655			5137	462	9	0	4856	190	0																				
514936			3094	0	130	0	2987	23	0																				
515054			1589	500	91	0	1372	374	0																				
515979			852	0	0	0	852	0	0																				
516154			1004	130	26	0	854	6	0																				
516855			10825	2450	704	0	9683	2012	0																				
516873			401	122	0	0	429	150	0																				
517049			10640	2500	240	0	7971	71	0																				
517357			4531	1738	288	0	2545	612	572																				
517441			1645	250	75	0	1349	29	0																				
517674			3923	695	34	0	3270	76	0																				
518037			8386	650	384	0	7564	212	0																				
518176			300	56	0	0	250	6	0																				
518354			713	466	155	0	713	621	0																				
518877			856	300	15	0	577	36	0																				
519146			3475	1446	71	0	3008	1050	0																				
519360			3019	287	76	0	2658	2	0																				
519445			388	80	2	0	309	3	0																				
519874			443	618	145	0	260	580	0																				
520003			11271	2578	95	0	8730	132	0																				
520423			3106	0	25	0	3170	89	0																				
520777			915	127	3	0	789	4	0																				
521064			484	106	8	0	448	78	0																				
521158			6241	0	44	0	6253	56	0																				
521804		0	11212	3578	44	0	11177	114	-3473			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
521952			546	55	24	0	530	63	0																				
521970			2156	141	244	0	2138	367	0																				
522034			489	293	15	0	392	211	0																				
522454			806	313	6	0	517	30	0																				
522605			19082	5625	272	0	15353	2168	0				0																
522669			2799	320	1	0	2482	4	0																				
522753			2328	603	198	0	1973	446	0																				
522847			12443	4400	468	0	8376	801	0																				
522856			0	0	0	0	1074	0	-1074																				
523161			1915	319	3	0	1614	21	0																				
524579			3135	0	17	0	3138	20	0																				
524757			473	132	2	0	350	11	0																				
524766			2105	0	11	0	2343	249	0				0																
524953			3785	885	23	0	3665	788	0																				
524971			8484	1765	35	0	6985	301	0				0																
