"IDRSSD"	RCFA2170	RCFA3128	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAJJ30	RCFAJJ31	RCFAJJ32	RCFAKW00	RCFAKW03	RCFAKX77	RCFAKX78	RCFAKX79	RCFAKX80	RCFAKX81	RCFAKX82	RCFAKX83	RCFALB58	RCFALB59	RCFALB60	RCFALB61	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP852	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ258	RCFAS540	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP851	RCFWP852	RCFWP853	RCFWP854	RCFWP855	RCFWP856	RCFWP857	RCFWP858	RCFWP859	RCFWP870	RCOA2170	RCOA3128	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAJJ29	RCOAJJ30	RCOAJJ31	RCOAJJ32	RCOAKW00	RCOAKW03	RCOAKX77	RCOAKX78	RCOAKX79	RCOAKX80	RCOAKX81	RCOAKX82	RCOAKX83	RCOALB58	RCOALB59	RCOALB60	RCOALB61	RCOALE74	RCOANC99	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP852	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ258	RCOAS540	RCOWH312	
2078290																																																																																						1863397	147211	147211	8.6002%	14.1846%	13.0640%	1716186	13136766	19955148	35162	0			6.1846%			2				724143	20809141								0	0	0		0		1846036	13.0640%	1	0	2605341	818444	34657	892	9945	16840	-4812	13189		0	1716186	0	0	1716186	0	0	0	0	0	0	0	0	0	147211	0	853993	0			
2107181																																																																																						47917	28	28	44.2225%	79.3236%	79.2772%	47889	60407	108291	0	0			71.3236%							30239	108291								0	0	0		0		17650	79.2772%	1	0	47889	0	0	0	0	0	0	0		0	47889	0	0	47889	0	0	0	0	0	0	0	0	0	28	0	0	0			
2107341																																																																																				126948	0				10.5480%			14450		136993	50	0										6011	137054	0	0.0000%	13510	0	745	14255	9.8424%	0	0	0	0	1		8500		1	0	14561	61	0	0	50	0	0	0		0	14450	0	0	14450	0	0	0	0	0	0						61	0	0		
2119773																																																																																						370363	17447	17447	8.8129%	11.3013%	10.7690%	352916	3277159	4004550	5554	0			3.3013%			2				158158	4118258								0	0	0		0		308937	10.7690%	1	0	472649	110808	2900	0	1586	4441	0	-2		0	352916	0	0	352916	0	0	0	0	0	0	0	0	0	17447	0	113708	0			
2121196																																																																																						3448869	145937	145937	11.0301%	31.4434%	30.1129%	3302932	10968494	29944753	-351	-3497	34931029	9.4556%	23.4434%							1564011	29941256								0	0	0		0		1739005	30.1129%	1	0	3302665	0	0	0	-3342	2970	21	0		0	3302932	0	0	3302932	0	0	0	0	0	0	0	0	0	145937	0	0	84		2.5000%	
2122997																																																																																						32497	0	0	91.6881%	464.6411%	464.6411%	32497	6994	35443	0	0			456.6411%							30497	35443								0	0	0		0		2000	464.6411%	1	0	32497	0	0	0	0	0	0	0		0	32497	0	0	32497	0	0	0	0	0	0	0	0	0	0	0	0	0			
2123930																																																																																						7659	215	215	7.6904%	13.4697%	13.0916%	7444	56861	96796	243	0			5.4697%							3001	96796								0	0	0		0		4443	13.0916%	1	0	7687	0	0	0	243	0	0	0		0	7444	0	0	7444	0	0	0	0	0	0	0	0	0	215	0	0	0			
2132594																																																																																						44765	2671	2671	6.9497%	12.2337%	11.5037%	42094	365916	605697	190	-190			4.2337%							20298	605519								0	0	0		0		21808	11.5037%	1	0	42296	0	12	0	190	0	0	0		0	42094	0	0	42094	0	0	0	0	0	0	0	0	0	2671	0	12	0			
2132941																																																																																						237466	20795	20795	6.8970%	13.0605%	11.9168%	216671	1818199	3141506	-7487	0			5.0605%							173621	3141506								0	0	0		0		43050	11.9168%	1	0	209184	0	0	0	-7487	0	0	0		0	216671	0	0	216671	0	0	0	0	0	0	0	0	0	20795	0	0	0			
2140348																																																																																				109679	0				14.2499%			23399		164205	24	0										12830	164205	0	0.0000%	2468	0	55	2523	1.5097%	0	0	0	0	1		10569		1	0	23423	0	0	0	24	0	0	0		0	23399	0	0	23399	0	0	0	0	0	0						0	0	2894		
