"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLE75	RCONLG24	RCONLG25	RIADG377	
3229875																																																																0	0		0			0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0			0	0	0	0	0	0			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0		0				0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0		0	0	0	0	0	CONF	CONF		
3232204																																																															0	81367	34112		0			460391	8887		0	2834366	0	0	0	137798	5621	49014	105310	1151	2085	11616	5774	29877	86299	788766	90774	264118	144967	994905	337155				0	0					0	131871	621786	1352531			0			275	0														888997	0	0	0	1882		0	2	0	0	0	0	0	0	0	0	0	0	0	1570	0			0	0	0	0	0	0	37	0	CONF	CONF		
3232370																																																															0	4987	4421		1903			25049	2292		5087	147132	0	0	0	42933	1210	1178	29718	1368	1970	12028	13632	10055	3612	17091	15659	21916	32213	12976	3496				0	6			0	0	4323	5269	25764	19265			0			0	0														2508	0	0	0	0		0	200	0	0	0	0	0	0	0	1755	0	0	0	0	0			0	0	0	0	0	2668	0	0	CONF	CONF		
3235410																																																															0	26509	80200	0	7204	209086	0	209086	35732		19086	1201805	9614	0	4713	35110	12159	31867	257756	12303	4062	5162	3705	9303	575	333882	139046	122378	163507	353690	63425	0	0	0	0	111	0		0	0	41482	102842	200883	423369	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0		635138				0	17563	0	17563	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	CONF	CONF		
3243282																																																															0	0	32493		0			181433	6247		8114	628183	2406	0	0	6417	3352	3798	40577	201	1058	1000	2083	1479	595	85049	32444	97510	124875	279652	4193				0	1021			0	0	1721	30352	183930	175361			0			0	0														6906	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	148	0	0	CONF	CONF		
3247589																																																															0	7098	62751		383			37277	15994		0	332321	292	0	1638	21068	2459	9525	11456	1538	732	2983	1864	3363	10170	31233	21469	44893	85407	44519	83058				0	160			0	0	156	12133	67443	105167			0			0	0														4290	0	0	0	304		0	0	0	0	0	0	0	0	0	301	0	0	0	0	304			0	0	0	0	0	223	0	0	CONF	CONF		
3248849																																																																1323	137705	0	0	163597	0	163597	19412		0	1353457	5478	0	0	136812	5138	109257	326262	35568	21591	16986	25543	33455	3669	379518	119875	217683	185089	314486	5472	0	0	0	0	1657	0		0	0	111219	225954	173086	361518	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	703955				0	0	0	0	0	0	0	0	0	0	0	21338	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	CONF	CONF	0	
3253834																																																																629	2346		0			23418	4316		0	98128	0	0	0	31161	846	1597	25895	1907	6088	7999	13997	1170	0	8224	13371	9488	29691	5839	0				0	21			0	0	3466	1261	25054	5073			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0		38615				0		0	309	0	0	0	0	0	0	0	181	0	0	0	0	0			0	0		0	0	47	0	0	CONF	CONF		
3254297																																																																232	0		367			8055	2178		792	46216	0	0	0	13898	265	0	16389	1506	1995	1361	2354	2361	4263	4697	9240	3941	9200	4650	542				0	197			0	0	4959	343	2347	10783			0			67	0													0	8190	0	0	0	90		0	2	0	0	0	0	0	0	0	232	0	0	0	0	0			23	0		23	0	1566	0	0	CONF	CONF	0	
3262788																																																																7380	2379		232			10800	13098		0	166020	0	0	0	62212	658	29721	24221	2316	5209	9863	28217	16607	0	23675	7743	12834	24176	35122	242				0	204			0	0	3211	498	41626	18583			0			0	0													0	57520	0	0	0	431		0	27	0	0	0	0	0	0	0	3875	0	0	0	214	0			0	0		0	0	1237	217	0	CONF	CONF	0	
3267738																																																															0	1949	4043		0			106171	5546		0	436396	0	0	4478	72992	4506	8848	84625	2246	2799	8849	19743	17922	21431	61008	47171	54454	87313	111121	617				0	0			0	0	18226	20538	92252	84603			0			0	0														151535	0	0	0	0		0	24738	0	0	0	0	0	0	0	363	0	0	0	0	0			0	0	0	0	0	469	0	1711	CONF	CONF		
3268173																																																																0	0		0			0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0			0	0	0	0	0	0			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0		0				0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0		0	0	0	0	0	CONF	CONF		
3268249																																																																0	0		0			0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0			0	0	0	0	0	0			0			0	0														0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	CONF	CONF		
3270046																																																															0	1272	10043		0			44344	2958		0	175128	0	0	0	21743	9188	96	42421	845	2392	4391	11879	476	1760	20643	19754	23689	68361	14944	2583				0	1088			0	0	4934	8845	39549	22579			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0		40491				553		0	114	0	0	0	0	0	0	0	1959	0	0	0	0	553			0	0		0	0	6512	0	0	CONF	CONF		
3271799																																																																4845	44541		605			414527	56644		0	1467339	4122	93087	0	277361	13240	122252	162081	3712	8576	37963	80684	8348	133794	553053	45692	128731	377418	65925	4541				0	99			0	0	58511	100480	234572	163303			0			704	1482														631628	0	0	0	3446		0	9300	0	0	0	0	0	0	0	6	0	1206	0	0	1000			0	0	0	0	0	340	536	0	CONF	CONF		
3271986																																																																5848	10373		0			67024	12481		0	417564	0	0	0	94301	5165	8942	46038	275	4987	7402	30726	48937	1973	26669	30865	50204	92312	113130	10082				1088	519			0	0	12742	13843	96831	79092			0			203	0														78287	0	0	0	203		0	12855	0	0	0	0	0	0	0	29	0	0	0	0	0			0	0	0	0	0	5373	0	0	CONF	CONF		
3272956																																																																4550	40154		31			14381	1199		0	337261	1245	9271	0	54281	199	38242	40487	801	6022	3290	1446	14478	26940	37492	27762	35112	24357	37374	121710				0	12			0	0	9054	30637	63226	107864			0			161	1161														50863	0	0	0	2030		417	0	0	0	0	0	0	0	0	141	0	0	0	1831	0			38	38	0	0	0	3089	0	0	CONF	CONF		
