"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONMT87	RCONMT88	RCONMT89	RCONMT90	RCONMT91	RCONMT92	RCONMT93	RCONMT94	RCONMT95	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
2732	67329	0	7896	198496	0	256951	0	0	0	0	368826	0	11255	18651	28650	137249	11714	249055	357571	0	0	4297	0	0	19908	32297	8172	1322	51971	58628	39194	4417	310	33049	102549	0	0	97822	0	0		0		0		0		0	true							
2750	17916	0	4485	8189	0	19008	0	0	0	0	33870	0	7785	8963	5330	887	1795	14523	25097	0	988	862	0	0	3667	5211	3698	93	8010	895	665	839	0	7339	2399	0	0	1560	988	0		0		0		0		0	true							
3252	21326	0	109764	51713	0	155773	0	0	620	0	108502	0	49945	143173	9256	32086	5692	46009	57313	0	1244	0	620	620	4098	10190	4217	1719	14288	5422	28376	1069	0	10967	34867	19061	0	33798	746	0		0		14094		0		0	false							
3458	4182	0	2208	8665	0	15536	0	0	2000	0	44246	0	7997	8046	11090	9368	1079	13328	36249	0	0	264	2000	2000	4741	13898	5027	1117	16639	0	4390	1523	0	13693	5913	0	0	4390	0	0		0		0		0		0	true							
3720	85020	0	34722	95388	0	214033	0	0	0	0	121935	0	6121	39695	16212	3432	5098	179311	115814	0	0	1555	0	0	7951	15189	2561	0	23140	3953	3418	411	0	9489	7782	0	0	7371	0	0		0		0		0		0	true							
3971	127304	0	4364	201263	0	312856	0	0	73889	0	427994	0	4663	6656	129231	114835	13456	308492	346044	0	77287	3399	73889	43086	20842	80800	60384	6908	101642	2631	5835	7363	1092	39703	16921	0	0	8466	3323	0		0		0		0		0	true							
4156	33182	690	17980	63826	0	136611	0	0	0	0	124914	47	20214	29343	14735	45914	3778	117936	102920	5	1733	1737	0	0	16583	13100	7484	2769	29683	1521	2481	892	986	25201	5880	14145	0	4002	747	0		6736		0		0		6736	true							
4231	24699	0	25254	39476	0	69872	0	0	0	0	64083	0	1500	23923	12633	8400	12432	44618	62583	0	0	8132	0	0	4266	9286	6119	6093	13552	756	961	1493	2009	13131	5219	0	0	1717	0	0		0		0		0		0	true							
5069	33598	1	0	63667	0	65026	0	0	97675	0	212586	0	6742	0	60491	29835	893	65025	167294	0	38550	548	97675	37922	13730	41165	66003	596	54895	5915	15662	6082	0	61003	27659	0	0	21577	10425	0		0		0		0		0	false							
5135	34557	0	62676	109679	0	211705	0	0	18699	0	260290	0	13016	70373	67814	58556	18740	149029	228109	0	19165	10352	18699	148	32679	71259	8229	17559	103938	10672	25676	1104	0	61913	37452	0	0	36348	0	0		0		0		0		0	true							
5210	1433423	42	36356	127687	0	229974	0	0	0	0	2211153	0	288746	294320	208030	347678	78296	192334	1922407	1242	0	23525	0	0	100731	141414	67334	13376	239714	39876	51990	9803	5528	114825	107197	40399	0	91367	7326	0		0		0		0		0	true	31267	37031	204782	142896	743327	219280	
5461	469241	0	14926	70244	0	70244	0	0	0	0	691585	0	17772	21088	5022	200958	1764	55318	673813	0	0	795	0	0	3395	6309	918	427	9704	3899	6437	0	0	6027	10336	83929	0	10336	0	0		0		83929		0		83929	true							
5751	18898	0	18069	46062	0	93357	0	0	3497	0	119177	0	11077	24840	14779	66288	6120	75288	105841	0	2259	2116	1984	992	10157	12002	6146	1379	22158	953	1854	1500	0	14905	4307	6506	1017	2807	994	0		0		0		0		0	true							
6039	56329	0	19350	172669	0	199361	0	0	0	0	162567	0	9422	21704	36047	32504	9732	180011	153145	0	0	2287	0	0	13945	36953	11976	792	50898	3012	4111	2945	0	27619	10068	0	0	7123	99	0		0		0		0		0	true							
6329	124089	0	13382	459831	0	606053	0	0	5101	0	667709	0	64986	8247	74556	265096	13052	592671	600691	0	2032	3943	5101	5101	65664	118130	17586	6739	183794	23303	39936	4542	2624	133563	70405	158786	0	63239	1729	0		0		113276		0		113276	false							
7009	0	0	0	217034	0	217034	0	0	0	0	1158593	0	0	0	0	1158593	1	217034	1158593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188694		971327		0		0		0	false							
7045	38274	0	21982	35714	0	154400	0	0	0	0	91829	0	7764	0	17061	21230	6649	132418	84065	0	0	298	0	0	4634	12307	7586	4157	6588	0	3341	300	0	11623	3641	0	0	3341	0	0		0		0		0		0	true							
7072	94160	0	1660	63262	0	97080	0	0	4739	0	231278	0	15658	9750	35170	59890	15223	95420	215382	0	238	4643	4739	3470	13991	28325	16250	1638	42316	1683	12931	2409	0	25035	17023	0	0	14614	0	0		0		0		0		0	true							
7456	27764	0	24425	27269	0	63264	0	0	0	0	47958	0	3697	24622	11506	0	2382	38839	44261	0	0	115	0	0	3331	10201	3906	168	13532	830	1393	365	0	6100	2588	0	0	2223	0	0		0		0		0		0	true							
7634	11978	0	1667	16466	0	22119	0	0	0	0	51242	0	93	621	12768	1720	7063	20452	51149	0	0	4828	0	0	6397	18406	3366	828	24803	2560	5722	0	265	16229	8547	0	0	8282	0	0		0		0		0		0	false							
8033	35558	0	1968	97797	0	147216	0	0	7000	0	172583	0	743	1493	45193	0	8026	145248	164012	0	7828	4302	0	0	25751	50651	21668	6631	76402	6561	17983	6476	1303	59509	32323	1355	0	24544	7828	0		0		0		0		0	true							
8462	1267	0	6490	50121	0	102684	0	0	0	0	38250	0	10591	15225	7270	4981	3468	95944	27659	250	0	1832	0	0	7314	9190	1087	0	15887	2250	12161	0	0	10321	14411	0	0	14411	0	0		0		0		0		0	true							
8631	20843	0	1183	23738	0	29482	0	0	0	0	36907	0	1025	1347	5485	4373	1930	28299	35882	0	0	941	0	0	1248	4103	3218	909	5351	0	2211	0	0	3994	2211	0	0	2211	0	0		0		0		0		0	true							
9357	226004	240	1743	72385	0	80006	0	0	1	0	461239	7613	0	0	763	232303	938	78023	453626	0	0	366	1	1	590	618	267	0	1208	1456	0	0	0	712	1456	11516	0	1456	0	0		0		11516		0		11516	true							
9553	20507	0	10135	30339	0	55335	0	0	5404	0	79456	0	4316	13084	18480	9807	6277	45200	72139	0	3001	0	5404	1244	9320	18834	9348	4356	28154	1005	3423	2038	817	23378	7283	0	0	4428	993	0		0		0		0		0	true							
9807	775706	0	31217	193430	0	268271	0	0	0	0	2274067	0	577425	223126	45862	1119796	76639	237054	1696642	0	0	1687	0	0	25448	51525	41031	1139	66110	218362	38574	2486	0	73281	259422	10600	0	256936	29016	0		0		0		0		0	true	12460	32465	630461	186427	479764	275466	
9955	14139	30	3421	39277	0	68903	0	0	90	0	79293	0	20344	20710	4857	54494	708	65452	58949	0	0	0	90	0	2122	4129	1813	418	6164	500	1678	0	0	3625	2178	0	0	2178	0	0		0		0		0		0	true							
10250	262179	0	1053	43749	0	82727	0	0	0	0	499401	0	6961	4458	41479	153816	26541	81674	492191	0	249	10095	0	0	9819	19831	20583	12109	29650	1324	7973	2437	9330	20862	21064	1132	0	9297	498	0		0		138		0		138	true							
10849	109424	0	1493	8325	0	15446	0	0	0	0	252985	0	42559	43547	34383	57474	8044	13952	210426	1	0	2340	0	0	13011	39351	14882	823	52362	305	15090	2626	0	33685	18021	0	0	15393	747	0		0		0		0		0	false							
11145	62078	0	45134	99694	0	187662	0	0	0	0	152847	0	18311	3105	18824	45176	8823	142526	134536	2	0	4765	0	0	4651	14766	7456	4243	19417	3765	4673	4781	1257	12292	14476	0	0	8438	0	0		0		0		0		0	true							
11640	21971	0	54430	114742	0	238524	0	0	0	0	118583	0	3947	43611	28624	27794	17410	184094	114636	0	0	9349	0	0	12232	21147	12456	8117	33371	1709	7452	3039	2669	25326	14869	0	0	9161	0	0		0		0		0		0	true							
11837	7428	0	52182	14463	0	83338	0	0	0	0	43181	0	80	50408	11633	14735	2252	31156	43101	0	0	523	0	0	2729	10453	5557	710	13182	0	805	764	0	7816	1569	0	0	805	0	0		0		0		0		0	true							
12030	55689	0	65238	187899	0	247627	0	0	0	0	205694	0	3339	61907	49712	52090	15458	182389	202155	0	200	5102	0	0	17302	40456	21735	2931	57758	1671	9132	4238	450	32712	15491	0	0	10803	0	0		0		0		0		0	false							
12142	45643	0	21076	117195	0	208814	0	0	0	0	100514	0	2581	19520	18802	15635	6678	187738	97933	0	0	2023	0	0	14179	17100	1947	0	27870	3125	2585	300	0	14424	6010	0	0	5709	0	0		0		0		0		0	true							
12311	20303185	17128	7581616	62330647	0	86192085	0	0	1112524	0	60190427	0	1347351	3739177	2259051	35971949	720828	78589719	58840234	3622	2842	155434	1085614	1085495	1207316	1499239	458815	93802	2706555	286969	307569	47901	13682	1000121	656121	474150	26910	594538	0	0	0	273102	0	3857298	3493027	0	0	407769	true	12432538	18847769	23436379	11429560	420627	19869736	
12647	35631	0	2478	64382	0	77304	0	0	0	0	100117	0	7505	0	10400	44698	3007	74826	92612	0	0	675	0	0	4128	7963	4652	0	12091	554	2490	0	0	6343	3045	0	0	2539	0	0		0		0		0		0	true							
12656	3383	0	1005	5685	0	9159	0	0	0	0	10113	0	1573	1090	2262	2335	741	8154	8540	0	0	215	0	0	576	2066	1171	52	2642	0	256	0	274	1603	530	0	0	256	0	0		0		0		0		0	true							
12946	114721	0	360065	445452	0	744287	0	0	8407	0	1090148	0	224654	456402	118637	497104	44101	384222	865494	0	0	21502	0	0	68967	144810	39373	9652	212164	60338	133612	20107	1465	144165	215522	231487	8407	193636	0	0		0		0		0		0	true	81212	26091	224233	161389	107525	7196	
13103	859340	0	35895	161825	0	376356	0	0	0	0	2149899	0	429505	0	118968	943180	64200	340169	1718395	292	1999	26853	0	0	51719	93916	35588	22419	145621	42152	76830	18855	5901	84674	143738	0	0	118982	0	0		0		3230		0		3230	true	13740	159406	466926	247962	292822	363455	
13251	5710	0	573	13511	0	18634	0	0	0	0	39146	0	3402	2774	4991	28341	1033	18061	35744	0	0	0	0	0	1227	2997	871	0	4224	0	0	0	0	104	0	0	0	0	0	0		0		0		0		0	true							
13457	4160	0	447	5163	0	9123	0	0	0	0	10461	0	328	406	1761	2396	1083	8676	10133	0	0	0	0	0	1536	1272	593	0	2808	0	504	0	0	1640	504	0	0	504	0	0		0		0		0		0	false							
14155	35105	0	10284	72203	0	134778	0	0	0	0	124700	0	13664	23948	15062	56973	6887	123749	110479	745	557	3272	0	0	6060	15222	4687	2746	21282	944	2194	768	0	13653	3906	35299	0	3138	0	0		0		25400		0		25400	true							
14650	9198	0	2046	14160	0	19712	0	0	0	0	23778	0	418	0	3394	1960	2475	17666	18400	0	4960	1593	0	0	2915	3532	4162	142	6437	1213	259	397	0	7357	1869	0	0	1472	0	0		0		0		0		0	true							
14753	19535	1	1282	25864	0	25864	0	0	0	0	30716	0	2233	1452	6657	0	2700	24581	28483	0	0	814	0	0	3930	4882	898	246	8812	500	453	272	0	3299	1225	0	0	953	0	0		0		0		0		0	false							
14865	162089	4	45866	460331	0	460331	0	0	0	0	293551	0	19723	33289	22844	86463	13476	414461	273821	0	7	4174	0	0	11202	16118	10095	3326	24943	524	1373	1666	695	17897	4258	78099	0	1897	0	0		0		0		0		0	true							
14977	6053	0	0	10245	0	14964	0	0	0	0	26954	0	0	0	6683	985	3904	14964	26954	0	0	1934	0	0	4202	9208	2362	0	13410	1818	1209	1117	0	9089	4144	0	0	3027	0	0		0		0		0		0	false							
16551	70783	0	13242	109867	0	182425	0	0	0	0	211672	0	8883	7161	47471	55858	22647	168674	202789	509	0	6878	0	0	9112	26823	35309	1185	35935	1714	3904	6985	0	24957	12603	0	0	5618	0	0		0		0		0		0	true							
17110	0	0	0	0	0	0	0	0	0	0	138197	0	6802	0	20722	0	8064	0	131395	0	0	4072	0	0	61267	0	0	0	61267	76930	0	0	0	40545	76930	0	0	76930	0	0		0		0		0		0	false							
17147	1833459	0	1705867	2834132	0	7828677	0	0	345627	0	5028386	0	838186	5387	420951	2501343	150831	6121371	4190200	1439	0	31289	345627	332076	98659	372915	106076	18104	471286	40070	44174	10499	3086	174804	97830	103143	0	84244	0	0		0		0		0		0	true	278148	1974591	1354450	754883	1217397	612857	
17259	16702	0	1559	13418	0	21081	0	0	0	0	34542	0	4533	5592	7526	1621	4675	19522	30009	0	0	2332	0	0	1876	6792	4223	296	8668	300	1100	1632	0	5661	3032	0	0	1400	0	0		0		0		0		0	false							
17950	126199	336	60169	160792	0	294499	0	0	10000	0	384085	293	54847	76222	34866	174170	22229	233994	327951	0	994	10623	0	0	10792	27363	16583	2607	38155	9287	14456	1308	1320	22479	26371	26301	0	23743	0	0		0		0		0		0	true							
17978	68647	0	0	4346	0	45936	0	0	0	0	149090	0	1002	752	40728	2513	29074	45936	144971	0	3117	12347	0	0	11124	27444	17395	7545	38141	2768	7617	4036	0	22781	14421	0	0	10385	0	0		0		0		0		0	true							
18050	142177	0	78382	338534	0	433952	0	0	0	0	371868	0	7943	81656	39799	66866	12008	355570	363925	0	0	4539	0	0	21479	35010	18735	0	54170	12822	47424	27356	0	35424	87602	0	0	60246	0	0		0		0		0		0	false							
18827	1188017	0	38204	77444	0	147578	0	0	25000	0	1581869	0	377903	338407	82650	222928	20305	107547	1203866	1827	100	4692	25000	25000	41281	47769	18591	10110	89050	11077	38179	3334	582	35101	53172	10005	0	49256	0	0		0		0		0		0	true	54928	22862	73766	74523	227562	699572	
18836	29531	0	3325	49327	0	64970	0	0	0	0	110057	0	6140	6090	33223	20385	13528	61645	103917	0	0	5288	0	0	15862	22841	13048	3847	36100	1681	1424	1440	0	22375	4545	3828	0	2762	0	0		0		130		0		130	true							
18854	89778	0	191432	731018	0	735448	0	0	71711	0	482380	0	7215	4516	35287	215003	4230	544016	434473	0	40692	4230	71711	71711	32680	68214	30490	1307	100832	18234	16661	9414	600	97403	44909	298483	0	34895	54054	0		0		0		0		0	true							
19356	12841	0	5060	26842	0	45772	0	0	2977	0	41079	0	2581	6214	7217	4061	1254	40712	34043	0	4455	0	2977	0	1951	5783	6116	471	7726	3682	4378	1796	0	7103	9857	0	0	8060	0	0		0		0		0		0	false							
19936	23731	0	47608	100038	0	217728	0	0	0	0	165160	0	19024	58509	16194	106062	7428	170120	146136	0	0	3127	0	0	7310	15905	4906	2678	23215	1118	1106	1821	523	14605	4568	0	0	2224	0	0		0		0		0		0	true							
19972	101442	0	0	0	0	0	0	0	0	0	101442	0	0	0	0	0	0	0	101442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		0		0		0	false							
20053	20368	0	2844	32798	0	46279	0	0	7446	0	79154	0	7263	0	22825	23506	7976	43435	71891	0	0	2002	7446	2490	4813	11041	12918	224	15854	763	3382	2139	0	6172	6284	5012	0	4145	0	0		0		0		0		0	true							
20633	65184	0	19338	44103	0	145357	0	0	0	0	153608	0	14735	18469	24569	30780	11513	126014	138376	5	497	4362	0	0	11773	24646	8573	4808	36419	861	5631	986	366	25231	7844	23874	0	6492	0	0		0		0		0		0	true							
20857	57981	0	53842	146099	0	239820	0	0	0	0	165090	0	16129	65120	23087	58190	13195	185978	148961	0	0	0	0	0	9388	18858	6141	3167	28245	1562	8683	1121	0	14466	11366	0	0	10245	0	0		0		0		0		0	true							
21256	1478	0	3507	3237	0	7473	0	0	0	0	4033	0	308	2660	404	493	1251	3966	3227	0	498	820	0	0	322	484	43	392	806	0	0	0	820	837	820	0	0	0	0	0		0		0		0		0	true							
21359	17748	0	2398	18656	0	27595	0	0	0	0	39682	0	2113	1176	3640	16393	4120	25197	37569	0	0	0	0	0	1188	3062	762	274	4250	0	0	255	0	1646	255	0	0	0	0	0		0		0		0		0	true							
21658	36587	9	7833	98814	0	98823	0	0	3	0	95942	0	3055	5955	30118	11937	15642	90981	92887	0	0	6016	3	3	5268	20216	12637	3802	25458	1131	3192	906	266	11805	5495	0	0	4323	0	0		0		0		0		0	true							
22048	41807	0	15352	142398	0	142398	0	0	4506	0	99498	0	8563	19846	18792	0	6601	127046	90645	0	290	2796	4506	4051	8248	20655	13683	77	28798	3794	6293	4940	0	23872	15027	0	0	10087	0	0		0		0		0		0	true							
22543	78033	1	25300	135416	0	184339	0	0	0	0	140261	0	11598	0	10401	42160	5392	158790	128415	248	248	2316	0	0	2973	8575	3421	1831	11548	1301	1223	0	743	6400	3267	14338	0	2524	0	0		0		9216		0		9216	true							
22552	21143	0	3433	11031	0	51624	0	0	4652	0	62655	0	3370	3652	15761	7902	3244	48191	59285	0	0	332	4652	2662	5167	12814	12776	12	17981	818	275	1747	0	15008	2841	0	0	1093	0	0		0		0		0		0	true							
22730	37	0	29212	91222	0	123347	0	0	0	0	83553	0	13357	35116	8467	67699	2420	94135	70196	0	0	600	0	0	3312	3601	3786	1887	6350	544	865	822	1000	4119	3231	0	0	1409	0	0		0		0		0		0	true							
23456	32711	0	15138	39314	0	146422	0	0	0	0	120487	0	12361	22317	34850	20106	14549	131284	108126	0	0	3232	0	0	7208	23460	19589	3256	30668	2112	10404	1640	0	18663	14156	0	0	12516	0	0		0		0		0		0	true							
23504	4691665	0	204594	1127875	0	1317786	0	0	200045	0	9166460	0	1608067	1429323	329897	3621552	218020	1113192	7558393	0	0	93849	200045	200045	245167	285550	100407	22006	530717	79290	91228	25010	4585	323233	200113	368846	0	170518	0	0		0		448610		0		297566	true	137308	38137	1355304	1303375	1896764	207094	
23643	21124	0	23181	54821	0	114514	0	0	0	0	121174	0	14529	33961	25746	2708	6634	91333	106545	0	100	2621	0	0	9147	30111	15323	1890	39258	2161	26951	5595	6164	30725	40871	0	0	29112	0	0		0		0		0		0	true							
23755	98886	99	9552	88954	0	146893	0	0	0	0	136813	21	8339	11117	8500	21823	4396	137242	128453	0	0	1068	0	0	3406	4773	2969	2555	8178	1101	300	1000	0	5202	2401	12028	0	1401	0	0		0		0		0		0	false							
24006	403928	0	30640	216478	0	432160	0	0	30000	0	1120059	0	39102	63451	147511	361352	62619	401520	1080957	0	0	20456	30000	10000	48665	125723	90366	22942	174388	11321	27265	22096	6401	140184	67083	0	0	38586	0	0		0		0		0		0	true	71654	135926	230820	130531	344089	47509	
24378	26879	0	0	11761	0	19449	0	0	0	0	47703	7	500	500	12348	1854	5091	19449	47196	0	0	1259	0	0	2310	4179	5785	5818	6439	315	0	313	250	5744	878	0	0	315	0	0		0		0		0		0	false							
24659	42309	0	2156	32670	0	56839	0	0	0	0	54701	0	2708	1415	7831	679	3805	54683	51993	0	0	1328	0	0	4640	3293	1917	910	6974	412	540	0	0	2929	952	0	0	952	0	0		0		0		0		0	true							
24668	483234	0	79897	67218	0	124715	0	0	0	0	1603497	0	137669	164931	83789	713156	42677	44321	1462607	497	3221	25353	0	0	65815	155617	22654	2402	202843	55494	92295	11167	1664	162699	160620	157572	0	147789	0	0		0		0		0		0	false							
24949	66838	0	21162	166829	0	225075	0	0	0	0	246962	0	5078	11035	57745	85729	13424	203665	241884	248	0	3894	0	0	16951	32559	33474	47	49401	2539	4772	4053	0	25286	11364	18467	0	7311	0	0		0		15983		0		15983	true							
25357	241008	552	13488	13471	0	45548	0	0	0	0	370848	252	4959	13000	30835	51108	9902	31508	365637	0	0	5367	0	0	29425	27186	6975	4663	56611	3829	4804	267	1584	37413	10484	0	0	8633	0	0		0		0		0		0	true							
25647	30168	7	0	87511	0	89750	0	0	0	0	187122	0	8034	0	37398	31228	7346	89743	174923	0	4165	2926	0	0	21046	59910	13549	2389	80956	7112	19301	2159	260	59496	28832	0	0	26413	4165	0		0		0		0		0	false							
26457	3963	0	2389	6985	0	11516	0	0	0	0	27180	0	3783	5413	3686	15973	698	9127	23397	0	0	465	0	0	1566	2992	1585	75	4558	756	0	270	0	2532	1026	0	0	756	0	0		0		0		0		0	true							
26765	74807	0	36514	137068	0	301577	0	0	0	0	2444269	0	180298	183577	54044	1885854	10501	264522	2239609	541	24362	7929	0	0	47159	128504	8737	2912	175663	55142	226158	12368	2628	133268	296296	15908	0	281300	24094	0		0		7422		0		7422	true	135491	16986	199692	389631	72427	2380	
27070	198381	0	15904	215558	0	215558	0	0	11	0	559402	0	26755	1028	119871	145770	58558	199406	531451	248	1196	21443	11	11	56428	91688	35997	4633	138011	6305	13286	4487	2427	68875	26505	24678	0	19281	0	0		0		19008		0		19008	false							
27548	174253	0	98076	380946	0	701549	0	0	0	0	496087	0	38227	136303	38341	243413	21750	596109	455444	7364	2416	1177	0	0	12104	26632	17755	7180	38736	3878	8502	532	1838	25330	14750	96700	0	12380	2167	0		0		81165		0		82699	true							
27614	146064	0	4686	138862	0	258481	0	0	0	0	252367	0	32778	48367	30379	49345	11282	253795	219589	0	0	553	0	0	8991	22152	9599	4762	30496	3393	5989	2071	0	15126	11453	0	0	9382	0	0		0		0		0		0	true							
27847	83009	0	59744	160376	0	275077	0	0	1	0	393026	0	27274	71307	98213	61339	37932	215085	361984	248	3768	19121	1	1	29050	79620	82716	3975	108670	8523	30012	11017	3765	97148	53317	14152	0	38535	3768	0		0		0		0		0	true							
28013	1182083	0	395956	306234	0	520660	0	0	31000	0	3688520	0	239834	608573	184976	2124076	72945	124704	3448686	0	0	26326	31000	26000	123413	128263	52642	13261	251676	28090	24437	7860	4394	132604	64781	0	0	52527	0	0		0		0		0		0	true	75679	49025	1692293	186238	1178087	3996	
28152	43924	0	7393	56452	0	82625	0	0	12	0	106796	0	7263	9661	16496	39844	7820	75232	99533	0	0	2235	12	12	8570	7202	4624	1575	15772	0	1057	0	0	5475	1057	3567	0	1057	0	0		0		0		0		0	true							
