"IDRSSD"	RCONJJ04	RCONJJ05	RCONJJ06	RCONJJ07	RCONJJ08	RCONJJ09	RCONJJ11	RCONJJ12	RCONJJ13	RCONJJ14	RCONJJ15	RCONJJ16	RCONJJ17	RCONJJ18	RCONJJ19	RCONJJ20	RCONJJ21	RCONJJ23	RCONJJ24	RCONJJ25	
	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	
1000276																					
1000641																					
1000856																					
1000959																					
1001059																					
1001152	1376149	2291510	740459	1237528	908	46910	5693464	27855	28799	9372	15912	31	122	0	82091	0	0	0	0	0	
1001639																					
1001648																					
1001853																					
1002355																					
1002373																					
1002458																					
1002878	304721	2262977	4943354	1027338	49769	1695294	10283453	8535	50609	23246	18843	458	15639	0	117330	0	0	0	0	0	
1002953																					
1003455																					
1003558																					
1003839																					
1003950																					
1004256																					
1004470	13738	344354	245920	103513	0	2497	710022	291	4079	272	1227	0	40	859	6768						
1005075																					
1005552																					
1005655																					
1005851																					
1006148																					
1006157																					
1006513																					
1006559																					
1006652																					
1007015																					
1007051																					
1007154																					
1007417																					
1007734																					
1007752																					
1007819	39492	323062	394493	249322	0	105925	1112294	368	7146	3850	2324	0	1431	126	15245						
1007846																					
1007873																					
1007930																					
1007958																					
1008076																					
1008151																					
1008209																					
1008432																					
1008450																					
1008553																					
1008674																					
1008955																					
1009242																					
1009354																					
1009756																					
1009840																					
1010015																					
1010574																					
1011432																					
1011526	0	1473277	1651116	356438	0	46847	3527678	0	8367	7326	3356	0	967	0	20016	0	0	0	0	0	
1011553																					
1011638																					
1011656																					
1011852																					
1011955																					
1012251																					
1012457																					
1012671																					
1013070																					
1013650																					
1013744																					
1013856																					
1014059																					
1014125																					
1014246																					
1014255																					
1014376																					
1014451																					
1014554																					
1014657																					
1014853																					
1015243																					
1015252																					
1015270																					
1015458																					
1015467																					
1015560																					
1015832																					
1015841																					
1015850																					
1016174																					
1016231																					
1016259																					
1016558																					
1016718																					
1016848																					
1016857																					
1016941																					
1017425																					
1017555																					
1017564																					
1017854																					
1017939	1215502	4465662	2367362	3204435	0	137784	11390745	11095	47137	18430	34531	0	423	0	111616	0	0	0	0	0	
1017957																					
1018927	242864	383657	401551	252174	1199	396602	1678047	3521	6475	5348	4644	21	6996	229	27234						
1157415																					
1158878																					
1160509																					
1161216																					
1162017																					
1163283																					
1169650																					
1176881																					
1176920																					
1186965																					
1187001																					
1187551																					
1188772																					
1188987																					
1190476	556776	3200748	305497	3030549	4198	128499	7226267	11632	51568	4676	54781	94	5434	0	128185	29	0	0	420	449	
1191352																					
1211371																					
1216022	1000	0	0	1413000	67267000	2522000	71203000	0	0	0	51000	8355000	67000	0	8473000	0	0	0	0	0	
1216321																					
1216826																					
1218446																					
1222519																					
1222948																					
1225752																					
1225761																					
1225798																					
1228034																					
1229198																					
1293078																					
1356768	383807	1541398	315915	704515	0	8554	2954189	3777	34008	1138	10800	0	318	0	50041	0	0	0	0	0	
1369870																					
1386251	505415	1603991	1431933	1695067	11	368770	5605187	3783	22794	8459	41022	0	3315	0	79373	0	0	0	0	0	
1387203																					
1387605	124944	620055	313381	447789	0	30018	1536187	1874	9261	1673	4639	0	170	3591	21208						
1390324																					
1391778	0	0	0	0	7683941	0	7683941	0	0	0	0	828319	0	0	828319	0	0	0	0	0	
1394621																					
1394676																					
1396764																					
1397471																					
1402384																					
1404481																					
1404883																					
1412619	130758	608665	136808	357107	0	2104	1235442	5025	6877	524	3748	0	4	747	16925						
1412712																					
1414819																					
1416279																					
1418255																					
1429028																					
1435092																					
1436071																					
1436204	80841	1263742	213413	423646	0	21125	2002767	1142	12798	1025	1590	0	238	2307	19100	0	0	0	0	0	
1440117																					
1443266																					
1444021																					
1445943																					
1447639	234999	555795	157771	526304	0	1079	1475948	1557	10239	941	6009	0	17	1789	20552						
1456501																					
1458608																					
1459717																					
1459735																					
1459799																					
1462986																					
1469677																					
1470150																					
1474309																					
1478231																					
1479470																					
1481745																					
1481754																					
1492817																					
1493319																					
1494482																					
1494914																					
1629903																					
1718188	114389	671977	51453	657493	0	5156	1500468	1900	7183	970	4392	0	94	0	14539	0	0	0	0	0	
1718469																					
1820979																					
1826382																					
1836701																					
1842065																					
1852569																					
1862719																					
1863097																					
1864197																					
1867983																					
1872941																					
1872996																					
1879016																					
1883321																					
1885932																					
1890525	187681	731190	503072	222553	0	1091	1645587	1875	9472	5219	6217	0	18	0	22801						
1892154																					
1893049																					
1914421																					
1917301																					
1918344	343615	2024495	552004	1372959	0	0	4293073	1319	20508	3383	37650	0	0	775	63635	0	0	0	0	0	
1929247	1947375	10764164	5969284	4455148	0	897047	24033018	49977	165896	77076	31753	0	25696	0	350398	0	0	0	0	0	
1940747																					
1945247																					
2002222																					
2006024																					
2007991																					
2009605																					
2010722																					
2037185																					
2044811	79191	302833	149541	836953	0	497132	1865650	858	6235	1429	4623	0	296	0	13441	5	0	0	0	5	
2044820																					
2051127																					
2059990																					
2068107																					
2078290	300303	3674677	1452076	4234338	0	31723	9693117	6559	48606	22535	64101	0	1187	0	142988	0	0	0	0	0	
2107181																					
2107341																					
2119773	143972	446298	412456	1292451	0	358622	2653799	2294	9080	4855	6544	0	391	0	23164	12	0	0	0	12	
2121196																					
2122997																					
2123930																					
2132594																					
2132941																					
2140348																					
2142155	205077	398592	171409	778892	0	23711	1577681	3678	6650	2542	17003	0	323	0	30196	50	0	0	0	50	
2163477																					
2164111																					
2182786																					
2193616																					
2209553	129426	1523997	313777	839040	0	18556	2824796	2136	27641	3037	10895	0	247	0	43956	51	0	0	0	51	
2218443																					
2232757																					
2233875																					
2236821																					
