"IDRSSD"	RCONG354	RCONG355	RCONG356	RCONG357	RCONG358	RCONG359	RCONG360	RCONG361	RCONG362	RCONG363	RCONG364	RCONG365	RCONG366	RCONG367	RCONG368	RCONG369	RCONG370	RCONG371	RCONG372	RCONG373	RCONG374	RCONG375	RCONHT50	RCONHT51	RCONHT52	RCONHT53	RCONHT54	RCONHT55	RCONHT56	RCONHT57	RCONHT58	RCONHT59	RCONHT60	RCONHT61	RCONK142	RCONK143	RCONK144	RCONK145	RCONK146	RCONK147	RCONK148	RCONK149	RCONK150	RCONK151	RCONK152	RCONK153	RCONK154	RCONK155	RCONK156	RCONK157	
	SFP TPS ISS RE INV TR AFS AMRTZ COST	SFP TPS ISS RE INV TR AFS FV	SFP CORP & SIMILAR LN HTM AMRTZ COST	SFP CORP & SIMILAR LN HTM FV	SFP CORP & SIMILAR LN AFS AMRTZ COST	SFP CORP & SIMILAR LN AFS FV	SFP 1T4 RES MBS I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS I OR G GSE HTM FV	SFP 1T4 RES MBS I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS I OR G GSE AFS FV	SFP 1T4 MBS N I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS N I OR G GSE HTM FV	SFP 1T4 MBS N I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS N I OR G GSE AFS FV	SFP DVRS (MIXED) POOLS SFP HTM AMRTZ	SFP DVRS (MIXED) POOLS SFP HTM FV	SFP DVRS (MIXED) POOLS SFP AFS AMRTZ	SFP DVRS (MIXED) POOLS SFP AFS FV	SFP OTHR CLTRL REF ASSET HTM AMRTZ	SFP OTHR CLTRL REF ASSET HTM FV	SFP OTHR CLTRL REF ASSET AFS AMRTZ	SFP OTHR CLTRL REF ASSET AFS FV	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	MBS CMRL PT SCTY GUAR FNMA HTM AMTRZ	MBS CMRL PT SCTY GUAR FNMA HTM FV	MBS CMRL PT SCTY GUAR FNMA AFS AMTRZ	MBS CMRL PT SCTY GUAR FNMA AFS FV	MBS CMRL PT SCTY OTHR HTM AMTRZ	MBS CMRL PT SCTY OTHR HTM FV	MBS CMRL PT SCTY OTHR AFS AMTRZ	MBS CMRL PT SCTY OTHR AFS FV	MBS CMRL OTHR CMRL GUAR FNMA HTM AMT	MBS CMRL OTHR CMRL GUAR FNMA HTM FV	MBS CMRL OTHR CMRL GUAR FNMA AFS AMT	MBS CMRL OTHR CMRL GUAR FNMA AFS FV	MBS CMRL OTHR CMRL OTHR CMRL HTM AMT	MBS CMRL OTHR CMRL OTHR CMRL HTM FV	MBS CMRL OTHR CMRL OTHR CMRL AFS AMT	MBS CMRL OTHR CMRL OTHR CMRL AFS FV	
197302																							0	0	0	0	0	0	65171	65276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
197478																																																			
197759																							0	0	963	996	0	0	32331	32801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
198073																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
198149																							0	0	39567	39439	0	0	75090	74712	0	0	0	0	0	0	11423	11738	0	0	0	0	0	0	8815	8842	0	0	0	0	
198251																							0	0	2007	2087	0	0	32329	32459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
198961																							0	0	3000	2984	3	3	1583	1638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
199137																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
199351																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
199436																							0	0	5727	5825	0	0	14652	14635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
199463																							0	0	1968	1961	0	0	29627	29927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
200042																							0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
200378																							0	0	16302	16223					0	0	587275	584307	0	0	191029	197684	0	0	0	0	0	0	221076	223175	0	0	0	0	
200435																							16720	16597	15396	15436					0	0	0	0	3730	3899	22301	23627	0	0	0	0	0	0	0	0	0	0	0	0	
201254																							0	0	0	0	0	0	26570	26752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
201834																							0	0	4940	4918					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
202514																							0	0	15045	15313	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
202541																							0	0	0	0	0	0	25698	25852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16170	16981	0	0	0	0	
202907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112767	115597					0	0	0	0	0	0	2621	2684	0	0	0	0	0	0	0	0	0	0	0	0	
203043																							0	0	1001	988					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
203052																							0	0	6000	5989					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
203575																							0	0	6052	6090	0	0	13802	13708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
204004																							10198	10143	0	0					0	0	0	0	0	0	7287	7864	0	0	0	0	0	0	90879	93669	0	0	6892	7006	
204077																							0	0	9983	9960	0	0	11374	12036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
